event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
0,0.075999975204467773,0.14154000171675282,false,1e+100,true,0,0,0,0,3,1,MIP
1,0.085000038146972656,0.15045711392160421,true,7.6003640340329159,true,0,0,0,4.9406564584124654e-324,3,1,MIP
2,0.14599990844726562,0.29986871557108058,true,7.6003640340329159,true,1.5878286181222114,0,0,4.9406564584124654e-324,3,1,MIP
3,0.17299985885620117,0.34138324013433896,true,7.6003640340329159,true,1.5903842040455232,0,0,4.9406564584124654e-324,3,1,MIP
4,0.24300003051757812,0.44479032995102136,true,7.4113562937039639,true,1.5903842040455232,0,0,9.8813129168249309e-324,3,1,MIP
5,0.35699987411499023,0.70362944183308518,true,7.4113562937039639,true,1.7599660607200227,0,0,9.8813129168249309e-324,3,1,MIP
6,0.37899994850158691,0.72726548040939809,true,6.8715291056937193,true,1.7610973537007772,0,0,1.9762625833649862e-323,3,1,MIP
7,0.40799999237060547,0.78921311424596052,true,6.8715291056937193,true,1.7627829771978365,0,0,1.9762625833649862e-323,3,1,MIP
8,0.53900003433227539,1.0446714037357747,true,6.8715291056937193,true,1.7720693295685233,0,0,1.9762625833649862e-323,3,1,MIP
9,0.55299997329711914,1.0613100763594887,true,6.8707103562613137,true,1.7722030010800089,0,0,2.4703282292062327e-323,3,1,MIP
10,0.56399989128112793,1.0790940248138434,true,6.8707103562613137,true,1.7723511908682312,0,0,2.4703282292062327e-323,3,1,MIP
11,0.78099989891052246,1.5042836699860023,true,6.8707103562613137,true,1.8408175614160325,0,0,2.4703282292062327e-323,3,1,MIP
12,0.79499983787536621,1.5202885786660376,true,6.8707103562613137,true,1.8459111710777725,0,0,2.4703282292062327e-323,3,1,MIP
13,0.89999985694885254,1.6652492307510454,true,6.8707103562613137,true,1.8459111710777725,0,0,2.4703282292062327e-323,3,1,MIP
