leaf_id,gamma_L,gamma_U,factory_version,factory_signature,canonical_row_signature,model_sha256,global_family_count,interval_family_count,selector_variable_count,contract_valid
R,0,0.97999999999999998,round19_v2_projected_centering,7db5e3e33de63439,7e8f707c003bc2eb7c2b85e3df3dc449f3f4c7645f68b01afd060657452a0d6f,7e8f707c003bc2eb7c2b85e3df3dc449f3f4c7645f68b01afd060657452a0d6f,6,9,0,1
R.0,0,0.48999999999999999,round19_v2_projected_centering,1bb79d9f7a456832,33517f310b221724c18f35bba2a915dda0a757315d0a67088f48653ba81563c6,33517f310b221724c18f35bba2a915dda0a757315d0a67088f48653ba81563c6,6,9,0,1
R.1,0.48999999999999999,0.97999999999999998,round19_v2_projected_centering,f17d5516a72f42dc,6b1d97a433529a2729e1f435a5f41027f30912d840b3d49a241b67039ea26ae4,6b1d97a433529a2729e1f435a5f41027f30912d840b3d49a241b67039ea26ae4,6,9,0,1
R.1.0,0.48999999999999999,0.73499999999999999,round19_v2_projected_centering,e5e2f092380abe8d,4d2f16aa80462eeb73067a1a6ee0e7d1d6e481f40ee3a3dcbcfef5989d15573e,4d2f16aa80462eeb73067a1a6ee0e7d1d6e481f40ee3a3dcbcfef5989d15573e,6,9,0,1
R.1.1,0.73499999999999999,0.97999999999999998,round19_v2_projected_centering,1330683e5e6a734e,ddd1d6078f7ab7a135909b5706e59d881532b14fadd346bdda725c635cdbac46,ddd1d6078f7ab7a135909b5706e59d881532b14fadd346bdda725c635cdbac46,6,9,0,1
R.1.0.1,0.61250000000000004,0.73499999999999999,round19_v2_projected_centering,9faf8cf7cefbe751,5a077c6d3a88a41080d1ea8915e1bf77294e95a0e9587d92a69e2d4fce5092c9,5a077c6d3a88a41080d1ea8915e1bf77294e95a0e9587d92a69e2d4fce5092c9,6,9,0,1
R.1.0.0,0.48999999999999999,0.61250000000000004,round19_v2_projected_centering,3fb7317036cfae0d,092b0f636251ac4633dd4d156da645cf2f3b14670958cb6042ae5ffd050448fb,092b0f636251ac4633dd4d156da645cf2f3b14670958cb6042ae5ffd050448fb,6,9,0,1
R.1.0.1.1,0.67375000000000007,0.73499999999999999,round19_v2_projected_centering,b9e0809057eea923,c7a5a85a9302166cc57cc70e0ddc26659d4f0af4cad114aa3f1d35656aaeebaa,c7a5a85a9302166cc57cc70e0ddc26659d4f0af4cad114aa3f1d35656aaeebaa,6,9,0,1
R.1.0.1.0,0.61250000000000004,0.67375000000000007,round19_v2_projected_centering,776961abef484c32,386041eba86a226039906c54c603ffbffc988a39f4c7f74b46f2900ae662b367,386041eba86a226039906c54c603ffbffc988a39f4c7f74b46f2900ae662b367,6,9,0,1
R.1.0.1.0.0,0.61250000000000004,0.64312500000000006,round19_v2_projected_centering,f6be498d67e20904,398b3b498a3a4650f376819965214f7c4c8ac6bd4270986d6b18335bc84de0f6,398b3b498a3a4650f376819965214f7c4c8ac6bd4270986d6b18335bc84de0f6,6,9,0,1
R.1.0.1.0.1,0.64312500000000006,0.67375000000000007,round19_v2_projected_centering,7fd56520c7f2314c,fd17b928a27d549d537306b28efc3ad5e7fec9ab79a12435478278521fd0b344,fd17b928a27d549d537306b28efc3ad5e7fec9ab79a12435478278521fd0b344,6,9,0,1
R.1.0.1.0.1.0,0.64312500000000006,0.65843750000000001,round19_v2_projected_centering,aa7cef46692bc7e1,23f3469554148be42bcd3e4e084280cfc31ed919e090271a3feb0b23a2fa9d79,23f3469554148be42bcd3e4e084280cfc31ed919e090271a3feb0b23a2fa9d79,6,9,0,1
R.1.0.1.0.1.1,0.65843750000000001,0.67375000000000007,round19_v2_projected_centering,b629af63d23e4339,91e24db98e43435f06349ab96d8cdbf803fddd9390e8838d886597fa42c5b740,91e24db98e43435f06349ab96d8cdbf803fddd9390e8838d886597fa42c5b740,6,9,0,1
R.1.0.1.0.1.1.0,0.65843750000000001,0.66609375000000004,round19_v2_projected_centering,8bf249ad5db4da8d,f4ff546e3c3690e1ac3d7dd96db4881f2206d2cd5a6b006fb5ec74a328a8b414,f4ff546e3c3690e1ac3d7dd96db4881f2206d2cd5a6b006fb5ec74a328a8b414,6,9,0,1
R.1.0.1.0.1.1.1,0.66609375000000004,0.67375000000000007,round19_v2_projected_centering,eb9d7e8069ef6cac,0f362fd47b7769af649213c590f51944982d93026dfa494b3aca4f4c5b2a0af4,0f362fd47b7769af649213c590f51944982d93026dfa494b3aca4f4c5b2a0af4,6,9,0,1
R.1.0.1.0.1.1.0.1,0.66226562500000008,0.66609375000000004,round19_v2_projected_centering,7b165fb2db4f4e05,972a05d126738b0d1710fbb205027fda08720de60c63d3b993f4a31151555d51,972a05d126738b0d1710fbb205027fda08720de60c63d3b993f4a31151555d51,6,9,0,1
