sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99922880000003,294.99922880000003,"absolute process deadline origin"
1,0.00096659999999999997,"instance_parsing_start","start",299.99903369999998,294.99903339999997,"E:\codes\ExactEBRP\reference\heldout_round26\V50_M3\high_imbalance_seed6202.txt"
2,0.0021394000000000001,"instance_parsing_complete","complete",299.99786069999999,294.99786069999999,"instance=high_imbalance_seed6202.txt"
3,0.0024280999999999999,"initial_model_data_preprocessing_complete","complete",299.99757199999999,294.99757190000003,"instance data initialized; empty-route incumbent independently verified"
4,0.0028203,"hga_start","start",299.99717980000003,294.99717980000003,"label=primary_hga;native_generation_stagnation_hga"
5,21.885080500000001,"hga_generation_loop_complete","complete",278.11491960000001,273.11491949999998,"label=primary_hga;generations=3137;no_improve=2000"
6,21.887720999999999,"hga_best_solution_extraction_start","start",278.11227919999999,273.112279,"label=primary_hga"
7,21.887802199999999,"hga_best_solution_extraction_complete","complete",278.11219779999999,273.11219779999999,"label=primary_hga"
8,21.887872099999999,"hga_route_decoding_start","start",278.11212790000002,273.11212790000002,"label=primary_hga"
9,21.888421600000001,"hga_route_decoding_complete","complete",278.11157850000001,273.11157850000001,"label=primary_hga"
10,21.8885349,"independent_hga_verification_start","start",278.11146509999998,273.11146509999998,"label=primary_hga"
11,21.888659400000002,"independent_hga_verification_complete","complete",278.11134070000003,273.11134070000003,"label=primary_hga;feasible=true"
12,21.8985898,"hga_start","start",278.10141019999998,273.10141019999998,"label=local_redecode_hga;native_generation_stagnation_hga"
13,42.844692100000003,"hga_generation_loop_complete","complete",257.15530810000001,252.15530790000003,"label=local_redecode_hga;generations=2310;no_improve=2000"
14,42.846605799999999,"hga_best_solution_extraction_start","start",257.15339449999999,252.1533943,"label=local_redecode_hga"
15,42.846691700000001,"hga_best_solution_extraction_complete","complete",257.15330829999999,252.15330829999999,"label=local_redecode_hga"
16,42.846805400000001,"hga_route_decoding_start","start",257.15319460000001,252.15319460000001,"label=local_redecode_hga"
17,42.847612499999997,"hga_route_decoding_complete","complete",257.1523876,252.15238750000003,"label=local_redecode_hga"
18,42.847714099999997,"independent_hga_verification_start","start",257.152286,252.15228589999998,"label=local_redecode_hga"
19,42.847799999999999,"independent_hga_verification_complete","complete",257.15220010000002,252.15220010000002,"label=local_redecode_hga;feasible=true"
20,42.854576100000003,"improving_gini_range_construction_complete","complete",257.14542410000001,252.14542399999999,"lower=0.000000;upper=0.980000;complete=true"
21,42.854703000000001,"exact_phase_start","start",257.14529709999999,252.14529700000003,"arm=cplex-algorithm-replica"
22,42.855050900000002,"connectivity_flow_preparation_complete","complete",257.14494939999997,252.14494919999999,"variant=round20-current"
23,42.978063300000002,"static_row_factory_preparation_complete","complete",257.02193690000001,252.02193669999997,"factory=round19_v2_projected_centering"
24,42.9872935,"gurobi_environment_creation","complete",257.01270679999999,252.0127066,"fixed_interval_backend"
25,42.987630099999997,"external_backend_creation","complete",257.01237029999999,252.0123701,"backend=gurobi;arm=C3-REPLICA"
26,42.9880681,"external_artifact_directory_creation","complete",257.011932,252.011932,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external"
27,42.989238100000001,"first_tree_ledger_opened","complete",257.01076210000002,252.010762,"E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\runs\stage2__high_imbalance_seed6202__c3_replica__300s\external\replica_tree_events.csv"
28,42.989525100000002,"first_external_tree_event","start",257.01047510000001,252.01047499999999,"scheduler_select_next"
29,43.1132578,"root_canonical_model_construction_start","start",256.8867424,251.88674220000001,"leaf=R"
30,43.113410899999998,"first_interval_model_build","start",256.88658929999997,251.8865892,"leaf=R"
31,44.096408199999999,"root_canonical_model_construction_complete","complete",255.90359190000001,250.90359180000002,"leaf=R"
32,44.096550700000002,"first_interval_model_build_complete","complete",255.90344930000001,250.90344930000001,"leaf=R"
33,44.103273899999998,"first_lp_optimize_launch","start",255.89672630000001,250.89672619999999,"leaf=R"
34,295.29866720000001,"final_result_serialization_start","start",4.7013330999999994,-0.29866700000002311,""
35,295.3003827,"final_result_serialization_complete","complete",4.699617499999988,-0.30038259999997763,""
36,295.30058279999997,"process_exit","complete",4.6994174000000157,-0.30058270000000675,"rc=0"
