telemetry_seconds,event,leaf_id,gamma_L,gamma_U,status,global_lb,verified_ub,detail
0.455461,lp_complete,R,0,0.105735,open,0.00853251,0.105735,"complete_optimal_interval_lp_bound"
0.455489,atomic_unconditional_split,R,0,0.105735,replaced,0.00853251,0.105735,"initial_partition"
0.863852,lp_complete,R.0,0,0.0528677,open,0.00853251,0.105735,"complete_optimal_interval_lp_bound"
0.863877,atomic_unconditional_split,R.0,0,0.0528677,replaced,0.00853251,0.105735,"initial_partition"
1.23943,lp_complete,R.1,0.0528677,0.105735,open,0.00853251,0.105735,"complete_optimal_interval_lp_bound"
1.23945,atomic_unconditional_split,R.1,0.0528677,0.105735,replaced,0.00853251,0.105735,"initial_partition"
1.65051,lp_complete,R.0.0,0,0.0264338,open,0.00853251,0.105735,"complete_optimal_interval_lp_bound"
1.65054,atomic_unconditional_split,R.0.0,0,0.0264338,replaced,0.00853251,0.105735,"adaptive_refinement"
2.06356,lp_complete,R.0.0.0,0,0.0132169,open,0.00853251,0.105735,"complete_optimal_interval_lp_bound"
2.06359,atomic_unconditional_split,R.0.0.0,0,0.0132169,replaced,0.00853251,0.105735,"adaptive_refinement"
2.45313,lp_complete,R.0.0.1,0.0132169,0.0264338,open,0.00853251,0.105735,"complete_optimal_interval_lp_bound"
2.45316,atomic_unconditional_split,R.0.0.1,0.0132169,0.0264338,replaced,0.00853251,0.105735,"adaptive_refinement"
2.81405,lp_complete,R.0.1,0.0264338,0.0528677,open,0.0092874,0.105735,"complete_optimal_interval_lp_bound"
2.81416,atomic_unconditional_split,R.0.1,0.0264338,0.0528677,replaced,0.0092874,0.105735,"adaptive_refinement"
3.25376,lp_complete,R.0.0.0.0,0,0.00660846,open,0.0092874,0.105735,"complete_optimal_interval_lp_bound"
3.25379,atomic_unconditional_split,R.0.0.0.0,0,0.00660846,replaced,0.0092874,0.105735,"adaptive_refinement"
3.64762,lp_complete,R.0.0.0.1,0.00660846,0.0132169,open,0.0135709,0.105735,"complete_optimal_interval_lp_bound"
3.6477,atomic_unconditional_split,R.0.0.0.1,0.00660846,0.0132169,replaced,0.0135709,0.105735,"adaptive_refinement"
4.06773,lp_complete,R.0.0.0.1.1,0.00991269,0.0132169,open,0.0135709,0.105735,"complete_optimal_interval_lp_bound"
4.06778,atomic_unconditional_split,R.0.0.0.1.1,0.00991269,0.0132169,replaced,0.0135709,0.105735,"adaptive_refinement"
