leaf_id,gamma_L,gamma_U,factory_version,factory_signature,canonical_row_signature,model_sha256,global_family_count,interval_family_count,selector_variable_count,contract_valid
R,0,0.10573533268303861,round19_v2_projected_centering,5a1469afc0822c88,06e3d5939c1056cf5c33a36000eaea452428c8d9648d4ac86b311fd4c7b4d4b0,06e3d5939c1056cf5c33a36000eaea452428c8d9648d4ac86b311fd4c7b4d4b0,6,9,0,1
R.0,0,0.052867666341519307,round19_v2_projected_centering,cc945644e7ffe93f,6e84cf0e90f364c360f0b6beada030047a766184164d8f45a8f5ae8d1022bf3f,6e84cf0e90f364c360f0b6beada030047a766184164d8f45a8f5ae8d1022bf3f,6,9,0,1
R.1,0.052867666341519307,0.10573533268303861,round19_v2_projected_centering,34c307fccc6281b9,48c2227bd979a19232c9f3f480fcad2a48e12873424c602318ac26feae5e534c,48c2227bd979a19232c9f3f480fcad2a48e12873424c602318ac26feae5e534c,6,9,0,1
R.0.0,0,0.026433833170759653,round19_v2_projected_centering,a34254e895f93377,72a8010c60d5b4f8c87a97bcfabf13970c3241b736c233a08df142feb2fe4afe,72a8010c60d5b4f8c87a97bcfabf13970c3241b736c233a08df142feb2fe4afe,6,9,0,1
R.0.0.0,0,0.013216916585379827,round19_v2_projected_centering,f81b15019ca282c2,2df9b57eca202bf5bc65e1a33fe187b397ba44ae07b2edd0d3b0bbeffab332e5,2df9b57eca202bf5bc65e1a33fe187b397ba44ae07b2edd0d3b0bbeffab332e5,6,9,0,1
R.0.0.1,0.013216916585379827,0.026433833170759653,round19_v2_projected_centering,d501467b9e494450,8f17f6d75fb766863e34f6beb0f8ab15aba3128eb6fab5ad74b3e3bc60fb9efb,8f17f6d75fb766863e34f6beb0f8ab15aba3128eb6fab5ad74b3e3bc60fb9efb,6,9,0,1
R.0.1,0.026433833170759653,0.052867666341519307,round19_v2_projected_centering,66aac44d561a25e2,ab8f0c2424e1af0f88dcac7c9a4456f14c76a8784c7bad050d111ba19f1c44e7,ab8f0c2424e1af0f88dcac7c9a4456f14c76a8784c7bad050d111ba19f1c44e7,6,9,0,1
R.0.0.0.0,0,0.0066084582926899133,round19_v2_projected_centering,961e97b41c32765e,e582210c69572089c1c6ebf23161fccbcf75fa03a56c4f22ba47a491370b68bd,e582210c69572089c1c6ebf23161fccbcf75fa03a56c4f22ba47a491370b68bd,6,9,0,1
R.0.0.0.1,0.0066084582926899133,0.013216916585379827,round19_v2_projected_centering,b31b24fb2b105f72,f7391df94fdf410738ca4036db248f4917c239d6964276237e0e4d11e9294514,f7391df94fdf410738ca4036db248f4917c239d6964276237e0e4d11e9294514,6,9,0,1
R.0.0.0.1.1,0.0099126874390348708,0.013216916585379827,round19_v2_projected_centering,52e6337945b591f6,74c3c7554121939dd0089b2333c0e2ca3d7f9fbc90e1ab52c7866583c462dc00,74c3c7554121939dd0089b2333c0e2ca3d7f9fbc90e1ab52c7866583c462dc00,6,9,0,1
R.0.0.0.1.0,0.0066084582926899133,0.0099126874390348708,round19_v2_projected_centering,f155bb274cdade0a,9e6e865a5bb09ecf9ed7ec3fbecf4456cd855f448333045c8df77e548b506607,9e6e865a5bb09ecf9ed7ec3fbecf4456cd855f448333045c8df77e548b506607,6,9,0,1
R.0.0.0.0.0,0,0.0033042291463449567,round19_v2_projected_centering,63f45250bd3fbc9a,fe23d2ba36fefcaa7035e10c314399db66282a4feba63416116b2d05ba6680b6,fe23d2ba36fefcaa7035e10c314399db66282a4feba63416116b2d05ba6680b6,6,9,0,1
R.0.0.0.0.1,0.0033042291463449567,0.0066084582926899133,round19_v2_projected_centering,d9e4eb2cc30759b3,6edf29eae954dfb2fd6c0c3d68a2a241a8dccce03f797add8a7b38632ffe57bd,6edf29eae954dfb2fd6c0c3d68a2a241a8dccce03f797add8a7b38632ffe57bd,6,9,0,1
R.0.0.0.1.0.1,0.0082605728658623929,0.0099126874390348708,round19_v2_projected_centering,03986162a39eddfc,0ffc34541c29ff28426705166213dba30e839b3f3bed915e1187374128b5b7da,0ffc34541c29ff28426705166213dba30e839b3f3bed915e1187374128b5b7da,6,9,0,1
R.0.0.0.1.0.0,0.0066084582926899133,0.0082605728658623929,round19_v2_projected_centering,14e81bdcd44970dd,b5987e85112b9cd7f695e0a8ac744411484a91dd06ab1cdf077fc6625865b54d,b5987e85112b9cd7f695e0a8ac744411484a91dd06ab1cdf077fc6625865b54d,6,9,0,1
R.0.0.0.1.0.1.0,0.0082605728658623929,0.0090866301524486319,round19_v2_projected_centering,3d457aeb07d87370,58305c4cc42b8510785fb799a29575e741ef4c736c052491fcb80ff5e8b69c35,58305c4cc42b8510785fb799a29575e741ef4c736c052491fcb80ff5e8b69c35,6,9,0,1
R.0.0.0.1.0.1.1,0.0090866301524486319,0.0099126874390348708,round19_v2_projected_centering,eb2fb02f87aef3bf,56e84a7a74ffde28e3c10eb29e537ae996e9dae5bac54893eddce2e6d31b47ce,56e84a7a74ffde28e3c10eb29e537ae996e9dae5bac54893eddce2e6d31b47ce,6,9,0,1
R.0.0.0.0.1.1,0.0049563437195174354,0.0066084582926899133,round19_v2_projected_centering,3ba25ce89bb1a1e5,113d377118c9b9ac7545e7a52858943619efed0db8cb4ff95554f4c15b80f93e,113d377118c9b9ac7545e7a52858943619efed0db8cb4ff95554f4c15b80f93e,6,9,0,1
