leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"INFEASIBLE",0,242.175,31.253,98.1877,0,44981,0,0.136081,ff293d90da70de0a009c50fbc6a8b3b51246c0c4c57e0ff8971ea58c093fee42,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,209.45,3.388,11.5601,0,10089,0,0.234179,936373952522eddb429b427b9e0f5d03a1ce13279b2de4b47351d290344bad21,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1_lp.gurobi.log"
L1.0,LP,"OPTIMAL",0,204.597,4.723,15.7147,0,13118,0,0.249824,827cc58716719a894011d05d81812fd11658e13d1d0ec6d833478b88de0accea,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0_lp.gurobi.log"
L1.1,LP,"OPTIMAL",0,198.354,3.467,11.608,0,10759,0,0.265472,3721f7bb9686ed26ec4f2444ce798042177d304ed78faa29e22b620c51362f52,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.1_lp.gurobi.log"
L2,LP,"OPTIMAL",0,193.415,3.805,12.6196,0,11967,0,0.265473,d0958e84e39839ce5f8744a2c4584165b198d556da448cc5c88722314a9ace62,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L2_lp.gurobi.log"
L2.0,LP,"OPTIMAL",0,188.143,3.556,11.7112,0,11184,0,0.281118,f1a1d4e39e88a409fd95d3f44544ff18ad72bd937c01303364e0fabd05dfe51b,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L2.0_lp.gurobi.log"
L2.1,LP,"INFEASIBLE",0,183.107,2.585,8.39229,0,8897,0,0.281118,c228e88ea107c0493b2ef9bd4d7f0558d7b07260f62334ae7541656f7821e5d4,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L2.1_lp.gurobi.log"
L1.0.0,LP,"INFEASIBLE",0,179.058,7.898,26.8658,0,19206,0,0.281118,2389e45d0355dd920bed385231de3f77ef9ee85ab8ca6eed9579160ca8547330,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0.0_lp.gurobi.log"
L1.0.1,LP,"OPTIMAL",0,169.699,3.666,12.3554,0,11243,0,0.296762,0fd2775a668b22a20e2dbb3acf1efa5ad8014be204efa8026a75fa874b42b0d6,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0.1_lp.gurobi.log"
L3,LP,"INFEASIBLE",0,164.56,2.198,7.23263,0,8132,0,0.296762,ae75cab2c9842b1fe076b163655db73dfbbf674348d83aa1374f6714ec83c433,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L3_lp.gurobi.log"
L1.0.1.0,LP,"OPTIMAL",0,160.897,4.12,13.8187,0,11291,0,0.296762,4ab09a1dd84dde57cffc175771607abacf1b934670101b35f426cda4fd8129c8,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0.1.0_lp.gurobi.log"
L1.0.1.1,LP,"OPTIMAL",0,155.314,3.11,10.7802,0,10581,0,0.296764,235ee02d20f7dd0e38f94be02279702a97082aa4f285d40588b04e98f844993c,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0.1.1_lp.gurobi.log"
L1.0.1.1.0,LP,"OPTIMAL",0,150.719,3.871,13.3584,0,11933,0,0.296764,05383413edb5edd8ea26734d5226d5672ddf8107524111b48d0bb9c11c852982,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0.1.1.0_lp.gurobi.log"
L1.0.1.1.1,LP,"OPTIMAL",0,145.378,3.995,13.5156,0,12994,0,0.31241,34e11b54b711a6ee138d0b310f967d9cc37bd6a5e70d9c114206790e86f586c6,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0.1.1.1_lp.gurobi.log"
L1.0.1.1.0.0,LP,"OPTIMAL",0,139.911,4.058,13.7708,0,11833,0,0.31241,228e8836e5b464d8904929ee1580af570c292d7f3ab7e13fcb646ca0e3724293,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0.1.1.0.0_lp.gurobi.log"
L1.0.1.1.0.1,LP,"OPTIMAL",0,134.386,4.523,15.3963,0,13346,0,0.328056,844de39d39b86ce1640436633a3d8ef701c73d161598a23a957c5ca4aaf70bd3,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_gurobi_performance_recovery_round29\stage0_runs\transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s\external\native_logs\L1.0.1.1.0.1_lp.gurobi.log"
