state_id,arm,policy,mode,cap_seconds,executable_sha256,completion_status,rows,columns,nonzeros,station_state_formulation,selector_variables,perspective_variables,aggregate_mccormick_rows,engineering_gate,certificate,false_certificate,lower_bound,verified_upper_bound,gap,normalized_gap_integral,work,time_seconds,nodes,simplex_iterations,root_bound,root_work,root_time_seconds,model_build_seconds,peak_memory_gb,artifact_dir
D1,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,3764,1404,16888,bit-product,0,0,0,True,False,False,0.042112234872399214,0.04530861852692135,0.07054692370774705,0.10245527206864162,170.04920325511725,118.0189028,13248,1858127,0.0318546,2.27425,1.4744,0.0310875,0.075242406,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/F0-CLEAN/D1
D3,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,3757,1402,16319,bit-product,0,0,0,True,False,False,0.45673388331081016,0.506343307565206,0.09797586639970982,0.19117683127250948,181.8440131246855,118.0224896,15151,980497,0.110065,3.31881,2.27152,0.0406297,0.092616783,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/F0-CLEAN/D3
D4,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,3757,1402,16319,bit-product,0,0,0,True,True,False,0.5063433075652061,0.506343307565206,0,0.06616026799843742,76.62864505252162,51.2322032,11847,433563,0.111279,2.94331,1.89714,0.0287573,0.055245086,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/F0-CLEAN/D4
D12,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,3757,1402,16028,bit-product,0,0,0,True,True,False,0.6471164334555012,0.6471164334555021,1.3725171758618295e-15,0.1311019289387509,115.8245560515515,70.7595085,8854,674544,0.113165,4.32582,2.94053,0.0306367,0.056999914,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/F0-CLEAN/D12
D13,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,10884,3376,53713,bit-product,0,0,0,True,False,False,2.376068630025805,2.4434031919432,0.02755769581517365,0.03902806446683402,206.1223297074305,118.0432685,1383,303288,2.27124,19.8176,11.5379,0.0846114,0.13930249,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/F0-CLEAN/D13
D14,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,10891,3378,53488,bit-product,0,0,0,True,False,False,0.04406412568326943,0.04915255266474515,0.10352314794680874,0.1289282082121902,234.30807741398297,118.0460871,1275,656838,0.0399624,20.221,9.28865,0.0843336,0.143398398,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/F0-CLEAN/D14
C3,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,10905,3382,53522,bit-product,0,0,0,True,False,False,0.050217389893761795,0.10725273413394144,0.5317845246625756,0.5574059742282068,220.60183001488227,118.0488768,587,301105,0.00419461,27.0492,12.4705,0.0844847,0.151302893,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/F0-CLEAN/C3
V50_MODERATE,F0-CLEAN,interval-mip-core-no-exhaustive-subset-duration,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,86648,18175,467438,bit-product,0,0,0,True,False,False,0.29375697999680406,0.41428232212546534,0.2909256217120464,0.36256993088404743,348.0477780953039,118.228195,1,118393,0.228886,348.048,117.263,0.7158079,0.485739769,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/F0-CLEAN/V50_MODERATE
D1,SF-MC4,round55-sf-mc4,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,capped,3812,1404,16992,aggregate-mc4,0,0,48,True,False,False,0.04186569940476193,0.049468682614419446,0.15369285794243787,0.18323775891854996,161.52678487129907,118.0216174,8146,1412416,0.0318999,4.30367,2.95049,0.0548932,0.051799667,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/SF-MC4/D1
D3,SF-MC4,round55-sf-mc4,solve,120,23df13014018d9dd83260c2f4a0a08fa1bf8d7763a9c692938b97ac381fb2a90,exact,3805,1402,16431,aggregate-mc4,0,0,48,True,True,False,0.5063433075652061,0.506343307565206,0,0.11206536545290965,138.18493237899213,94.2246779,17950,617659,0.123376,2.78136,1.90995,0.0497598,0.086682141,results/gf_k1_am_sf_station_state_chain_round55/local_raw/live_pilot_120s/SF-MC4/D3
