sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99916350000001,279.99916350000001,"absolute process deadline origin"
1,0.0010208999999999999,"instance_parsing_start","start",299.99897920000001,279.99897909999999,"E:\codes\ExactEBRP\reference\hard_stress\V20_M3\high_imbalance_seed3201.txt"
2,0.0074210999999999999,"instance_parsing_complete","complete",299.99257920000002,279.99257890000001,"instance=high_imbalance_seed3201.txt"
3,0.0078575999999999993,"initial_model_data_preprocessing_complete","complete",299.99214260000002,279.9921425,"instance data initialized; empty-route incumbent independently verified"
4,0.0085964000000000006,"hga_start","start",299.99140369999998,279.99140360000001,"label=primary_hga;native_generation_stagnation_hga"
5,10.786378900000001,"hga_generation_loop_complete","complete",289.21362119999998,269.21362110000001,"label=primary_hga;generations=2512;no_improve=2000"
6,10.7902661,"hga_best_solution_extraction_start","start",289.20973400000003,269.2097339,"label=primary_hga"
7,10.790341,"hga_best_solution_extraction_complete","complete",289.20965899999999,269.20965899999999,"label=primary_hga"
8,10.7904181,"hga_route_decoding_start","start",289.20958189999999,269.20958189999999,"label=primary_hga"
9,10.7907581,"hga_route_decoding_complete","complete",289.20924189999999,269.20924189999999,"label=primary_hga"
10,10.790831900000001,"independent_hga_verification_start","start",289.2091681,269.2091681,"label=primary_hga"
11,10.790899,"independent_hga_verification_complete","complete",289.2091011,269.20910099999998,"label=primary_hga;feasible=true"
12,10.797929,"improving_gini_range_construction_complete","complete",289.20207110000001,269.20207099999999,"lower=0.000000;upper=0.950000;complete=true"
13,10.798018799999999,"exact_phase_start","start",289.2019813,269.20198119999998,"arm=round31-nonblocking-native-bound"
14,10.798157700000001,"connectivity_flow_preparation_complete","complete",289.20184230000001,269.20184230000001,"variant=round20-current"
15,10.804454700000001,"gurobi_environment_creation","complete",289.19554549999998,269.19554529999999,"fixed_interval_backend"
16,10.804588000000001,"external_backend_creation","complete",289.1954121,269.19541199999998,"backend=gurobi;arm=C6-CANDIDATE"
17,10.8048897,"external_artifact_directory_creation","complete",289.19511039999998,269.19511030000001,"E:\codes\ExactEBRP\results\gf_k1_amf_formulation_rescue_round48\runs\stage3_300s__high_imbalance_seed3201__K1-AMF\external"
18,10.806081600000001,"first_tree_ledger_opened","complete",289.1939185,269.1939185,"E:\codes\ExactEBRP\results\gf_k1_amf_formulation_rescue_round48\runs\stage3_300s__high_imbalance_seed3201__K1-AMF\external\interval_tree_events.csv"
19,10.806207199999999,"first_external_tree_event","start",289.19379290000001,269.19379290000001,"scheduler_select_next"
20,10.806285000000001,"root_canonical_model_construction_start","start",289.19371510000002,269.19371510000002,"leaf=L0"
21,10.8063492,"first_interval_model_build","start",289.19365090000002,269.1936508,"leaf=L0"
22,10.9058487,"static_row_factory_preparation_complete","complete",289.09415130000002,269.09415130000002,"canonical strengthened interval row factory"
23,10.905956099999999,"root_canonical_model_construction_complete","complete",289.094044,269.09404389999997,"leaf=L0"
24,10.906026799999999,"first_interval_model_build_complete","complete",289.09397330000002,269.09397319999999,"leaf=L0"
25,10.9061027,"first_lp_optimize_launch","start",289.09389750000003,269.0938974,"leaf=L0"
26,280.17543740000002,"final_result_serialization_start","start",19.824562700000001,-0.17543729999999869,""
27,280.1766222,"final_result_serialization_complete","complete",19.823377900000025,-0.17662209999997458,""
28,280.17671580000001,"process_exit","complete",19.823284300000012,-0.17671569999998837,"rc=0"
