sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99911420000001,279.99911409999999,"absolute process deadline origin"
1,0.001052,"instance_parsing_start","start",299.99894799999998,279.99894799999998,"E:\codes\ExactEBRP\reference\qualification_round39\small-medium\round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt"
2,0.0068652000000000001,"instance_parsing_complete","complete",299.993135,279.99313480000001,"instance=round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt"
3,0.0071152000000000003,"initial_model_data_preprocessing_complete","complete",299.99288480000001,279.99288480000001,"instance data initialized; empty-route incumbent independently verified"
4,0.0075452000000000002,"hga_start","start",299.99245489999998,279.99245489999998,"label=primary_hga;native_generation_stagnation_hga"
5,2.0754570999999999,"hga_generation_loop_complete","complete",297.92454299999997,277.92454299999997,"label=primary_hga;generations=2129;no_improve=2000"
6,2.0786951999999999,"hga_best_solution_extraction_start","start",297.92130500000002,277.9213049,"label=primary_hga"
7,2.0787694000000001,"hga_best_solution_extraction_complete","complete",297.9212306,277.9212306,"label=primary_hga"
8,2.0788663999999999,"hga_route_decoding_start","start",297.92113369999998,277.92113369999998,"label=primary_hga"
9,2.0791905000000002,"hga_route_decoding_complete","complete",297.92080950000002,277.92080950000002,"label=primary_hga"
10,2.0792662000000002,"independent_hga_verification_start","start",297.92073379999999,277.92073379999999,"label=primary_hga"
11,2.0794161,"independent_hga_verification_complete","complete",297.92058400000002,277.9205839,"label=primary_hga;feasible=true"
12,2.0812900000000001,"improving_gini_range_construction_complete","complete",297.9187101,277.91870999999998,"lower=0.000000;upper=0.049469;complete=true"
13,2.0814997000000002,"exact_phase_start","start",297.91850049999999,277.91850040000003,"arm=round31-nonblocking-native-bound"
14,2.0817958000000001,"connectivity_flow_preparation_complete","complete",297.91820439999998,277.91820430000001,"variant=round20-current"
15,2.0914541999999998,"gurobi_environment_creation","complete",297.908546,277.90854580000001,"fixed_interval_backend"
16,2.0917450999999998,"external_backend_creation","complete",297.90825510000002,277.908255,"backend=gurobi;arm=C6-CANDIDATE"
17,2.0922497,"external_artifact_directory_creation","complete",297.9077504,277.90775029999998,"E:\codes\ExactEBRP\results\gf_k1_amf_formulation_rescue_round48\runs\stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMF\external"
18,2.0934214,"first_tree_ledger_opened","complete",297.90657870000001,277.90657859999999,"E:\codes\ExactEBRP\results\gf_k1_amf_formulation_rescue_round48\runs\stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMF\external\interval_tree_events.csv"
19,2.0935554000000001,"first_external_tree_event","start",297.90644459999999,277.90644459999999,"scheduler_select_next"
20,2.0936328,"root_canonical_model_construction_start","start",297.9063673,277.9063673,"leaf=L0"
21,2.093696,"first_interval_model_build","start",297.90630399999998,277.90630399999998,"leaf=L0"
22,2.2953717,"static_row_factory_preparation_complete","complete",297.70462850000001,277.70462839999999,"canonical strengthened interval row factory"
23,2.2954875000000001,"root_canonical_model_construction_complete","complete",297.70451270000001,277.70451250000002,"leaf=L0"
24,2.2955606,"first_interval_model_build_complete","complete",297.70443949999998,277.70443949999998,"leaf=L0"
25,2.2956382,"first_lp_optimize_launch","start",297.70436180000002,277.70436180000002,"leaf=L0"
26,280.14611589999998,"final_result_serialization_start","start",19.853884499999992,-0.14611569999999574,""
27,280.14787890000002,"final_result_serialization_complete","complete",19.852121300000022,-0.14787880000000087,""
28,280.14808799999997,"process_exit","complete",19.851912200000015,-0.14808790000000727,"rc=0"
