sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",70.999169899999998,65.999169899999998,"absolute process deadline origin"
1,0.0010181999999999999,"instance_parsing_start","start",70.998981799999996,65.998981799999996,"E:\codes\ExactEBRP\reference\heldout_round22\V20_M3\tight_T_seed4101.txt"
2,0.0019128999999999999,"instance_parsing_complete","complete",70.998087200000001,65.998087100000006,"instance=tight_T_seed4101.txt"
3,0.0021562,"initial_model_data_preprocessing_complete","complete",70.997843900000007,65.997843799999998,"instance data initialized; empty-route incumbent independently verified"
4,0.0028562000000000001,"hga_start","start",70.997144000000006,65.997143899999998,"label=primary_hga;native_generation_stagnation_hga"
5,10.102362299999999,"hga_generation_loop_complete","complete",60.897637700000004,55.897637700000004,"label=primary_hga;generations=2232;no_improve=2000"
6,10.1043041,"hga_best_solution_extraction_start","start",60.895696000000001,55.895696000000001,"label=primary_hga"
7,10.104383500000001,"hga_best_solution_extraction_complete","complete",60.895616599999997,55.895616500000003,"label=primary_hga"
8,10.104525799999999,"hga_route_decoding_start","start",60.895474399999998,55.895474300000004,"label=primary_hga"
9,10.1050506,"hga_route_decoding_complete","complete",60.894949400000002,55.894949400000002,"label=primary_hga"
10,10.1052046,"independent_hga_verification_start","start",60.894795600000002,55.894795500000001,"label=primary_hga"
11,10.1054061,"independent_hga_verification_complete","complete",60.894593999999998,55.894593999999998,"label=primary_hga;feasible=true"
12,10.1105415,"improving_gini_range_construction_complete","complete",60.889458599999998,55.889458599999998,"lower=0.000000;upper=0.604489;complete=true"
13,10.110658900000001,"exact_phase_start","start",60.889341099999996,55.889341099999996,"arm=round31-nonblocking-native-bound"
14,10.1109027,"connectivity_flow_preparation_complete","complete",60.889097399999997,55.889097399999997,"variant=round20-current"
15,10.117267099999999,"gurobi_environment_creation","complete",60.882733099999996,55.882732900000001,"fixed_interval_backend"
16,10.117412699999999,"external_backend_creation","complete",60.882587399999998,55.882587299999997,"backend=gurobi;arm=C6-CANDIDATE"
17,10.1178253,"external_artifact_directory_creation","complete",60.882174800000001,55.882174800000001,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\development\tight_T_seed4101__c6_candidate__71s\external"
18,10.1186258,"first_tree_ledger_opened","complete",60.881374299999997,55.881374299999997,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\development\tight_T_seed4101__c6_candidate__71s\external\paper_tree_events.csv"
19,10.118760699999999,"first_external_tree_event","start",60.881239399999998,55.881239399999998,"scheduler_select_next"
20,10.1190096,"root_canonical_model_construction_start","start",60.880990600000004,55.880990499999996,"leaf=L0"
21,10.1192087,"first_interval_model_build","start",60.880791500000001,55.8807914,"leaf=L0"
22,10.2346802,"static_row_factory_preparation_complete","complete",60.765319900000001,55.7653198,"canonical strengthened interval row factory"
23,10.234799600000001,"root_canonical_model_construction_complete","complete",60.765200399999998,55.765200399999998,"leaf=L0"
24,10.234880199999999,"first_interval_model_build_complete","complete",60.765119800000001,55.765119800000001,"leaf=L0"
25,10.234973500000001,"first_lp_optimize_launch","start",60.765026499999998,55.765026499999998,"leaf=L0"
26,66.025205400000004,"final_result_serialization_start","start",4.9747945999999956,-0.025205400000004374,""
27,66.0260715,"final_result_serialization_complete","complete",4.9739285999999936,-0.026071500000000469,""
28,66.026148199999994,"process_exit","complete",4.9738518999999997,-0.026148199999994404,"rc=0"
