sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99907860000002,294.9990785,"absolute process deadline origin"
1,0.0011118,"instance_parsing_start","start",299.99888829999998,294.99888820000001,"E:\codes\ExactEBRP\reference\heldout_round26\V50_M3\moderate_seed6301.txt"
2,0.0023243000000000001,"instance_parsing_complete","complete",299.99767580000002,294.9976757,"instance=moderate_seed6301.txt"
3,0.0026269000000000002,"initial_model_data_preprocessing_complete","complete",299.9973731,294.9973731,"instance data initialized; empty-route incumbent independently verified"
4,0.0031821000000000002,"hga_start","start",299.99681809999998,294.99681800000002,"label=primary_hga;native_generation_stagnation_hga"
5,51.951132800000003,"hga_generation_loop_complete","complete",248.04886740000001,243.04886729999998,"label=primary_hga;generations=3325;no_improve=2000"
6,51.955253599999999,"hga_best_solution_extraction_start","start",248.04474679999998,243.0447465,"label=primary_hga"
7,51.955493500000003,"hga_best_solution_extraction_complete","complete",248.04450660000001,243.04450660000001,"label=primary_hga"
8,51.956067400000002,"hga_route_decoding_start","start",248.04393290000002,243.0439327,"label=primary_hga"
9,51.957626099999999,"hga_route_decoding_complete","complete",248.042374,243.042374,"label=primary_hga"
10,51.957834499999997,"independent_hga_verification_start","start",248.0421657,243.0421656,"label=primary_hga"
11,51.958064399999998,"independent_hga_verification_complete","complete",248.04193570000001,243.04193559999999,"label=primary_hga;feasible=true"
12,51.970577200000001,"improving_gini_range_construction_complete","complete",248.02942289999999,243.02942279999999,"lower=0.000000;upper=0.607529;complete=true"
13,51.970713600000003,"exact_phase_start","start",248.02928650000001,243.02928639999999,"arm=round30-dual-bound-target"
14,51.9708288,"connectivity_flow_preparation_complete","complete",248.02917120000001,243.02917120000001,"variant=round20-current"
15,51.977096899999999,"gurobi_environment_creation","complete",248.0229033,243.02290310000001,"fixed_interval_backend"
16,51.977521600000003,"external_backend_creation","complete",248.02247869999999,243.02247850000001,"backend=gurobi;arm=C5-CANDIDATE"
17,51.978043,"external_artifact_directory_creation","complete",248.02195710000001,243.02195699999999,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__moderate_seed6301__c5_candidate__300s\external"
18,51.979283899999999,"first_tree_ledger_opened","complete",248.0207163,243.02071610000002,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__moderate_seed6301__c5_candidate__300s\external\paper_tree_events.csv"
19,51.979551100000002,"first_external_tree_event","start",248.02044899999999,243.02044889999999,"scheduler_select_next"
20,51.979787600000002,"root_canonical_model_construction_start","start",248.02021260000001,243.02021250000001,"leaf=L0"
21,51.979995000000002,"first_interval_model_build","start",248.02000520000001,243.02000509999999,"leaf=L0"
22,53.164895000000001,"static_row_factory_preparation_complete","complete",246.835105,241.835105,"canonical strengthened interval row factory"
23,53.165084700000001,"root_canonical_model_construction_complete","complete",246.83491559999999,241.8349154,"leaf=L0"
24,53.165173000000003,"first_interval_model_build_complete","complete",246.83482699999999,241.83482699999999,"leaf=L0"
25,53.165254500000003,"first_lp_optimize_launch","start",246.83474559999999,241.83474559999999,"leaf=L0"
26,295.08879969999998,"final_result_serialization_start","start",4.9112003999999843,-0.088799600000015744,""
27,295.08972990000001,"final_result_serialization_complete","complete",4.9102702000000136,-0.089729900000008911,""
28,295.0898105,"process_exit","complete",4.9101896000000238,-0.089810499999998683,"rc=0"
