sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.9991766,294.99917649999998,"absolute process deadline origin"
1,0.0010133,"instance_parsing_start","start",299.99898669999999,294.99898669999999,"E:\codes\ExactEBRP\reference\regen_candidate_V12_M1_average.txt"
2,0.0018216,"instance_parsing_complete","complete",299.99817839999997,294.99817839999997,"instance=regen_candidate_V12_M1_average.txt"
3,0.0020517000000000001,"initial_model_data_preprocessing_complete","complete",299.99794839999998,294.99794830000002,"instance data initialized; empty-route incumbent independently verified"
4,0.0024559999999999998,"hga_start","start",299.99754410000003,294.99754410000003,"label=primary_hga;native_generation_stagnation_hga"
5,6.1186702999999998,"hga_generation_loop_complete","complete",293.8813298,288.8813298,"label=primary_hga;generations=2374;no_improve=2000"
6,6.1215541,"hga_best_solution_extraction_start","start",293.87844610000002,288.87844589999997,"label=primary_hga"
7,6.1217740999999997,"hga_best_solution_extraction_complete","complete",293.87822599999998,288.87822590000002,"label=primary_hga"
8,6.1219853999999998,"hga_route_decoding_start","start",293.87801469999999,288.87801469999999,"label=primary_hga"
9,6.1225601999999997,"hga_route_decoding_complete","complete",293.87743990000001,288.87743990000001,"label=primary_hga"
10,6.1227669999999996,"independent_hga_verification_start","start",293.87723310000001,288.87723299999999,"label=primary_hga"
11,6.1229659999999999,"independent_hga_verification_complete","complete",293.87703420000003,288.8770341,"label=primary_hga;feasible=true"
12,6.1262730000000003,"improving_gini_range_construction_complete","complete",293.87372699999997,288.87372699999997,"lower=0.000000;upper=0.357201;complete=true"
13,6.1265578999999999,"exact_phase_start","start",293.87344230000002,288.8734422,"arm=round31-nonblocking-native-bound"
14,6.1269216999999996,"connectivity_flow_preparation_complete","complete",293.87307850000002,288.8730784,"variant=round20-current"
15,6.1350214000000003,"gurobi_environment_creation","complete",293.86497889999998,288.86497859999997,"fixed_interval_backend"
16,6.1351974,"external_backend_creation","complete",293.86480269999998,288.86480260000002,"backend=gurobi;arm=C6-CANDIDATE"
17,6.1355561999999999,"external_artifact_directory_creation","complete",293.86444390000003,288.86444390000003,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage2__V12_M1__c6_candidate__300s\external"
18,6.1363143000000004,"first_tree_ledger_opened","complete",293.86368579999998,288.86368570000002,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage2__V12_M1__c6_candidate__300s\external\paper_tree_events.csv"
19,6.1364333999999996,"first_external_tree_event","start",293.86356660000001,288.86356660000001,"scheduler_select_next"
20,6.1365656,"root_canonical_model_construction_start","start",293.86343440000002,288.86343440000002,"leaf=L0"
21,6.1366379999999996,"first_interval_model_build","start",293.86336210000002,288.863362,"leaf=L0"
22,6.2163636999999996,"static_row_factory_preparation_complete","complete",293.78363639999998,288.78363630000001,"canonical strengthened interval row factory"
23,6.2164849999999996,"root_canonical_model_construction_complete","complete",293.78351509999999,288.78351500000002,"leaf=L0"
24,6.2167395000000001,"first_interval_model_build_complete","complete",293.78326079999999,288.78326060000001,"leaf=L0"
25,6.2169205999999999,"first_lp_optimize_launch","start",293.78307949999999,288.78307940000002,"leaf=L0"
26,29.478216,"final_result_serialization_start","start",270.52178420000001,265.52178400000003,""
27,29.479194400000001,"final_result_serialization_complete","complete",270.52080569999998,265.52080569999998,""
28,29.4792767,"process_exit","complete",270.52072340000001,265.52072329999999,"rc=0"
