sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99920409999999,294.99920400000002,"absolute process deadline origin"
1,0.00098940000000000009,"instance_parsing_start","start",299.99901060000002,294.99901060000002,"E:\codes\ExactEBRP\reference\heldout_round22\V20_M3\high_imbalance_seed4201.txt"
2,0.0018622000000000001,"instance_parsing_complete","complete",299.99813790000002,294.99813779999999,"instance=high_imbalance_seed4201.txt"
3,0.0020896999999999999,"initial_model_data_preprocessing_complete","complete",299.99791040000002,294.99791040000002,"instance data initialized; empty-route incumbent independently verified"
4,0.0024467999999999998,"hga_start","start",299.99755320000003,294.99755320000003,"label=primary_hga;native_generation_stagnation_hga"
5,16.637395600000001,"hga_generation_loop_complete","complete",283.3626046,278.36260449999997,"label=primary_hga;generations=2292;no_improve=2000"
6,16.639737199999999,"hga_best_solution_extraction_start","start",283.36026320000002,278.36026290000001,"label=primary_hga"
7,16.640021600000001,"hga_best_solution_extraction_complete","complete",283.35997859999998,278.35997839999999,"label=primary_hga"
8,16.640292500000001,"hga_route_decoding_start","start",283.3597077,278.35970759999998,"label=primary_hga"
9,16.640873599999999,"hga_route_decoding_complete","complete",283.3591265,278.3591265,"label=primary_hga"
10,16.6409828,"independent_hga_verification_start","start",283.35901719999998,278.35901719999998,"label=primary_hga"
11,16.641075399999998,"independent_hga_verification_complete","complete",283.35892469999999,278.35892460000002,"label=primary_hga;feasible=true"
12,16.647189999999998,"improving_gini_range_construction_complete","complete",283.3528101,278.35280999999998,"lower=0.000000;upper=0.950000;complete=true"
13,16.647342999999999,"exact_phase_start","start",283.35265709999999,278.35265709999999,"arm=round31-nonblocking-native-bound"
14,16.647466900000001,"connectivity_flow_preparation_complete","complete",283.35253319999998,278.35253310000002,"variant=round20-current"
15,16.654223399999999,"gurobi_environment_creation","complete",283.34577689999998,278.34577669999999,"fixed_interval_backend"
16,16.654374199999999,"external_backend_creation","complete",283.34562590000002,278.34562590000002,"backend=gurobi;arm=C6-CANDIDATE"
17,16.655166699999999,"external_artifact_directory_creation","complete",283.34483349999999,278.34483339999997,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage2__high_imbalance_seed4201__c6_candidate__300s\external"
18,16.656297599999998,"first_tree_ledger_opened","complete",283.34370260000003,278.34370250000001,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage2__high_imbalance_seed4201__c6_candidate__300s\external\paper_tree_events.csv"
19,16.656600300000001,"first_external_tree_event","start",283.34339990000001,278.34339979999999,"scheduler_select_next"
20,16.656723,"root_canonical_model_construction_start","start",283.34327710000002,278.34327710000002,"leaf=L0"
21,16.656806499999998,"first_interval_model_build","start",283.34319360000001,278.34319349999998,"leaf=L0"
22,16.7625253,"static_row_factory_preparation_complete","complete",283.23747479999997,278.23747470000001,"canonical strengthened interval row factory"
23,16.762656199999999,"root_canonical_model_construction_complete","complete",283.23734409999997,278.23734409999997,"leaf=L0"
24,16.7627402,"first_interval_model_build_complete","complete",283.2372598,278.2372598,"leaf=L0"
25,16.7628299,"first_lp_optimize_launch","start",283.23717019999998,278.23717010000001,"leaf=L0"
26,295.04344200000003,"final_result_serialization_start","start",4.9565585000000283,-0.043441799999982322,""
27,295.04603589999999,"final_result_serialization_complete","complete",4.9539642999999955,-0.046035800000026939,""
28,295.04624719999998,"process_exit","complete",4.9537528999999836,-0.046247100000016417,"rc=0"
