event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
0,0.31999993324279785,0.69950237246575808,false,1e+100,true,0,0,0,0,3,1,MIP
1,0.36599993705749512,0.74185020380622646,true,3.5545897176045513,true,0,0,0,4.9406564584124654e-324,3,1,MIP
2,0.71700000762939453,1.4726660406527869,true,3.5545897176045513,true,0.43315661325272053,0,0,4.9406564584124654e-324,3,1,MIP
3,0.87399983406066895,1.7542400380732153,true,3.5545897176045513,true,0.43414546109477159,0,0,4.9406564584124654e-324,3,1,MIP
4,1.1339998245239258,2.1920765604069032,true,3.5545897176045513,true,0.43414546109477159,0,0,4.9406564584124654e-324,3,1,MIP
5,1.6089999675750732,3.3340429639894777,true,3.5545897176045513,true,0.50956901254412568,0,0,4.9406564584124654e-324,3,1,MIP
6,1.8449997901916504,3.7935462171783834,true,3.5545897176045513,true,0.51466446049795833,0,0,4.9406564584124654e-324,3,1,MIP
7,2.2579998970031738,4.858248354454795,true,3.5545897176045513,true,0.51466446049795833,0,0,4.9406564584124654e-324,3,1,MIP
8,2.6029999256134033,5.7169317607272081,true,3.5545897176045513,true,0.52947329380039299,0,0,4.9406564584124654e-324,3,1,MIP
9,2.6779999732971191,5.8025110744919521,true,3.5281215152442797,true,0.53002266005815912,0,0,9.8813129168249309e-324,3,1,MIP
10,2.8309998512268066,6.182879158686732,true,3.5281215152442797,true,0.53002266005815912,0,0,9.8813129168249309e-324,3,1,MIP
11,3.3499999046325684,7.2425059223658543,true,3.5281215152442797,true,0.53002266005815912,0,0,9.8813129168249309e-324,3,1,MIP
12,3.7699999809265137,8.266569284204639,true,3.5281215152442797,true,0.53729701651199857,0,0,9.8813129168249309e-324,3,1,MIP
13,3.9509999752044678,8.549977676737365,true,3.5281215152442797,true,0.53741555920281403,0,0,9.8813129168249309e-324,3,1,MIP
14,4.5299999713897705,9.7697262200560644,true,3.5281215152442797,true,0.53741555920281403,0,0,9.8813129168249309e-324,3,1,MIP
15,5.0679998397827148,11.057861627825755,true,3.5281215152442797,true,0.5405447723334037,0,0,9.8813129168249309e-324,3,1,MIP
16,5.2099997997283936,11.217906203784018,true,3.4961974185409832,true,0.54055940638701105,0,0,5.9287877500949585e-323,3,1,MIP
17,5.3599998950958252,11.570285506405471,true,3.4961974185409832,true,0.54115185399447929,0,0,5.9287877500949585e-323,3,1,MIP
18,5.6359999179840088,12.001204921832905,true,3.4961974185409832,true,0.54115185399447929,0,0,5.9287877500949585e-323,3,1,MIP
19,6.0159997940063477,13.012109600237119,true,3.4961974185409832,true,0.54170385346937655,0,0,5.9287877500949585e-323,3,1,MIP
20,6.2389998435974121,13.404375372763775,true,3.4961974185409832,true,0.5417280592897048,0,0,5.9287877500949585e-323,3,1,MIP
21,6.5460000038146973,13.901265639631756,true,3.4961974185409832,true,0.5417280592897048,0,0,5.9287877500949585e-323,3,1,MIP
22,6.8299999237060547,14.593108146708644,true,3.4961974185409832,true,0.54286451882795228,0,0,5.9287877500949585e-323,3,1,MIP
23,7.2519998550415039,15.151639783101468,true,3.3437912139402606,true,0.54286451882795228,0,0,8.8931816251424378e-323,3,1,MIP
24,7.3549997806549072,15.388254428774578,true,3.3437912139402606,true,0.54330726952570452,0,0,8.8931816251424378e-323,3,1,MIP
25,7.619999885559082,15.849384646595144,true,3.3437912139402606,true,0.54330726952570452,0,0,8.8931816251424378e-323,3,1,MIP
26,8.0209999084472656,16.948271761538816,true,3.3437912139402606,true,0.5441014182435896,0,0,8.8931816251424378e-323,3,1,MIP
27,8.2289998531341553,17.316149868074653,true,3.3437912139402606,true,0.54414532051618003,0,0,8.8931816251424378e-323,3,1,MIP
28,8.4789998531341553,17.75360301755147,true,3.3437912139402606,true,0.54414532051618003,0,0,8.8931816251424378e-323,3,1,MIP
29,8.8639998435974121,18.749205843127584,true,3.3437912139402606,true,0.54441266191776039,0,0,8.8931816251424378e-323,3,1,MIP
30,9.6669998168945312,19.967735736862316,true,3.3397588569958159,true,0.54441266191776039,0,0,1.284570679187241e-322,3,1,MIP
31,9.812999963760376,20.331093355112472,true,3.3397588569958159,true,0.54442643391813739,0,0,1.284570679187241e-322,3,1,MIP
