sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.99917579999999,294.99917570000002,"absolute process deadline origin"
1,0.0010172,"instance_parsing_start","start",299.99898289999999,294.99898280000002,"E:\codes\ExactEBRP\reference\hard_stress\V20_M3\high_imbalance_seed3202.txt"
2,0.0018917999999999999,"instance_parsing_complete","complete",299.99810830000001,294.99810819999999,"instance=high_imbalance_seed3202.txt"
3,0.0021175,"initial_model_data_preprocessing_complete","complete",299.99788260000003,294.9978825,"instance data initialized; empty-route incumbent independently verified"
4,0.0024589,"hga_start","start",299.99754109999998,294.99754109999998,"label=primary_hga;native_generation_stagnation_hga"
5,16.046840599999999,"hga_generation_loop_complete","complete",283.95315950000003,278.9531594,"label=primary_hga;generations=2083;no_improve=2000"
6,16.0501468,"hga_best_solution_extraction_start","start",283.94985350000002,278.94985320000001,"label=primary_hga"
7,16.0511163,"hga_best_solution_extraction_complete","complete",283.94888379999998,278.94888370000001,"label=primary_hga"
8,16.051448199999999,"hga_route_decoding_start","start",283.94855180000002,278.94855180000002,"label=primary_hga"
9,16.051857099999999,"hga_route_decoding_complete","complete",283.94814300000002,278.94814289999999,"label=primary_hga"
10,16.051954500000001,"independent_hga_verification_start","start",283.9480456,278.94804549999998,"label=primary_hga"
11,16.052037200000001,"independent_hga_verification_complete","complete",283.94796280000003,278.94796280000003,"label=primary_hga;feasible=true"
12,16.0570187,"improving_gini_range_construction_complete","complete",283.9429816,278.94298149999997,"lower=0.000000;upper=0.950000;complete=true"
13,16.057479900000001,"exact_phase_start","start",283.94252030000001,278.94252019999999,"arm=round31-nonblocking-native-bound"
14,16.057600099999998,"connectivity_flow_preparation_complete","complete",283.9423999,278.9423999,"variant=round20-current"
15,16.065161100000001,"gurobi_environment_creation","complete",283.93483930000002,278.93483900000001,"fixed_interval_backend"
16,16.065500799999999,"external_backend_creation","complete",283.93449929999997,278.9344992,"backend=gurobi;arm=C6-CANDIDATE"
17,16.0658669,"external_artifact_directory_creation","complete",283.93413320000002,278.93413320000002,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage5__high_imbalance_seed3202__c6_candidate__rep2__300s\external"
18,16.066831499999999,"first_tree_ledger_opened","complete",283.93316859999999,278.93316859999999,"E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage5__high_imbalance_seed3202__c6_candidate__rep2__300s\external\paper_tree_events.csv"
19,16.0669857,"first_external_tree_event","start",283.93301450000001,278.93301430000002,"scheduler_select_next"
20,16.067152799999999,"root_canonical_model_construction_start","start",283.93284720000003,278.93284720000003,"leaf=L0"
21,16.067242499999999,"first_interval_model_build","start",283.9327576,278.93275749999998,"leaf=L0"
22,16.175665500000001,"static_row_factory_preparation_complete","complete",283.82433459999999,278.82433450000002,"canonical strengthened interval row factory"
23,16.175799300000001,"root_canonical_model_construction_complete","complete",283.82420079999997,278.82420079999997,"leaf=L0"
24,16.175934999999999,"first_interval_model_build_complete","complete",283.82406520000001,278.82406509999998,"leaf=L0"
25,16.176057499999999,"first_lp_optimize_launch","start",283.82394260000001,278.82394260000001,"leaf=L0"
26,233.35052540000001,"final_result_serialization_start","start",66.649474700000013,61.649474599999991,""
27,233.35207170000001,"final_result_serialization_complete","complete",66.647928400000012,61.64792829999999,""
28,233.3521629,"process_exit","complete",66.647837199999998,61.647837199999998,"rc=0"
