leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L0,"",0,0,0.245,1,0,1,0,0,"INFEASIBLE",13.169437695004843,5.7848207
L1,"",0,0.245,0.48999999999999999,1,0,1,0,0,"INFEASIBLE",39.897859610721362,20.485308
L2,"",0,0.48999999999999999,0.73499999999999999,1,1,0,1,8.10495960960559,"OPTIMAL",6.8461342704960417,23.977241299999999
L2.0,"L2",1,0.48999999999999999,0.61250000000000004,1,1,0,1,8.1177910201529127,"OPTIMAL",8.8929912640413669,28.238707600000001
L2.1,"L2",1,0.61250000000000004,0.73499999999999999,1,1,0,1,8.1651385017876876,"OPTIMAL",8.7630836290005387,32.323343000000001
L3,"",0,0.73499999999999999,0.97999999999999998,1,1,0,1,8.2876385017876899,"OPTIMAL",4.6361566991421643,35.074823100000003
L3.0,"L3",1,0.73499999999999999,0.85749999999999993,1,1,0,1,8.2876385017876899,"OPTIMAL",4.4920023481557827,38.685589200000003
L3.1,"L3",1,0.85749999999999993,0.97999999999999998,1,1,0,1,8.4101385017876886,"OPTIMAL",3.9360236553697692,41.267135400000001
L2.0.0,"L2.0",2,0.48999999999999999,0.55125000000000002,1,0,1,0,0,"INFEASIBLE",16.694659612384839,250.41893690000001
L2.0.1,"L2.0",2,0.55125000000000002,0.61250000000000004,1,1,0,1,8.1373315853622934,"OPTIMAL",7.7439914113098212,254.34230830000001
L2.0.1.0,"L2.0.1",3,0.55125000000000002,0.58187500000000003,1,1,0,1,8.3087066907619231,"OPTIMAL",7.8913223739721241,258.17640080000001
L2.0.1.1,"L2.0.1",3,0.58187500000000003,0.61250000000000004,1,1,0,1,8.148581973845193,"OPTIMAL",6.4716393948417661,261.7285521
L2.0.1.1.0,"L2.0.1.1",4,0.58187500000000003,0.59718749999999998,1,1,0,1,8.157014650854709,"OPTIMAL",6.8727529445307658,265.21699699999999
L2.0.1.1.1,"L2.0.1.1",4,0.59718749999999998,0.61250000000000004,1,1,0,1,8.1545561537083682,"OPTIMAL",9.0481452792817567,269.53069470000003
L2.0.1.1.0.0,"L2.0.1.1.0",5,0.58187500000000003,0.58953125000000006,1,1,0,1,8.1766909935958036,"OPTIMAL",7.9957582356944226,279.04687990000002
L2.0.1.1.0.1,"L2.0.1.1.0",5,0.58953125000000006,0.59718749999999998,1,1,0,1,8.1591213347260361,"OPTIMAL",8.191148637745636,282.94657410000002
L2.0.1.1.1.0,"L2.0.1.1.1",5,0.59718749999999998,0.60484375000000001,1,1,0,1,8.1552118019094877,"OPTIMAL",6.8480503121440757,292.71210100000002
L2.0.1.1.1.1,"L2.0.1.1.1",5,0.60484375000000001,0.61250000000000004,1,1,0,1,8.1579481072341888,"OPTIMAL",7.3078043949639202,296.6688987
