leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,native_log
L0,LP,"OPTIMAL",0,22.6354,0.163,0.472167,0,2133,0,0.0292017,a57e9d772df5c74b042d38369f8f9c5282e1c865a2a675e6f9b6c0df4754c968,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0_lp.gurobi.log"
L0.0,LP,"OPTIMAL",0,22.3234,0.176,0.482534,0,1957,0,0.0292017,c9cd02a07e3c2a0d9f9edb8ce86d693efe552c9a4d30bd1852a3bef343b41473,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0_lp.gurobi.log"
L0.1,LP,"OPTIMAL",0,21.9928,0.155,0.42874,0,1888,0,0.0296434,4bf599df4bdb1857ffe4d95678fadb1209287bdd6a5d87b712ca743099d366ba,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.1_lp.gurobi.log"
L0.0.0,LP,"OPTIMAL",0,21.6876,0.132,0.362552,0,1529,0,0.0296434,d43ad79efe9ebfd8398736a7ba3201f907fbaa8b2769d9b3f779c9790b05b694,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0_lp.gurobi.log"
L0.0.1,LP,"OPTIMAL",0,21.4035,0.135,0.379445,0,1630,0,0.0296434,b977f5e37edfd4726b1bcc3784a6eec8805fb9c5d8acc97dfe1f89143cd35634,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1_lp.gurobi.log"
L0.0.0.0,LP,"INFEASIBLE",0,21.1165,0.00199986,0.00444774,0,0,0,0.0296434,85274e38b6e7179d2f3e0f340d9e69cb82a98dca20afdfb626783fcd3ab0b07d,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.0_lp.gurobi.log"
L0.0.0.1,LP,"OPTIMAL",0,20.9644,0.136,0.376027,0,1641,0,0.0296434,4f281ef364d8037db5e6c2904416ca1571596cb1ef185f0d8ebe69b395b8434a,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1_lp.gurobi.log"
L0.0.0.1.0,LP,"OPTIMAL",0,20.6817,0.134,0.373091,0,1601,0,0.0296434,58c165f8c448c79dde96e331911731018a07825872bc3456756a32ba035d0b5f,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0_lp.gurobi.log"
L0.0.0.1.1,LP,"OPTIMAL",0,20.3956,0.152,0.426834,0,1841,0,0.0296434,de78f7bca351bed9cdc3e9a74c2f23a045180f1f15901af62f0a237aa2d685fe,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1_lp.gurobi.log"
L0.0.0.1.0.0,LP,"OPTIMAL",0,20.09,0.134,0.36807,0,1797,0,0.0296434,7734fb2b2babe65606c2490a1d4fcb7f1728716cd3810e38336856633f599fe1,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0.0_lp.gurobi.log"
L0.0.0.1.0.1,LP,"OPTIMAL",0,19.8054,0.137,0.376963,0,1606,0,0.0296434,7c987c5193c6edb55b9fcaf6135e0da56db1cfe3b4d1ff80fc56ddb9a050a26e,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0.1_lp.gurobi.log"
L0.0.0.1.1.0,LP,"OPTIMAL",0,19.5166,0.137,0.37423,0,1852,0,0.0296434,d13d0c7d862071cad8389dc27458e3f6896ed1d30a53c6bb24173d3bd9abfec4,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.0_lp.gurobi.log"
L0.0.0.1.1.1,LP,"OPTIMAL",0,19.2321,0.135,0.379882,0,1591,0,0.0296434,17674df7f45a08db9096de2650ed1e0d87a9156daa97359ea9b4bd1700c9c5dd,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.1_lp.gurobi.log"
L0.0.0.1.0.0.0,LP,"OPTIMAL",0,18.9484,0.12,0.319095,0,1620,0,0.0296434,2c40328493c180764fca438255d671844932a0203356451ab55e385160aa1c89,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0.0.0_lp.gurobi.log"
