number,id,arm,stage,cap,executable_sha256,initial_U,initial_hash,generated_in_this_process,startup_accepted_seconds,native_start_enabled,native_start_submitted,route_snapshot_sha256,initial_domain_sha256,first_canonical_model_sha256
20,warm_micro,warm-joint,warm_micro_v3,20,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.208333333333,409252c2f8e3901e,True,0.0670658,False,0,51f614050f9dac73023d354384d6e157f99848fd26ec19cfde97f5168c53b67f,a5c77fe942ae7332b447b2c7158b99c121e1d1b4b5fce5b25ba5a3139e118ae6,2923776654bfd475d331343c37722739b2059f48f4047a378d529418eecd9b6e
21,C2,warm-off,warm_dev_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.829963413172,8e0f632eed80ae79,True,2.6647863,False,0,8d7df78582cc476387341898c8022760f4c749b6a74b2d3fc7b611486e5dba2c,5fb719b79bb3075ec38d192341f2c7167e35e0780f25bc4447c3ddd7d7225c96,48f00424ac4080a0b940b5a8c9351072ce8bb94243b95cfeec26fc580474e014
22,C2,warm-q,warm_dev_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.829963413172,8e0f632eed80ae79,True,2.6467698,False,0,8d7df78582cc476387341898c8022760f4c749b6a74b2d3fc7b611486e5dba2c,5fb719b79bb3075ec38d192341f2c7167e35e0780f25bc4447c3ddd7d7225c96,23d5be8e5103dc5b3b871e7c055f1eb98a1503d0ae88efd43acc7d7a4d53f76b
23,C2,warm-sep,warm_dev_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.829963413172,8e0f632eed80ae79,True,2.6369421,False,0,8d7df78582cc476387341898c8022760f4c749b6a74b2d3fc7b611486e5dba2c,5fb719b79bb3075ec38d192341f2c7167e35e0780f25bc4447c3ddd7d7225c96,a56f724a769157a3158ee1f721453919ba2e0bcf486fbb28d9e8ff4fde2dbbd5
24,C2,warm-joint,warm_dev_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.829963413172,8e0f632eed80ae79,True,2.6224312,False,0,8d7df78582cc476387341898c8022760f4c749b6a74b2d3fc7b611486e5dba2c,5fb719b79bb3075ec38d192341f2c7167e35e0780f25bc4447c3ddd7d7225c96,4bf967822ba032fbe3b84b0223776165380add173eda7113b31d8ee3901b277d
25,D7,warm-off,warm_dev_v3,1200,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.215644075316,223301de8cf037a8,True,571.9838355,False,0,94b23ea1102c350e946eba9bad8beb449afef90a87008871bb193a7864c39517,9f12e88ccb77fce8d8a6348990113cfa911339b0b0872b70c908a50cdb864c3b,f9469522f7aacde46496bf7affbb34193aa3f1765699f4efce12fe4fe3b1ff7e
26,D7,warm-q,warm_dev_v3,1200,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.215644075316,223301de8cf037a8,True,567.5099969,False,0,94b23ea1102c350e946eba9bad8beb449afef90a87008871bb193a7864c39517,9f12e88ccb77fce8d8a6348990113cfa911339b0b0872b70c908a50cdb864c3b,b573fc438d56cf0cece699832c40a3cb9b702391dc569a94ea27b849bfe9b314
27,D7,warm-sep,warm_dev_v3,1200,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.215644075316,223301de8cf037a8,True,569.2710986,False,0,94b23ea1102c350e946eba9bad8beb449afef90a87008871bb193a7864c39517,9f12e88ccb77fce8d8a6348990113cfa911339b0b0872b70c908a50cdb864c3b,a0d798628d34216c4184f5ea030c85f5b40f55b95eb1b829056a0c7e3c47ea26
28,D7,warm-joint,warm_dev_v3,1200,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.215644075316,223301de8cf037a8,True,569.8937219,False,0,94b23ea1102c350e946eba9bad8beb449afef90a87008871bb193a7864c39517,9f12e88ccb77fce8d8a6348990113cfa911339b0b0872b70c908a50cdb864c3b,379c063d83311a399e298d5bdb63bb212df56180053a129e258de1ae3632cc83
33,D3,warm-off,warm_protection_v3,600,bd059f22d7b27884cb66ce3f7c20579b1ddd6796f61caded7149ab474f26a1d1,0.0494686826144,be277dbd5cd0e67e,True,2.0794324,False,0,f4a519d63e4e4295fc2ffee7f2c9198983f62540718f8f970e924cd534ac4479,6baff4489a52e0c74ca15c1aeb144a07ccb5a05714a30354989d8a1b246ac15d,393d73d9ec578548710f6b0115a4e7dc05f97e780109e72b80b5f42f89a73e41
