sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",1799.9991322000001,1784.9991319999999,"absolute process deadline origin"
1,0.0012489000000000001,"instance_parsing_start","start",1799.9987513000001,1784.9987512,"E:\codes\ExactEBRP\reference\regen_candidate_V12_M2_average.txt"
2,0.0021047000000000001,"instance_parsing_complete","complete",1799.9978954000001,1784.9978953,"instance=regen_candidate_V12_M2_average.txt"
3,0.0023427000000000001,"initial_model_data_preprocessing_complete","complete",1799.9976574,1784.9976574,"instance data initialized; empty-route incumbent independently verified"
4,0.0033576999999999999,"improving_gini_range_construction_complete","complete",1799.9966423999999,1784.9966423999999,"lower=0.000000;upper=0.789342;complete=true"
5,0.0036080000000000001,"exact_phase_start","start",1799.9963921000001,1784.996392,"arm=round31-nonblocking-native-bound"
6,0.0039044000000000001,"connectivity_flow_preparation_complete","complete",1799.9960957000001,1784.9960956,"variant=round20-current"
7,0.0145092,"gurobi_environment_creation","complete",1799.9854909000001,1784.9854908,"fixed_interval_backend"
8,0.0146634,"external_backend_creation","complete",1799.9853367000001,1784.9853367000001,"backend=gurobi;arm=C6-CANDIDATE"
9,0.015047,"external_artifact_directory_creation","complete",1799.9849531,1784.9849531,"E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__V12_M2__c6_simple_start__1800s\external"
10,0.0157232,"first_tree_ledger_opened","complete",1799.984277,1784.9842768999999,"E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__V12_M2__c6_simple_start__1800s\external\paper_tree_events.csv"
11,0.0158733,"first_external_tree_event","start",1799.9841268,1784.9841268,"scheduler_select_next"
12,0.015984700000000001,"root_canonical_model_construction_start","start",1799.9840154000001,1784.9840154000001,"leaf=L0"
13,0.016067700000000001,"first_interval_model_build","start",1799.9839323000001,1784.9839323000001,"leaf=L0"
14,0.184339,"static_row_factory_preparation_complete","complete",1799.8156610999999,1784.8156610000001,"canonical strengthened interval row factory"
15,0.1846555,"root_canonical_model_construction_complete","complete",1799.8153448,1784.8153445999999,"leaf=L0"
16,0.18500269999999999,"first_interval_model_build_complete","complete",1799.8149974,1784.8149973,"leaf=L0"
17,0.18518470000000001,"first_lp_optimize_launch","start",1799.8148154,1784.8148153,"leaf=L0"
18,82.319027700000007,"final_result_serialization_start","start",1717.6809727,1702.6809725000001,""
19,82.320700599999995,"final_result_serialization_complete","complete",1717.6792995999999,1702.6792995000001,""
20,82.320887900000002,"process_exit","complete",1717.6791122,1702.6791121000001,"rc=0"
