sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",1799.9991911,1784.9991911,"absolute process deadline origin"
1,0.00098639999999999991,"instance_parsing_start","start",1799.9990137,1784.9990135999999,"E:\codes\ExactEBRP\reference\heldout_round22\V20_M3\moderate_seed4302.txt"
2,0.0018454000000000001,"instance_parsing_complete","complete",1799.9981547,1784.9981545999999,"instance=moderate_seed4302.txt"
3,0.0020929999999999998,"initial_model_data_preprocessing_complete","complete",1799.9979069999999,1784.9979069999999,"instance data initialized; empty-route incumbent independently verified"
4,0.0038539999999999998,"improving_gini_range_construction_complete","complete",1799.9961463,1784.996146,"lower=0.000000;upper=0.066077;complete=true"
5,0.0044314000000000003,"exact_phase_start","start",1799.9955689000001,1784.9955686999999,"arm=round31-nonblocking-native-bound"
6,0.0054887,"connectivity_flow_preparation_complete","complete",1799.9945115,1784.9945113000001,"variant=round20-current"
7,0.017014899999999999,"gurobi_environment_creation","complete",1799.9829854,1784.9829852,"fixed_interval_backend"
8,0.017363199999999999,"external_backend_creation","complete",1799.9826370000001,1784.9826369,"backend=gurobi;arm=C6-CANDIDATE"
9,0.0180086,"external_artifact_directory_creation","complete",1799.9819914,1784.9819914,"E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__moderate_seed4302__c6_simple_start__1800s\external"
10,0.0193831,"first_tree_ledger_opened","complete",1799.9806169999999,1784.9806169999999,"E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__moderate_seed4302__c6_simple_start__1800s\external\paper_tree_events.csv"
11,0.019523200000000001,"first_external_tree_event","start",1799.9804769,1784.9804769,"scheduler_select_next"
12,0.019638900000000001,"root_canonical_model_construction_start","start",1799.9803612000001,1784.9803611,"leaf=L0"
13,0.0197729,"first_interval_model_build","start",1799.9802271999999,1784.9802271000001,"leaf=L0"
14,0.1358915,"static_row_factory_preparation_complete","complete",1799.8641086,1784.8641084999999,"canonical strengthened interval row factory"
15,0.13603000000000001,"root_canonical_model_construction_complete","complete",1799.8639701,1784.8639701,"leaf=L0"
16,0.13611090000000001,"first_interval_model_build_complete","complete",1799.8638891999999,1784.8638891000001,"leaf=L0"
17,0.13620309999999999,"first_lp_optimize_launch","start",1799.8637968999999,1784.8637968999999,"leaf=L0"
18,755.99086769999997,"final_result_serialization_start","start",1044.0091324999999,1029.0091324,""
19,755.9920224,"final_result_serialization_complete","complete",1044.0079777999999,1029.0079777000001,""
20,755.99210930000004,"process_exit","complete",1044.0078908,1029.0078907,"rc=0"
