leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"OPTIMAL",0,1783.77,3.083,10.302,0,9981,0,0.234074,028b03637d2fd308e5badb714796a48408b293b4bf7e68e309248f39f3d48b54,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,1779.2,2.535,8.40167,0,8574,0,0.249764,50c66de1b016c550a11ecc9ca8592759a718bd29f10f063347e918d2919032e3,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L1_lp.gurobi.log"
L2,LP,"OPTIMAL",0,1775.17,2.616,8.48364,0,9097,0,0.265407,2e3129db8f88c15eb30211a5a46361e8b8a383c7a5a4e0e691c1a2e0bef177e6,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L2_lp.gurobi.log"
L0,NEXT_LEAF_TARGET_MIP,"INTERRUPTED",0,1772.27,22.497,54.4831,1,21192,0,0.542307,028b03637d2fd308e5badb714796a48408b293b4bf7e68e309248f39f3d48b54,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L0_c6_1_next_leaf_target_mip.gurobi.log"
L1,NEXT_LEAF_TARGET_MIP,"INTERRUPTED",0,1749.71,29.733,77.7109,1,28204,0,0.662845,50c66de1b016c550a11ecc9ca8592759a718bd29f10f063347e918d2919032e3,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L1_c6_1_next_leaf_target_mip.gurobi.log"
L0.0,LP,"INFEASIBLE",0,1718.72,4.522,15.7231,0,12140,0,0.662845,f21fcd9922fefbaea3392963cc5e91cc3de51d749039108a502e380fb5024c1e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L0.0_lp.gurobi.log"
L0.1,LP,"OPTIMAL",0,1712.71,3.384,10.9536,0,9520,0,0.662845,3a9f6451fbdeedbe565c93ab0c6fd6b695f340c0ce1e9a5cecc85d7a7fb26ff1,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L0.1_lp.gurobi.log"
L0.1,NEXT_LEAF_TARGET_MIP,"INTERRUPTED",0,1709.02,31.167,74.7338,1,26909,0,0.688442,3a9f6451fbdeedbe565c93ab0c6fd6b695f340c0ce1e9a5cecc85d7a7fb26ff1,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L0.1_c6_1_next_leaf_target_mip.gurobi.log"
L1.0,LP,"OPTIMAL",0,1676.6,3.359,11.0528,0,10027,0,0.688442,7d7b2322174f9f2e91debbd5f4cbcf283060c2963de9d9e1bc75618890b6c956,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L1.0_lp.gurobi.log"
L1.1,LP,"OPTIMAL",0,1671.76,2.399,7.78314,0,8476,0,0.688442,2590225976abf91fc79397341d2817581f4539c4890fc6d6a424ad8d632acc3a,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L1.1_lp.gurobi.log"
L1,MIP,"TIME_LIMIT",0,1669.07,1669.09,5365.82,147,1.46864e+06,0,0.878636,50c66de1b016c550a11ecc9ca8592759a718bd29f10f063347e918d2919032e3,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__1800s\external\native_logs\L1_terminal_mip.gurobi.log"
