leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"OPTIMAL",0,1784.86,0.394,1.05947,0,4744,0,0.0285212,c7d64bbb4ba8e47b80443530af2bb4fc8183ca21cca692ab3400fb6a0bac258a,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,1784.32,0.278,0.752997,0,3750,0,0.0305388,3e62d68f17618c046fb80a0aab2d95c7fb402b274eebb194fdc3f5619d5f2fc6,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L1_lp.gurobi.log"
L0,NEXT_LEAF_TARGET_MIP,"INTERRUPTED",0,1784.01,0.489,1.07038,1,4080,0,0.0405483,c7d64bbb4ba8e47b80443530af2bb4fc8183ca21cca692ab3400fb6a0bac258a,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L0_c6_1_next_leaf_target_mip.gurobi.log"
L2,LP,"OPTIMAL",0,1783.38,0.199,0.554158,0,2969,0,0.0416821,4c03139009602433a2cfc638456cf2aa4baa5b6a937d8ff9ae1be697bc736411,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L2_lp.gurobi.log"
L1,NEXT_LEAF_TARGET_MIP,"INTERRUPTED",0,1783.14,0.572,1.25289,1,4297,0,0.0775888,3e62d68f17618c046fb80a0aab2d95c7fb402b274eebb194fdc3f5619d5f2fc6,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L1_c6_1_next_leaf_target_mip.gurobi.log"
L0.0,LP,"INFEASIBLE",0,1782.45,0.343,0.769364,0,3328,0,0.0775888,13b3a437a2d91b7f2355051033a56f24ce113255ba50a0f88ebab3d8deb73752,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L0.0_lp.gurobi.log"
L0.1,LP,"OPTIMAL",0,1781.95,0.39,1.05955,0,4763,0,0.0775888,391fc3354c366f1ead743ab85a73d7698a051ce68bfbec95c2cc5fc1abb430f7,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L0.1_lp.gurobi.log"
L0.1,NEXT_LEAF_TARGET_MIP,"INFEASIBLE",0,1781.53,1.381,2.65327,1,8128,0,0.0807272,391fc3354c366f1ead743ab85a73d7698a051ce68bfbec95c2cc5fc1abb430f7,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L0.1_c6_1_next_leaf_target_mip.gurobi.log"
L1.0,LP,"OPTIMAL",0,1780.02,0.212,0.58993,0,3101,0,0.0807272,ddfa96cada1b3e9e047a8aa92d7ad929028749414cd52b4c1fb364818c516d81,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L1.0_lp.gurobi.log"
L1.1,LP,"OPTIMAL",0,1779.65,0.216,0.612268,0,3004,0,0.0807272,d6ab1d3be50416425e0cfe8249179c33e5a109d9213d66a37a203fac13044542,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L1.1_lp.gurobi.log"
L1,MIP,"OPTIMAL",0,1779.4,1557.24,3275.16,21605,8.90728e+06,0,0.245133,3e62d68f17618c046fb80a0aab2d95c7fb402b274eebb194fdc3f5619d5f2fc6,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L1_terminal_mip.gurobi.log"
L2,NEXT_LEAF_TARGET_MIP,"INTERRUPTED",0,222.107,0.377,0.834851,1,3221,0,0.245133,4c03139009602433a2cfc638456cf2aa4baa5b6a937d8ff9ae1be697bc736411,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L2_c6_1_next_leaf_target_mip.gurobi.log"
L3,LP,"OPTIMAL",0,221.589,0.222,0.62129,0,3300,0,0.245133,5a6eb5da3e77a14c154001451d05fcc5f0b7b1ea41397716ef8509b9b351cf87,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L3_lp.gurobi.log"
L2.0,LP,"OPTIMAL",0,221.206,0.204,0.598538,0,3201,0,0.245133,6eced33fa537171c7f5eed3804073384c2032a7f51f684c8f2854edb86d66ec8,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L2.0_lp.gurobi.log"
L2.1,LP,"OPTIMAL",0,220.839,0.23,0.64495,0,3346,0,0.245133,8ac45219fe27ea6fbd04b902edf9b9322ee17afae9cfa9ec0e14aa8e530b4d2d,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L2.1_lp.gurobi.log"
L2,MIP,"OPTIMAL",0,220.577,187.1,355.992,4493,1.21158e+06,0,0.245133,4c03139009602433a2cfc638456cf2aa4baa5b6a937d8ff9ae1be697bc736411,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\matrix1800__tight_T_seed5102__c6_simple_start__1800s\external\native_logs\L2_terminal_mip.gurobi.log"
