sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",3599.9991632000001,3584.9991632000001,"absolute process deadline origin"
1,0.0010323999999999999,"instance_parsing_start","start",3599.9989676999999,3584.9989676999999,"E:\codes\ExactEBRP\reference\heldout_round31\V50_M3\round31_sealed_moderate_V50_seed1112848618.txt"
2,0.0022008000000000002,"instance_parsing_complete","complete",3599.9977991999999,3584.9977991999999,"instance=round31_sealed_moderate_V50_seed1112848618.txt"
3,0.0025154000000000001,"initial_model_data_preprocessing_complete","complete",3599.9974846999999,3584.9974846999999,"instance data initialized; empty-route incumbent independently verified"
4,0.0137004,"improving_gini_range_construction_complete","complete",3599.9862997,3584.9862997,"lower=0.000000;upper=0.758813;complete=true"
5,0.013799199999999999,"exact_phase_start","start",3599.9862008,3584.9862008,"arm=round31-nonblocking-native-bound"
6,0.0139168,"connectivity_flow_preparation_complete","complete",3599.9860831999999,3584.9860831999999,"variant=round20-current"
7,0.0200182,"gurobi_environment_creation","complete",3599.9799819999998,3584.9799819,"fixed_interval_backend"
8,0.020183599999999999,"external_backend_creation","complete",3599.9798165000002,3584.9798163999999,"backend=gurobi;arm=C6-CANDIDATE"
9,0.020577499999999999,"external_artifact_directory_creation","complete",3599.9794225000001,3584.9794225000001,"E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\repeat__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__repeat1__3600s\external"
10,0.022045100000000002,"first_tree_ledger_opened","complete",3599.9779551000001,3584.9779549999998,"E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\repeat__round31_sealed_moderate_V50_seed1112848618__c6_simple_start__repeat1__3600s\external\paper_tree_events.csv"
11,0.022187999999999999,"first_external_tree_event","start",3599.9778120000001,3584.9778120000001,"scheduler_select_next"
12,0.022274499999999999,"root_canonical_model_construction_start","start",3599.9777256000002,3584.9777256000002,"leaf=L0"
13,0.022350999999999999,"first_interval_model_build","start",3599.9776490999998,3584.9776490999998,"leaf=L0"
14,1.2345660000000001,"static_row_factory_preparation_complete","complete",3598.7654342000001,3583.7654339999999,"canonical strengthened interval row factory"
15,1.2347060999999999,"root_canonical_model_construction_complete","complete",3598.7652939,3583.7652939,"leaf=L0"
16,1.2350236000000001,"first_interval_model_build_complete","complete",3598.7649766999998,3583.7649765000001,"leaf=L0"
17,1.2352616000000001,"first_lp_optimize_launch","start",3598.7647385,3583.7647384000002,"leaf=L0"
18,3585.1530290000001,"final_result_serialization_start","start",14.84697129999995,-0.15302900000006048,""
19,3585.1548999000001,"final_result_serialization_complete","complete",14.845100200000161,-0.15489979999983916,""
20,3585.1549961999999,"process_exit","complete",14.845003899999938,-0.1549961999999141,"rc=0"
