sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",1799.9988963000001,1784.9988963000001,"absolute process deadline origin"
1,0.0013190000000000001,"instance_parsing_start","start",1799.9986811000001,1784.9986811000001,"E:\codes\ExactEBRP\reference\heldout_round22\V20_M3\tight_T_seed4101.txt"
2,0.0022106999999999999,"instance_parsing_complete","complete",1799.9977894000001,1784.9977893,"instance=tight_T_seed4101.txt"
3,0.0024586999999999999,"initial_model_data_preprocessing_complete","complete",1799.9975414,1784.9975413,"instance data initialized; empty-route incumbent independently verified"
4,0.0042320999999999999,"improving_gini_range_construction_complete","complete",1799.995768,1784.995768,"lower=0.000000;upper=0.733321;complete=true"
5,0.0043318000000000002,"exact_phase_start","start",1799.9956683,1784.9956682,"arm=round31-nonblocking-native-bound"
6,0.0044467999999999999,"connectivity_flow_preparation_complete","complete",1799.9955533,1784.9955531999999,"variant=round20-current"
7,0.010615599999999999,"gurobi_environment_creation","complete",1799.9893846,1784.9893844000001,"fixed_interval_backend"
8,0.0107674,"external_backend_creation","complete",1799.9892327,1784.9892327,"backend=gurobi;arm=C6-CANDIDATE"
9,0.0111033,"external_artifact_directory_creation","complete",1799.9888968,1784.9888966999999,"E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\repeat__tight_T_seed4101__c6_simple_start__repeat1__1800s\external"
10,0.012316300000000001,"first_tree_ledger_opened","complete",1799.9876839999999,1784.9876838,"E:\codes\ExactEBRP\results\gf_simple_start_qualification_round35\runs\repeat__tight_T_seed4101__c6_simple_start__repeat1__1800s\external\paper_tree_events.csv"
11,0.012681,"first_external_tree_event","start",1799.9873192,1784.9873190000001,"scheduler_select_next"
12,0.0129488,"root_canonical_model_construction_start","start",1799.9870513000001,1784.9870512,"leaf=L0"
13,0.0132116,"first_interval_model_build","start",1799.9867886,1784.9867885000001,"leaf=L0"
14,0.12863459999999999,"static_row_factory_preparation_complete","complete",1799.8713656,1784.8713654999999,"canonical strengthened interval row factory"
15,0.12876470000000001,"root_canonical_model_construction_complete","complete",1799.8712353999999,1784.8712353999999,"leaf=L0"
16,0.12884399999999999,"first_interval_model_build_complete","complete",1799.8711561,1784.8711561,"leaf=L0"
17,0.12892709999999999,"first_lp_optimize_launch","start",1799.8710728999999,1784.8710728999999,"leaf=L0"
18,335.22425470000002,"final_result_serialization_start","start",1464.7757457,1449.7757454,""
19,335.22525180000002,"final_result_serialization_complete","complete",1464.7747483000001,1449.7747483000001,""
20,335.22603950000001,"process_exit","complete",1464.7739606999999,1449.7739606,"rc=0"
