sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",21599.999175100002,21579.999175100002,"absolute process deadline origin"
1,0.0010346000000000001,"instance_parsing_start","start",21599.998965499999,21579.998965399998,"E:\codes\ExactEBRP\reference\qualification_round39\small-hard\round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt"
2,0.0018343999999999999,"instance_parsing_complete","complete",21599.998165600002,21579.998165600002,"instance=round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt"
3,0.0021821000000000002,"initial_model_data_preprocessing_complete","complete",21599.997818,21579.997817899999,"instance data initialized; empty-route incumbent independently verified"
4,0.0025246999999999999,"hga_start","start",21599.9974754,21579.9974754,"label=primary_hga;native_generation_stagnation_hga"
5,1.0923836,"hga_generation_loop_complete","complete",21598.907616699998,21578.907616500001,"label=primary_hga;generations=1003;no_improve=1000"
6,1.0946958,"hga_best_solution_extraction_start","start",21598.905304700002,21578.9053045,"label=primary_hga"
7,1.0949243,"hga_best_solution_extraction_complete","complete",21598.905075800001,21578.9050757,"label=primary_hga"
8,1.0950899000000001,"hga_route_decoding_start","start",21598.904910199999,21578.904910199999,"label=primary_hga"
9,1.0953693,"hga_route_decoding_complete","complete",21598.9046308,21578.9046308,"label=primary_hga"
10,1.0955842,"independent_hga_verification_start","start",21598.904416099998,21578.9044159,"label=primary_hga"
11,1.0957621,"independent_hga_verification_complete","complete",21598.904237999999,21578.904237999999,"label=primary_hga;feasible=true"
12,1.0978013,"improving_gini_range_construction_complete","complete",21598.902199,21578.902198899999,"lower=0.000000;upper=0.647116;complete=true"
13,1.0979152000000001,"exact_phase_start","start",21598.902084900001,21578.902084900001,"arm=round31-nonblocking-native-bound"
14,1.0980504,"connectivity_flow_preparation_complete","complete",21598.901949700001,21578.901949700001,"variant=round20-current"
15,1.1049177999999999,"gurobi_environment_creation","complete",21598.895082399999,21578.895082200001,"fixed_interval_backend"
16,1.1050793000000001,"external_backend_creation","complete",21598.894920800001,21578.894920800001,"backend=gurobi;arm=C6-CANDIDATE"
17,1.1055410000000001,"external_artifact_directory_creation","complete",21598.8944591,21578.894458999999,"E:\codes\ExactEBRP\results\gf_small_hard_light_round39\runs\primary__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_hga_light_1000\external"
18,1.1064467,"first_tree_ledger_opened","complete",21598.893553400001,21578.8935533,"E:\codes\ExactEBRP\results\gf_small_hard_light_round39\runs\primary__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_hga_light_1000\external\paper_tree_events.csv"
19,1.1067262,"first_external_tree_event","start",21598.893273900001,21578.893273900001,"scheduler_select_next"
20,1.1068359999999999,"root_canonical_model_construction_start","start",21598.893164100002,21578.893164100002,"leaf=L0"
21,1.1069225,"first_interval_model_build","start",21598.893077600002,21578.893077500001,"leaf=L0"
22,1.3175686,"static_row_factory_preparation_complete","complete",21598.682431599998,21578.6824314,"canonical strengthened interval row factory"
23,1.3177217999999999,"root_canonical_model_construction_complete","complete",21598.682278200002,21578.682278200002,"leaf=L0"
24,1.3178243000000001,"first_interval_model_build_complete","complete",21598.682175800001,21578.682175800001,"leaf=L0"
25,1.3179173,"first_lp_optimize_launch","start",21598.682082800002,21578.682082700001,"leaf=L0"
26,77.857370700000004,"final_result_serialization_start","start",21522.142629599999,21502.142629400001,""
27,77.861738000000003,"final_result_serialization_complete","complete",21522.1382624,21502.138262100001,""
28,77.862026099999994,"process_exit","complete",21522.137974199999,21502.137974000001,"rc=0"
