sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",21599.999211400002,21579.999211300001,"absolute process deadline origin"
1,0.00097790000000000008,"instance_parsing_start","start",21599.999022200001,21579.999022100001,"E:\codes\ExactEBRP\reference\qualification_round39\small-medium\round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt"
2,0.0018184,"instance_parsing_complete","complete",21599.9981816,21579.9981816,"instance=round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt"
3,0.0020320999999999998,"initial_model_data_preprocessing_complete","complete",21599.997968,21579.997967899999,"instance data initialized; empty-route incumbent independently verified"
4,0.0023582999999999998,"hga_start","start",21599.997641800001,21579.997641800001,"label=primary_hga;native_generation_stagnation_hga"
5,1.3391907000000001,"hga_generation_loop_complete","complete",21598.6608094,21578.6608093,"label=primary_hga;generations=1129;no_improve=1000"
6,1.3411249000000001,"hga_best_solution_extraction_start","start",21598.6588753,21578.6588753,"label=primary_hga"
7,1.3412078000000001,"hga_best_solution_extraction_complete","complete",21598.658792300001,21578.658792300001,"label=primary_hga"
8,1.3412862000000001,"hga_route_decoding_start","start",21598.6587139,21578.6587139,"label=primary_hga"
9,1.3416254999999999,"hga_route_decoding_complete","complete",21598.658374499999,21578.658374499999,"label=primary_hga"
10,1.341728,"independent_hga_verification_start","start",21598.658272100001,21578.658272000001,"label=primary_hga"
11,1.3418131,"independent_hga_verification_complete","complete",21598.658187000001,21578.658187000001,"label=primary_hga;feasible=true"
12,1.3430299000000001,"improving_gini_range_construction_complete","complete",21598.656970100001,21578.656970100001,"lower=0.000000;upper=0.049469;complete=true"
13,1.3431164,"exact_phase_start","start",21598.656883600001,21578.656883600001,"arm=round31-nonblocking-native-bound"
14,1.3432337999999999,"connectivity_flow_preparation_complete","complete",21598.656766299999,21578.656766299999,"variant=round20-current"
15,1.3526895000000001,"gurobi_environment_creation","complete",21598.647310799999,21578.647310600001,"fixed_interval_backend"
16,1.3529169000000001,"external_backend_creation","complete",21598.647083200001,21578.647083200001,"backend=gurobi;arm=C6-CANDIDATE"
17,1.3532459999999999,"external_artifact_directory_creation","complete",21598.646754000001,21578.646754000001,"E:\codes\ExactEBRP\results\gf_small_hard_light_round39\runs\primary__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_hga_light_1000\external"
18,1.3543717,"first_tree_ledger_opened","complete",21598.645628400001,21578.645628400001,"E:\codes\ExactEBRP\results\gf_small_hard_light_round39\runs\primary__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__c6_hga_light_1000\external\paper_tree_events.csv"
19,1.3546085000000001,"first_external_tree_event","start",21598.645391499998,21578.645391499998,"scheduler_select_next"
20,1.3547072,"root_canonical_model_construction_start","start",21598.645292900001,21578.645292900001,"leaf=L0"
21,1.3547883999999999,"first_interval_model_build","start",21598.645211700001,21578.645211700001,"leaf=L0"
22,1.5607696,"static_row_factory_preparation_complete","complete",21598.439230700002,21578.439230600001,"canonical strengthened interval row factory"
23,1.5609843999999999,"root_canonical_model_construction_complete","complete",21598.439015799999,21578.439015700002,"leaf=L0"
24,1.5611389,"first_interval_model_build_complete","complete",21598.4388612,21578.438861099999,"leaf=L0"
25,1.5612395999999999,"first_lp_optimize_launch","start",21598.438760500001,21578.4387604,"leaf=L0"
26,1931.0515720999999,"final_result_serialization_start","start",19668.9484281,19648.948428,""
27,1931.0525021000001,"final_result_serialization_complete","complete",19668.947498000001,19648.947498000001,""
28,1931.0525846,"process_exit","complete",19668.947415399998,19648.947415399998,"rc=0"
