leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L0,"",0,0,0.068161411485502074,1,1,0,1,0.028964873851235584,"OPTIMAL",0.010031870221957416,0.042011600000000003
L1,"",0,0.068161411485502074,0.13632282297100415,1,1,0,1,0.088821901969617437,"OPTIMAL",0.0092533579947430382,0.1178659
L2,"",0,0.13632282297100415,0.20448423445650621,1,1,0,1,0.15698331345511948,"OPTIMAL",0.0098107480519058574,0.1927198
L1.0,"L1",1,0.068161411485502074,0.1022421172282531,1,1,0,1,0.088821901969617437,"OPTIMAL",0.0096222465298357162,0.2258184
L1.1,"L1",1,0.1022421172282531,0.13632282297100415,1,1,0,1,0.12290260771236847,"OPTIMAL",0.0097176574954179317,0.25798330000000003
L3,"",0,0.20448423445650621,0.2726456459420083,1,1,0,1,0.22514472494062154,"OPTIMAL",0.008403566491760139,0.78293219999999997
L2.0,"L2",1,0.13632282297100415,0.17040352871375519,1,1,0,1,0.15698331345511948,"OPTIMAL",0.0091370120543150992,0.81575030000000004
L2.1,"L2",1,0.17040352871375519,0.20448423445650621,1,1,0,1,0.19106401919787053,"OPTIMAL",0.0098117232130132733,0.84815149999999995
L3.0,"L3",1,0.20448423445650621,0.23856494019925725,1,1,0,1,0.22514472494062154,"OPTIMAL",0.0097810851846231936,1.0228280999999999
L3.1,"L3",1,0.23856494019925725,0.2726456459420083,1,1,0,1,0.25922543068337262,"OPTIMAL",0.0088854250956523669,1.0559509
