run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,lower_s_lower,lower_required_deviation,lower_deviation_lower_sum,lower_deviation_upper_sum,lower_dispersion_penalty_lb,lower_dispersion_bound_used,lower_domain_contradiction,lower_validation_status,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,upper_s_lower,upper_required_deviation,upper_deviation_lower_sum,upper_deviation_upper_sum,upper_dispersion_penalty_lb,upper_dispersion_bound_used,upper_domain_contradiction,upper_validation_status,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
stage1a__moderate4301__s0_safe__120s,0,-1,0,0,1,0,0.019278051143257303,0.0096390255716286514,0.0035549528037535191,1,0,0.0096390255716286514,0.0035549528037535191,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,2,0.0096390255716286514,0.019278051143257303,0.0035549528037535191,0.0096390255716286514,0,0.0096390255716286514,0.0060840727678751327,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,3.2043173999999999,0,1,4721,passed,
stage1a__moderate4301__s0_safe__120s,1,0,1,1,2,0,0.0096390255716286514,0.0048195127858143257,0.0035622466352874843,3,0,0.0048195127858143257,0.0035622466352874843,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,4,0.0048195127858143257,0.0096390255716286514,0.0035622466352874843,0.0048195127858143257,0,0.0048195127858143257,0.0012572661505268414,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,3.2681255,1,2,4721,passed,
stage1a__moderate4301__s0_safe__120s,2,0,1,1,2,0.0096390255716286514,0.019278051143257303,0.014458538357442978,0.010910493313564135,5,0.0096390255716286514,0.014458538357442978,0.010910493313564135,0.0096390255716286514,0,0.0096390255716286514,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,6,0.014458538357442978,0.019278051143257303,0.010910493313564135,0.014458538357442978,0,0.014458538357442978,0.0035480450438788429,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,3.8036004000000001,2,3,4771,passed,
stage1a__moderate4301__s0_safe__120s,3,1,2,2,3,0,0.0048195127858143257,0.0024097563929071628,0.0035692070703151084,7,0,0.0024097563929071628,0.0035692070703151084,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,8,0.0024097563929071628,0.0048195127858143257,0.0035692070703151084,0.0024097563929071628,0,0.0024097563929071628,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,3.8800121000000001,3,4,7634,passed,
stage1a__moderate4301__s0_safe__120s,4,1,2,2,3,0.0048195127858143257,0.0096390255716286514,0.007229269178721489,0.0066123666164264096,9,0.0048195127858143257,0.007229269178721489,0.0066123666164264096,0.0048195127858143257,0,0.0048195127858143257,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,10,0.007229269178721489,0.0096390255716286514,0.0066123666164264096,0.007229269178721489,0,0.007229269178721489,0.00061690256229507932,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,5.0810025999999997,4,5,7691,passed,
stage1a__moderate4301__s0_safe__120s,7,3,3,3,4,0,0.0024097563929071628,0.0012048781964535814,0.0035702537553241216,11,0,0.0012048781964535814,0.0035702537553241216,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,12,0.0012048781964535814,0.0024097563929071628,0.0035702537553241216,0.0012048781964535814,0,0.0012048781964535814,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,5.1582401999999998,5,6,15162,passed,
stage1a__moderate4301__s0_safe__120s,11,7,4,4,5,0,0.0012048781964535814,0.00060243909822679071,0.003717234046281135,13,0,0.00060243909822679071,0.003717234046281135,0,0,0,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,14,0.00060243909822679071,0.0012048781964535814,0.003717234046281135,0.00060243909822679071,0,0.00060243909822679071,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,5.2433356,6,7,15221,passed,
stage1a__moderate4301__s0_safe__120s,12,7,4,4,5,0.0012048781964535814,0.0024097563929071628,0.0018073172946803722,0.0041452948341357057,15,0.0012048781964535814,0.0018073172946803722,0.0041452948341357057,0.0012048781964535814,0,0.0012048781964535814,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,16,0.0018073172946803722,0.0024097563929071628,0.0041452948341357057,0.0018073172946803722,0,0.0018073172946803722,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,5.3617245999999996,7,8,15330,passed,
stage1a__moderate4301__s0_safe__120s,15,12,5,5,6,0.0012048781964535814,0.0018073172946803722,0.0015060977455669767,0.0041455565053879814,17,0.0012048781964535814,0.0015060977455669767,0.0041455565053879814,0.0012048781964535814,0,0.0012048781964535814,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,18,0.0015060977455669767,0.0018073172946803722,0.0041455565053879814,0.0015060977455669767,0,0.0015060977455669767,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,5.4315325999999997,8,9,15600,passed,
stage1a__moderate4301__s0_safe__120s,16,12,5,5,6,0.0018073172946803722,0.0024097563929071628,0.0021085368437937678,0.0045183568012582527,19,0.0018073172946803722,0.0021085368437937678,0.0045183568012582527,0.0018073172946803722,0,0.0018073172946803722,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,20,0.0021085368437937678,0.0024097563929071628,0.0045183568012582527,0.0021085368437937678,0,0.0021085368437937678,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,5.5870695000000001,9,10,15646,passed,
stage1a__moderate4301__s0_safe__120s,19,16,6,6,7,0.0018073172946803722,0.0021085368437937678,0.00195792706923707,0.0045183568012583412,21,0.0018073172946803722,0.00195792706923707,0.0045183568012583412,0.0018073172946803722,0,0.0018073172946803722,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,22,0.00195792706923707,0.0021085368437937678,0.0045183568012583412,0.00195792706923707,0,0.00195792706923707,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,5.6589796999999997,10,11,15821,passed,
stage1a__moderate4301__s0_safe__120s,20,16,6,6,7,0.0021085368437937678,0.0024097563929071628,0.0022591466183504655,0.0047184406319567551,23,0.0021085368437937678,0.0022591466183504655,0.0047184406319567551,0.0021085368437937678,0,0.0021085368437937678,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,24,0.0022591466183504655,0.0024097563929071628,0.0047184406319567551,0.0022591466183504655,0,0.0022591466183504655,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,6.3404812000000002,11,12,15821,passed,
stage1a__moderate4301__s0_safe__120s,21,19,7,7,8,0.0018073172946803722,0.00195792706923707,0.0018826221819587211,0.0045183568012583412,25,0.0018073172946803722,0.0018826221819587211,0.0045183568012583412,0.0018073172946803722,0,0.0018073172946803722,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,26,0.0018826221819587211,0.00195792706923707,0.0045183568012583412,0.0018826221819587211,0,0.0018826221819587211,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,6.4226717000000004,12,13,15966,passed,
stage1a__moderate4301__s0_safe__120s,22,19,7,7,8,0.00195792706923707,0.0021085368437937678,0.0020332319565154189,0.0046184038921708599,27,0.00195792706923707,0.0020332319565154189,0.0046184038921708599,0.00195792706923707,0,0.00195792706923707,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,28,0.0020332319565154189,0.0021085368437937678,0.0046184038921708599,0.0020332319565154189,0,0.0020332319565154189,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,6.519717,13,14,15966,passed,
stage1a__moderate4301__s0_safe__120s,8,3,3,3,4,0.0024097563929071628,0.0048195127858143257,0.0036146345893607445,0.0049195800827666319,33,0.0024097563929071628,0.0036146345893607445,0.0049195800827666319,0.0024097563929071628,0,0.0024097563929071628,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,34,0.0036146345893607445,0.0048195127858143257,0.0049195800827666319,0.0036146345893607445,0,0.0036146345893607445,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,7.8130325000000003,17,15,16424,passed,
stage1a__moderate4301__s0_safe__120s,33,8,4,4,5,0.0024097563929071628,0.0036146345893607445,0.0030121954911339534,0.0049195800827666319,35,0.0024097563929071628,0.0030121954911339534,0.0049195800827666319,0.0024097563929071628,0,0.0024097563929071628,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,36,0.0030121954911339534,0.0036146345893607445,0.0049195800827666319,0.0030121954911339534,0,0.0030121954911339534,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,7.8847509000000002,18,16,16781,passed,
stage1a__moderate4301__s0_safe__120s,35,33,5,5,6,0.0024097563929071628,0.0030121954911339534,0.0027109759420205579,0.0049195800827666319,37,0.0024097563929071628,0.0027109759420205579,0.0049195800827666319,0.0024097563929071628,0,0.0024097563929071628,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,38,0.0027109759420205579,0.0030121954911339534,0.0049195800827666319,0.0027109759420205579,0,0.0027109759420205579,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,7.9576117000000002,19,17,16781,passed,
stage1a__moderate4301__s0_safe__120s,37,35,6,6,7,0.0024097563929071628,0.0027109759420205579,0.0025603661674638602,0.0049195800827666319,39,0.0024097563929071628,0.0025603661674638602,0.0049195800827666319,0.0024097563929071628,0,0.0024097563929071628,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,40,0.0025603661674638602,0.0027109759420205579,0.0049195800827666319,0.0025603661674638602,0,0.0025603661674638602,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,8.0342874999999996,20,18,16781,passed,
stage1a__moderate4301__s0_safe__120s,39,37,7,7,8,0.0024097563929071628,0.0025603661674638602,0.0024850612801855113,0.0049195800827666319,41,0.0024097563929071628,0.0024850612801855113,0.0049195800827666319,0.0024097563929071628,0,0.0024097563929071628,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,42,0.0024850612801855113,0.0025603661674638602,0.0049195800827666319,0.0024850612801855113,0,0.0024850612801855113,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,8.1132635000000004,21,19,16781,passed,
stage1a__moderate4301__s0_safe__120s,14,11,5,5,6,0.00060243909822679071,0.0012048781964535814,0.00090365864734018612,0.0039550162290424209,63,0.00060243909822679071,0.00090365864734018612,0.0039550162290424209,0.00060243909822679071,0,0.00060243909822679071,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,64,0.00090365864734018612,0.0012048781964535814,0.0039550162290424209,0.00090365864734018612,0,0.00090365864734018612,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,20.853852499999999,37,24,59030,passed,
stage1a__moderate4301__s0_safe__120s,63,14,6,6,7,0.00060243909822679071,0.00090365864734018612,0.00075304887278348836,0.0040342656642518996,65,0.00060243909822679071,0.00075304887278348836,0.0040342656642518996,0.00060243909822679071,0,0.00060243909822679071,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,66,0.00075304887278348836,0.00090365864734018612,0.0040342656642518996,0.00075304887278348836,0,0.00075304887278348836,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,21.379800299999999,38,25,59233,passed,
stage1a__moderate4301__s0_safe__120s,64,14,6,6,7,0.00090365864734018612,0.0012048781964535814,0.0010542684218968839,0.0040735407062979572,67,0.00090365864734018612,0.0010542684218968839,0.0040735407062979572,0.00090365864734018612,0,0.00090365864734018612,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,68,0.0010542684218968839,0.0012048781964535814,0.0040735407062979572,0.0010542684218968839,0,0.0010542684218968839,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,21.484130100000002,39,26,60948,passed,
stage1a__moderate4301__s0_safe__120s,67,64,7,7,8,0.00090365864734018612,0.0010542684218968839,0.000978963534618535,0.0041131466944607249,69,0.00090365864734018612,0.000978963534618535,0.0041131466944607249,0.00090365864734018612,0,0.00090365864734018612,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,70,0.000978963534618535,0.0010542684218968839,0.0041131466944607249,0.000978963534618535,0,0.000978963534618535,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,21.563152599999999,40,27,61113,passed,
stage1a__moderate4301__s0_safe__120s,68,64,7,7,8,0.0010542684218968839,0.0012048781964535814,0.0011295733091752328,0.0041333385967208605,71,0.0010542684218968839,0.0011295733091752328,0.0041333385967208605,0.0010542684218968839,0,0.0010542684218968839,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,72,0.0011295733091752328,0.0012048781964535814,0.0041333385967208605,0.0011295733091752328,0,0.0011295733091752328,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,22.159301500000002,41,28,61173,passed,
stage1a__moderate4301__s0_safe__120s,66,63,7,7,8,0.00075304887278348836,0.00090365864734018612,0.00082835376006183724,0.0040939953534645263,75,0.00075304887278348836,0.00082835376006183724,0.0040939953534645263,0.00075304887278348836,0,0.00075304887278348836,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,76,0.00082835376006183724,0.00090365864734018612,0.0040939953534645263,0.00082835376006183724,0,0.00082835376006183724,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,22.6097264,45,27,61689,passed,
stage1a__moderate4301__s0_safe__120s,65,63,7,7,8,0.00060243909822679071,0.00075304887278348836,0.00067774398550513948,0.0060911980049920423,83,0.00060243909822679071,0.00067774398550513948,0.0060911980049920423,0.00060243909822679071,0,0.00060243909822679071,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,84,0.00067774398550513948,0.00075304887278348836,0.0060911980049920423,0.00067774398550513948,0,0.00067774398550513948,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,24.2329534,50,29,62601,passed,
stage1a__moderate4301__s0_safe__120s,18,15,6,6,7,0.0015060977455669767,0.0018073172946803722,0.0016567075201236745,0.0043182315787612799,101,0.0015060977455669767,0.0016567075201236745,0.0043182315787612799,0.0015060977455669767,0,0.0015060977455669767,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,102,0.0016567075201236745,0.0018073172946803722,0.0043182315787612799,0.0016567075201236745,0,0.0016567075201236745,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,27.9338695,73,23,67712,passed,
stage1a__moderate4301__s0_safe__120s,101,18,7,7,8,0.0015060977455669767,0.0016567075201236745,0.0015814026328453256,0.0043182315787613432,103,0.0015060977455669767,0.0015814026328453256,0.0043182315787613432,0.0015060977455669767,0,0.0015060977455669767,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,104,0.0015814026328453256,0.0016567075201236745,0.0043182315787613432,0.0015814026328453256,0,0.0015814026328453256,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,28.003040200000001,74,24,69003,passed,
stage1a__moderate4301__s0_safe__120s,102,18,7,7,8,0.0016567075201236745,0.0018073172946803722,0.0017320124074020234,0.0044182993623961674,105,0.0016567075201236745,0.0017320124074020234,0.0044182993623961674,0.0016567075201236745,0,0.0016567075201236745,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,106,0.0017320124074020234,0.0018073172946803722,0.0044182993623961674,0.0017320124074020234,0,0.0017320124074020234,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,28.0986318,75,25,69003,passed,
stage1a__moderate4301__s0_safe__120s,17,15,6,6,7,0.0012048781964535814,0.0015060977455669767,0.001355487971010279,0.0041456873410141062,113,0.0012048781964535814,0.001355487971010279,0.0041456873410141062,0.0012048781964535814,0,0.0012048781964535814,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,114,0.001355487971010279,0.0015060977455669767,0.0041456873410141062,0.001355487971010279,0,0.001355487971010279,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,28.551623599999999,82,26,70418,passed,
