run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,lower_s_lower,lower_required_deviation,lower_deviation_lower_sum,lower_deviation_upper_sum,lower_dispersion_penalty_lb,lower_dispersion_bound_used,lower_domain_contradiction,lower_validation_status,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,upper_s_lower,upper_required_deviation,upper_deviation_lower_sum,upper_deviation_upper_sum,upper_dispersion_penalty_lb,upper_dispersion_bound_used,upper_domain_contradiction,upper_validation_status,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
stage1c__V12_M1__t_cpx_st_pon_diag__180s,0,-1,0,0,1,0,0.34414394035127271,0.17860029160420776,0.21769359262713356,1,0,0.17860029160420776,0.21769359262713356,0,0.029589285714285714,0.0044383928571428569,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,2,0.17860029160420776,0.34414394035127271,0.21769359262713356,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.1305702000000002,0,1,1493,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,2,0,1,1,2,0.17860029160420776,0.34414394035127271,0.26790043740631164,0.30289243679267086,3,0.17860029160420776,0.26790043740631164,0.30289243679267086,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,4,0.26790043740631164,0.34414394035127271,0.30289243679267086,0.26790043740631164,0.029589285714285714,0.27233883026345451,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.2674907000000002,2,1,1879,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,3,2,2,2,3,0.17860029160420776,0.26790043740631164,0.2232503645052597,0.30414812017001086,5,0.17860029160420776,0.2232503645052597,0.30414812017001086,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,6,0.2232503645052597,0.26790043740631164,0.30414812017001086,0.2232503645052597,0.029589285714285714,0.22768875736240257,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.3006644999999999,3,2,2882,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,5,3,3,3,4,0.17860029160420776,0.2232503645052597,0.20092532805473373,0.3071553338822941,7,0.17860029160420776,0.20092532805473373,0.3071553338822941,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,8,0.20092532805473373,0.2232503645052597,0.3071553338822941,0.20092532805473373,0.029589285714285714,0.2053637209118766,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.3890696999999999,5,2,3637,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,6,3,3,3,4,0.2232503645052597,0.26790043740631164,0.24557540095578567,0.32868535584866176,9,0.2232503645052597,0.24557540095578567,0.32868535584866176,0.2232503645052597,0.029589285714285714,0.22768875736240257,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,10,0.24557540095578567,0.26790043740631164,0.32868535584866176,0.24557540095578567,0.029589285714285714,0.25001379381292854,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.4534674000000001,6,3,3756,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,7,5,4,4,5,0.17860029160420776,0.20092532805473373,0.18976280982947075,0.30983452757531393,11,0.17860029160420776,0.18976280982947075,0.30983452757531393,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,12,0.18976280982947075,0.20092532805473373,0.30983452757531393,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.5525498999999998,7,4,4126,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,11,7,5,5,6,0.17860029160420776,0.18976280982947075,0.18418155071683925,0.3132401352264288,13,0.17860029160420776,0.18418155071683925,0.3132401352264288,0.17860029160420776,0.029589285714285714,0.18303868446135063,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,14,0.18418155071683925,0.18976280982947075,0.3132401352264288,0.18418155071683925,0.029589285714285714,0.18861994357398212,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.5882323,8,5,4230,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,12,7,5,5,6,0.18976280982947075,0.20092532805473373,0.19534406894210224,0.31278095008495199,15,0.18976280982947075,0.19534406894210224,0.31278095008495199,0.18976280982947075,0.029589285714285714,0.19420120268661362,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,16,0.19534406894210224,0.20092532805473373,0.31278095008495199,0.19534406894210224,0.029589285714285714,0.19978246179924511,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.6287324000000001,9,6,4328,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,14,11,6,6,7,0.18418155071683925,0.18976280982947075,0.18697218027315499,0.31355041274603151,17,0.18418155071683925,0.18697218027315499,0.31355041274603151,0.18418155071683925,0.029589285714285714,0.18861994357398212,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,18,0.18697218027315499,0.18976280982947075,0.31355041274603151,0.18697218027315499,0.029589285714285714,0.19141057313029786,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.7577931000000002,11,6,4537,passed,
stage1c__V12_M1__t_cpx_st_pon_diag__180s,17,14,7,7,8,0.18418155071683925,0.18697218027315499,0.18557686549499713,0.31616437518276375,19,0.18418155071683925,0.18557686549499713,0.31616437518276375,0.18418155071683925,0.029589285714285714,0.18861994357398212,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,20,0.18557686549499713,0.18697218027315499,0.31616437518276375,0.18557686549499713,0.029589285714285714,0.19001525835214,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,0,0,0,0,0,false,false,not_dispersion_coupled,parent-copy,false,2.79935,12,7,4562,passed,
