run_id,algorithm,flow_variant,retained_event_sequence,callback_invocation_sequence,observation_time_seconds,scheduled_checkpoint_seconds,observation_age_seconds,fresh_observation,observation_source,callback_context,phase,native_deterministic_time,native_best_bound,native_incumbent,verified_same_run_ub,project_gap,native_cplex_gap,processed_nodes,open_nodes,native_solution_count,simplex_iterations,tree_memory_mb,gini_branch_count,ordinary_branch_count,current_open_gini_siblings,oldest_gini_sibling_delay_seconds,maximum_gini_sibling_delay_seconds,last_valid_lower_bound_improvement_time,first_incumbent_time,first_gini_branch_time,first_ordinary_branch_time,root_completion_time,model_rows,model_columns,model_nonzeros,executable_sha256,retention_trigger
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,1,1,0.0054412999999999996,0,0.0054412999999999996,true,cplex_generic_global_progress,global_progress,root_lp,2.1327238082885742,0,,0.71850407075497091,1,,0,1,,0,,0,0,0,,,0.0054412999999999996,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,first_native_observation+heartbeat
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,2,3,0.2113892,0.2113892,0,true,cplex_generic_relaxation_read_only_progress,relaxation,root_cuts,396.57912349700928,0.33638343824702904,,0.71850407075497091,0.53182806898564561,,0,1,,1700,,0,0,0,,,0.2113892,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,3,4,0.50436409999999998,0.50436409999999998,0,true,cplex_generic_relaxation_read_only_progress,relaxation,root_cuts,836.47346687316895,0.36143025294467335,,0.71850407075497091,0.49696839912834578,,0,1,,2021,,0,0,0,,,0.50436409999999998,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,4,5,0.61573849999999997,0.61573849999999997,0,true,cplex_generic_relaxation_read_only_progress,relaxation,root_cuts,1114.9945392608643,0.37665860148037295,,0.71850407075497091,0.47577387963216761,,0,1,,2423,,0,0,0,,,0.61573849999999997,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,5,6,0.67580549999999995,0.67580549999999995,0,true,cplex_generic_relaxation_read_only_progress,relaxation,root_cuts,1240.4376602172852,0.37763632049091239,,0.71850407075497091,0.47441310931737718,,0,1,,2570,,0,0,0,,,0.67580549999999995,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,6,7,0.74693560000000003,0.74693560000000003,0,true,cplex_generic_relaxation_read_only_progress,relaxation,root_cuts,1404.9467658996582,0.37871166590147343,,0.71850407075497091,0.47291646447661639,,0,1,,2806,,0,0,0,,,0.74693560000000003,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,7,8,0.79167600000000005,0.79167600000000005,0,true,cplex_generic_relaxation_read_only_progress,relaxation,root_cuts,1493.0603246688843,0.37874589033134765,,0.71850407075497091,0.4728688315803431,,0,1,,2863,,0,0,0,,,0.79167600000000005,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,8,9,1.0563480000000001,1,0.056348000000000065,true,cplex_generic_relaxation_read_only_progress,relaxation,root_cuts,1744.8864316940308,0.37874978731978931,,0.71850407075497091,0.47286340782757635,,0,1,,2887,,0,0,0,,,1.0563480000000001,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change+heartbeat
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,9,10,1.095669,1.095669,0,true,cplex_generic_relaxation_read_only_progress,relaxation,root_cuts,1818.4194974899292,0.37875660869276095,,0.71850407075497091,0.47285391397326254,,0,1,,2926,,0,0,0,,,1.095669,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,10,12,3.7441431000000001,2,1.7441431000000001,false,cplex_generic_global_progress,global_progress,root_cuts,8412.5095520019531,0.37875660869276095,,0.71850407075497091,0.47285391397326254,,0,1,,2926,,0,0,0,,,1.095669,,,,,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,heartbeat
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,11,13,3.7628955999999998,3.7628955999999998,0,true,cplex_generic_relaxation_read_only_progress,relaxation,gini_branching,8462.8714075088501,0.37875660869276095,,0.71850407075497091,0.47285391397326254,,1,2,,2926,,1,0,1,0.00079669999999998353,0.00079669999999998353,1.095669,,3.7628955999999998,,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,solver_phase_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,12,15,4.1261098,4,0.12610980000000005,true,cplex_generic_relaxation_read_only_progress,relaxation,gini_branching,9369.3011322021484,0.37875660869276095,,0.71850407075497091,0.47285391397326254,,2,1,,3143,,1,0,0,,,1.095669,,3.7628955999999998,,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,heartbeat
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,13,17,4.1360777999999998,4.1360777999999998,0,true,cplex_generic_relaxation_read_only_progress,relaxation,gini_branching,9370.347620010376,0.59734281869747541,,0.71850407075497091,0.16862987558328632,,3,2,,5494,,2,0,1,0.00066059999999978913,0.00066059999999978913,4.1360777999999998,,3.7628955999999998,,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
stage1c__V12_M2__s0_safe__180s,S0-SAFE,round20-current,14,20,4.5297374000000001,4.5297374000000001,0,true,cplex_generic_relaxation_read_only_progress,relaxation,gini_branching,10351.645396232605,0.61153506219507703,,0.71850407075497091,0.14887738694019617,,5,2,,6435,,3,0,2,0.39432020000000012,0.39432020000000012,4.5297374000000001,,3.7628955999999998,,3.7628955999999998,11351,1032,113440,1154393cbc850513a8f0707d0e3e3b10d3d121db4dfc0bb9c6f9e881d2b95ac2,best_bound_change
