run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
stage2__tight_T_seed3101__s0_safe__300s,1,0,1,1,1,0,0.053626367066970722,0.016086380287779742,,1442,0,0.014315899999999999,0.00041839999999999998,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,1,0,1,1,2,0,0.053626367066970722,0.016086380287779742,0.016595465717091112,,,0.014315899999999999,0.00041839999999999998,passed
stage2__tight_T_seed3101__s0_safe__300s,2,0,1,1,1,0.053626367066970722,0.10725273413394144,0.061223015703474853,,1443,0,0.0148688,0.00045889999999999999,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,2,0,1,1,2,0.053626367066970722,0.10725273413394144,0.061223015703474853,0.061223015703474853,,,0.0148688,0.00045889999999999999,passed
stage2__tight_T_seed3101__s0_safe__300s,3,1,2,2,1,0,0.026813183533485361,0.016595465717091064,,1442,0,0.0143672,0.00081050000000000002,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,3,1,2,2,2,0,0.026813183533485361,0.016595465717091064,0.022394359660920102,,,0.0143672,0.00081050000000000002,passed
stage2__tight_T_seed3101__s0_safe__300s,4,1,2,2,1,0.026813183533485361,0.053626367066970722,0.034409651996672862,,1442,0,0.016728199999999999,0.00045380000000000003,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,4,1,2,2,2,0.026813183533485361,0.053626367066970722,0.034409651996672862,0.034670396941139978,,,0.016728199999999999,0.00045380000000000003,passed
stage2__tight_T_seed3101__s0_safe__300s,7,3,3,3,1,0,0.01340659176674268,0.022394359660920224,,1442,0,0.0147087,0.00042709999999999997,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,8,3,3,3,1,0.01340659176674268,0.026813183533485361,0.022742268153740561,,1442,0,0.014773100000000001,0.00044030000000000002,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,8,3,3,3,2,0.01340659176674268,0.026813183533485361,0.022742268153740561,0.028030340648467024,,,0.014773100000000001,0.00044030000000000002,passed
stage2__tight_T_seed3101__s0_safe__300s,11,8,4,4,1,0.01340659176674268,0.020109887650114022,0.028030340648467024,,1442,0,0.014593099999999999,0.0004394,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,12,8,4,4,1,0.020109887650114022,0.026813183533485361,0.028690501990994693,,1442,0,0.0149861,0.00043829999999999997,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,12,8,4,4,2,0.020109887650114022,0.026813183533485361,0.028690501990994693,0.031177856989057631,,,0.0149861,0.00043829999999999997,passed
stage2__tight_T_seed3101__s0_safe__300s,13,12,5,5,1,0.020109887650114022,0.023461535591799691,0.031177856989057631,,1442,0,0.014687199999999999,0.00046250000000000002,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,13,12,5,5,2,0.020109887650114022,0.023461535591799691,0.031177856989057631,0.042095119802425099,,,0.014687199999999999,0.00046250000000000002,passed
stage2__tight_T_seed3101__s0_safe__300s,14,12,5,5,1,0.023461535591799691,0.026813183533485361,0.031729165037828626,,1442,0,0.015141999999999999,0.0004504,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,14,12,5,5,2,0.023461535591799691,0.026813183533485361,0.031729165037828626,0.032950501074147653,,,0.015141999999999999,0.0004504,passed
stage2__tight_T_seed3101__s0_safe__300s,17,14,6,6,1,0.023461535591799691,0.025137359562642528,0.032950501074147653,,1442,0,0.015284900000000001,0.00044539999999999998,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,17,14,6,6,2,0.023461535591799691,0.025137359562642528,0.032950501074147653,0.033467611691320787,,,0.015284900000000001,0.00044539999999999998,passed
stage2__tight_T_seed3101__s0_safe__300s,19,17,7,7,1,0.023461535591799691,0.02429944757722111,0.033467611691320787,,1442,0,0.0153385,0.00046799999999999999,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,19,17,7,7,2,0.023461535591799691,0.02429944757722111,0.033467611691320787,0.036294540106189363,,,0.0153385,0.00046799999999999999,passed
stage2__tight_T_seed3101__s0_safe__300s,20,17,7,7,1,0.02429944757722111,0.025137359562642528,0.033489802760193449,,1442,0,0.0150314,0.0004683,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,20,17,7,7,2,0.02429944757722111,0.025137359562642528,0.033489802760193449,0.033810395331400581,,,0.0150314,0.0004683,passed
stage2__tight_T_seed3101__s0_safe__300s,23,20,8,8,1,0.02429944757722111,0.024718403569931817,0.033810395331400581,,1442,0,0.015014700000000001,0.00047419999999999998,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,23,20,8,8,2,0.02429944757722111,0.024718403569931817,0.033810395331400581,0.034038662928828838,,,0.015014700000000001,0.00047419999999999998,passed
stage2__tight_T_seed3101__s0_safe__300s,25,23,9,9,1,0.02429944757722111,0.024508925573576465,0.034038662928828838,,1442,0,0.014567699999999999,0.00045770000000000001,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,25,23,9,9,2,0.02429944757722111,0.024508925573576465,0.034038662928828838,0.034848274853498513,,,0.014567699999999999,0.00045770000000000001,passed
