leaf,variant,budget_seconds,snapshot_scope,time_seconds,best_bound,best_bound_available,gap_to_cutoff,node_count,callback_counts,cut_counts,branch_counts,S,P,H,G_variable,objective_lower_bound_expression
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,0.0003472,0,false,0,0,0,gini_interval=0;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,0,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,30.0085592,0.0441333005788,true,0.00501924208588,771,1211,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,597,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,60.0192328,0.0454217989606,true,0.00373074370407,1930,2954,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,1453,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,90.0276545,0.0458773930946,true,0.00327514957015,3057,4511,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,2219,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,120.0406596,0.0463750239942,true,0.0027775186705,4382,6465,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,3184,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,150.0454714,0.0465849357588,true,0.00256760690586,5550,8121,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,4009,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,180.0510676,0.0469089515704,true,0.0022435910943,6831,9850,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,4865,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,210.0622601,0.0471249305924,true,0.00202761207228,7932,11273,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,5565,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,240.0700999,0.0473447552229,true,0.00180778744176,9149,12782,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,6309,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,best_new_combined_paper_safe,3600,nearest_relaxation_callback,270.0816608,0.0475177906308,true,0.00163475203388,10146,14042,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,6927,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
