result_package,fresh_run,source_round,run_id,instance,variant,budget_seconds,sample_time,elapsed_seconds,free_memory_bytes,process_tree_working_set_bytes,cplex_process_count,exactebrp_process_count,solver_process_detail
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:01:03+08:00,0.305,14262480896,7258112,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:01:34+08:00,31.197,13992542208,121237504,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:02:05+08:00,62.105,14210613248,724664320,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:02:36+08:00,93.006,13653606400,463323136,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:03:07+08:00,123.914,14150844416,312283136,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:03:38+08:00,154.837,14273241088,49635328,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:04:09+08:00,185.749,14202126336,236232704,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:04:40+08:00,216.656,13979598848,151969792,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:05:11+08:00,247.553,14218416128,143208448,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:05:42+08:00,278.442,14185611264,98897920,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:06:12+08:00,309.346,14287204352,91738112,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:06:44+08:00,340.277,14155714560,177819648,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:07:15+08:00,371.35,14366298112,221683712,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:07:45+08:00,402.294,14258073600,240877568,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:08:16+08:00,433.191,12121575424,2300612608,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:08:47+08:00,464.102,13812133888,583602176,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:09:18+08:00,494.994,11027652608,3340865536,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:09:49+08:00,525.876,12763697152,1584881664,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:10:20+08:00,556.742,14049075200,298561536,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:10:51+08:00,587.703,11691524096,2647056384,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:11:22+08:00,618.591,13016031232,1320194048,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:11:53+08:00,649.465,14007787520,335450112,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:12:23+08:00,680.344,11657936896,2664914944,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:12:54+08:00,711.228,13238804480,1147244544,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:13:25+08:00,742.085,12303220736,2049351680,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:13:56+08:00,772.951,13921587200,424972288,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__V12_M1__tailored_cheap_cuts__1800s,V12_M1,tailored_cheap_cuts,1800,2026-07-12T21:14:27+08:00,803.827,11174092800,3171627008,0,0,
