elapsed_seconds,event,algorithm_preset,column_tracks,rmp_column_space,relaxed_columns_in_rmp,pricing_engine,large_instance_mode,station_set_backend,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0008391,initial_empty_incumbent,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,5.04160189596,0,1,0,-1,"","seed_initial",0,0,0,0,0.0008391,0.0008391,0,0,0,0,0
20.0138513,initial_after_seed,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,0.638995585916,0.634716359628,4,0,"[0,0.2375]",cheap_projection_bound,0,3,1.74931345205,0,20.0138513,20.0138513,0,0,0,0,0
39.2271651,interval_relaxation_0,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,0.82671478404,0.527406147211,3,1,"[0.2375,0.475]",cheap_projection_bound,0,3,1.74931345205,0,39.2271651,20.0138513,19.2130805,0,0,0,0
59.6447902,interval_relaxation_1,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.06421478404,0.391638598107,2,2,"[0.475,0.7125]",cheap_projection_bound,0,3,1.74931345205,0,59.6447902,20.0138513,39.6306589,0,0,0,0
104.2614931,interval_relaxation_2,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.06421478404,0.391638598107,2,2,"[0.475,0.7125]",cheap_projection_bound,0,3,1.74931345205,0,59.6447902,20.0138513,84.2473088,0,0,0,0
120.6554298,interval_relaxation_3,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.06421478404,0.391638598107,1,2,"[0.475,0.7125]",cheap_projection_bound,1,3,1.74931345205,0,59.6447902,20.0138513,100.6411877,0,0,0,0
165.0327644,adaptive_split_child_4,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.06421478404,0.391638598107,1,4,"[0.475,0.59375]",adaptive_split_inherited_cheap_projection_bound,1,3,1.74931345205,0,59.6447902,20.0138513,145.0184423,0,0,0,0
183.7863744,adaptive_split_child_5,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.06421478404,0.391638598107,1,4,"[0.475,0.59375]",adaptive_split_inherited_cheap_projection_bound,1,3,1.74931345205,0,59.6447902,20.0138513,163.7719973,0,0,0,0
228.4858155,adaptive_split_child_6,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.06421478404,0.391638598107,1,6,"[0.475,0.534375]",adaptive_split_inherited_adaptive_split_inherited_cheap_projection_bound,1,3,1.74931345205,0,59.6447902,20.0138513,208.4713676,0,0,0,0
250.3895047,adaptive_split_child_7,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.06421478404,0.391638598107,1,6,"[0.475,0.534375]",adaptive_split_inherited_adaptive_split_inherited_cheap_projection_bound,1,3,1.74931345205,0,59.6447902,20.0138513,230.3749969,0,0,0,0
271.9543366,adaptive_split_child_8,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.74931345205,0,0,0,"[0,0.2375]",inventory_route_gini_relaxation,0,3,1.74931345205,0,271.9543366,20.0138513,251.9397639,0,0,0,0
294.0770195,adaptive_split_child_9,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.74931345205,0,0,0,"[0,0.2375]",inventory_route_gini_relaxation,0,3,1.74931345205,0,271.9543366,20.0138513,274.0623852,0,0,0,0
294.0770955,route_pool_before_final_summary,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.74931345205,0,0,0,"[0,0.2375]",inventory_route_gini_relaxation,0,3,1.74931345205,0,271.9543366,20.0138513,274.0623852,0,0,0,0
294.0771432,final_summary,paper-gf-tailored-bc,elementary-only,elementary,false,exact-label,off,uint64,1.74931345205,1.74931345205,0,0,0,"[0,0.2375]",inventory_route_gini_relaxation,0,3,1.74931345205,0,271.9543366,20.0138513,274.0623852,0,0,0,0
