result_package,fresh_run,source_round,run_id,instance,variant,budget_seconds,sample_time,elapsed_seconds,free_memory_bytes,process_tree_working_set_bytes,cplex_process_count,exactebrp_process_count,solver_process_detail
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T14:57:01+08:00,0.237,17595588608,43802624,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T14:57:32+08:00,30.95,17582850048,61091840,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T14:58:03+08:00,61.673,17613271040,62025728,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T14:58:33+08:00,92.393,17575813120,67530752,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T14:59:04+08:00,123.092,17560461312,93933568,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T14:59:35+08:00,153.838,17491046400,152911872,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:00:06+08:00,184.544,17411854336,214216704,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:00:36+08:00,215.281,17307901952,328388608,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:01:07+08:00,245.975,17173647360,465244160,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:01:38+08:00,276.687,17053278208,572452864,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:02:08+08:00,307.376,17013293056,630202368,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:02:39+08:00,338.075,16890142720,757878784,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:03:10+08:00,368.779,16809959424,847790080,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:03:41+08:00,399.512,16663240704,951115776,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:04:11+08:00,430.277,16490582016,1069920256,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:04:42+08:00,460.992,16497831936,1074831360,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:05:13+08:00,491.721,16498184192,1018679296,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:05:44+08:00,522.474,16516640768,1049280512,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:06:15+08:00,553.716,16483606528,1099112448,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:06:46+08:00,584.448,16508964864,1089400832,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:07:16+08:00,615.155,16424513536,1161990144,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:07:47+08:00,645.877,16488902656,1103699968,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:08:18+08:00,676.59,16478375936,1150517248,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:08:48+08:00,707.312,16354316288,1276215296,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:09:19+08:00,738.041,16176824320,1354919936,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:09:50+08:00,768.739,16055701504,1468817408,0,0,
results/gf_tailored_bc_fair_diagnosis_round,True,gf_tailored_bc_fair_diagnosis_round,full__moderate_seed3301__plain_cplex__900s,moderate_seed3301,plain_cplex,900,2026-07-12T15:10:21+08:00,799.5,16022482944,1543397376,0,0,
