row,variant,time_budget_seconds,progress_checkpoints,lower_bound,upper_bound,gap,best_bound_available,callback_abort_requests
test_certificate_basis,test,10,0,0.0,0.493696053863,1.0,False,0
test_option_consistency,test,10,0,0.0,0.493696053863,1.0,False,0
test_callback_smoke,test,10,0,0.0,0.493696053863,1.0,False,0
test_branch_callback_smoke,test,10,0,0.0,0.493696053863,1.0,False,0
control_v12_m1_tailored_60s,tailored,60,1,0.0,0.357200573208,1.0,False,0
control_v12_m1_cplex_60s,cplex,60,0,0.34202602197,0.357200583208,0.0424819049905,False,0
control_v12_m2_tailored_60s,tailored,60,4,0.0,0.718504060755,1.0,False,0
control_v12_m2_cplex_60s,cplex,60,0,0.56364750056,0.748207757399,0.246669798614,False,0
control_high_imbalance_seed3202_tailored_60s,tailored,60,4,0.0,1.74931344205,1.0,False,0
control_high_imbalance_seed3202_cplex_60s,cplex,60,0,1.0096334603,5.04160189596,0.799739550814,False,0
control_tight_T_seed3101_tailored_60s,tailored,60,4,0.0,0.107252724134,1.0,False,0
control_tight_T_seed3101_cplex_60s,cplex,60,0,0.013330322812,1.12858569854,0.988188470907,False,0
moderate_low_gini1_plain_60s,plain_fixed_interval,60,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini1_static_60s,static_tailored,60,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini1_callback_off_60s,callback_no_gini,60,10,0.0,0.0491525426647,1.0,False,0
moderate_low_gini1_callback_auto_60s,callback_auto,60,1,0.0,0.0491525426647,1.0,False,0
moderate_low_gini1_plain_300s,plain_fixed_interval,300,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini1_static_300s,static_tailored,300,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini1_callback_off_300s,callback_no_gini,300,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini1_callback_auto_300s,callback_auto,300,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini1_callback_auto_1200s,callback_auto,1200,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_plain_60s,plain_fixed_interval,60,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_static_60s,static_tailored,60,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_callback_off_60s,callback_no_gini,60,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_callback_auto_60s,callback_auto,60,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_plain_300s,plain_fixed_interval,300,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_static_300s,static_tailored,300,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_callback_off_300s,callback_no_gini,300,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_callback_auto_300s,callback_auto,300,0,0.0,0.0491525526647,1.0,False,0
moderate_low_gini2_callback_auto_1200s,callback_auto,1200,0,0.0,0.0491525526647,1.0,False,0
high_imbalance_seed3201_hard_plain_60s,plain_fixed_interval,60,0,0.0,2.44340319194,1.0,False,0
high_imbalance_seed3201_hard_static_60s,static_tailored,60,0,0.0,2.44340319194,1.0,False,0
high_imbalance_seed3201_hard_callback_off_60s,callback_no_gini,60,0,0.0,2.44340319194,1.0,False,0
high_imbalance_seed3201_hard_callback_auto_60s,callback_auto,60,0,0.0,2.44340319194,1.0,False,0
high_imbalance_seed3201_hard_plain_300s,plain_fixed_interval,300,0,0.0,2.44340319194,1.0,False,0
high_imbalance_seed3201_hard_static_300s,static_tailored,300,0,0.0,2.44340319194,1.0,False,0
high_imbalance_seed3201_hard_callback_off_300s,callback_no_gini,300,0,0.0,2.44340319194,1.0,False,0
high_imbalance_seed3201_hard_callback_auto_300s,callback_auto,300,0,0.0,2.44340319194,1.0,False,0
tight_T_seed3102_hard_plain_60s,plain_fixed_interval,60,0,0.0,0.600704436685,1.0,False,0
tight_T_seed3102_hard_static_60s,static_tailored,60,0,0.0,0.600704436685,1.0,False,0
tight_T_seed3102_hard_callback_off_60s,callback_no_gini,60,0,0.0,0.600704436685,1.0,False,0
tight_T_seed3102_hard_callback_auto_60s,callback_auto,60,0,0.0,0.600704436685,1.0,False,0
tight_T_seed3102_hard_plain_300s,plain_fixed_interval,300,0,0.0,0.600704436685,1.0,False,0
tight_T_seed3102_hard_static_300s,static_tailored,300,0,0.0,0.600704436685,1.0,False,0
tight_T_seed3102_hard_callback_off_300s,callback_no_gini,300,0,0.0,0.600704436685,1.0,False,0
tight_T_seed3102_hard_callback_auto_300s,callback_auto,300,0,0.0,0.600704436685,1.0,False,0
