file,snapshot_source,snapshot_scope,paper_certificate_role,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,paper_safe_fixed_interval_tailored_bc,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_formulation_snapshot_round\plain_vs_tailored_snapshot_comparison.csv,root_lp_relaxation_available_in_root_lp_solution_csv,,benchmark_only_plain_fixed_interval_mip,True,
