source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,finalization_source,audit_passed,failure_count,failures,warnings
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_1200s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.00873176755158,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_300s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0155513760578,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_all_new_paper_safe_cuts_3600s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.00873176755155,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_1200s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0155513760571,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_300s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0155513760571,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_current_best_new_combined_paper_safe_3600s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.00873176755078,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_1200s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0397763328395,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_300s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0850537574563,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_3600s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0204473166949,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\audit_certificate_basis_test.json,gcap_smoke_V4_M1.txt,certificate-basis-test,diagnostic_passed,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\audit_option_consistency_test.json,gcap_smoke_V4_M1.txt,option-consistency-test,diagnostic_complete,diagnostic,False,False,False,True,1.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_10800s.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.00753865668949,0,0,0,True,True,True,True,False,cplex_time_limit_with_valid_best_bound,True,0,,
