file,support_enabled,cutset_enabled,candidate_source,support_candidates,support_cuts,cutset_candidates,cutset_cuts,proof_status,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3201_plain_14400s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3201_plain_3600s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3201_tailored_14400s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3201_tailored_14400s_auto_oracle\interval_14.json,False,True,callback,0,0,443,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3201_tailored_14400s_auto_oracle\interval_15.json,False,True,callback,0,0,443,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3201_tailored_3600s.json,False,False,,0,0,0,0,,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3202_plain_1200s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3202_plain_300s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3202_tailored_1200s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3202_tailored_300s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\high_imbalance_seed3202_tailored_300s_auto_oracle\interval_6.json,False,True,callback,0,0,454,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3301_plain_14400s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3301_plain_3600s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3301_tailored_14400s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3301_tailored_3600s.json,False,False,,0,0,0,0,,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3302_plain_14400s.json,False,False,,0,0,0,0,,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3302_plain_3600s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3302_tailored_14400s.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3302_tailored_14400s_auto_oracle\interval_1.json,False,True,callback,0,0,569,50,paper_safe_universal_rows_vector_selected_candidates,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\moderate_seed3302_tailored_3600s.json,False,False,,0,0,0,0,,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\preflight_certificate-basis-test.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\preflight_option-consistency-test.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\preflight_tailored-bc-callback-smoke-test.json,False,False,root,0,0,0,0,not_enabled,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_route_profile_full_frontier_round\raw\preflight_tailored-bc-cut-validity-test.json,False,False,root,0,0,0,0,not_enabled,True,
