snapshot_source,variable_name,value,sample_index,paper_certificate_role
smoke_root_or_first_relaxation_callback,bit_2,1,0,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_3,1,1,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_7,1,2,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_10,1,3,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_12,1,4,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_13,1,5,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_14,1,6,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_15,1,7,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_18,1,8,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_21,1,9,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_22,1,10,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_23,1,11,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_25,1,12,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_26,1,13,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_27,1,14,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_30,1,15,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_31,1,16,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_32,1,17,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_34,1,18,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_36,0.82882882882882858,19,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_37,0.75448619351058366,20,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_41,0.85812641910202925,21,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_42,1,22,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_43,0.95949608144730081,23,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_46,1,24,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_47,1,25,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_48,1,26,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_49,1,27,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_51,0.34234234234234223,28,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_53,1,29,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_54,0.44371200468761424,30,diagnostic_only
smoke_root_or_first_relaxation_callback,bit_56,0.11264923460045419,31,diagnostic_only
dominant_k4_first_relaxation_callback,G,0.016764828795065082,0,diagnostic_only
dominant_k4_first_relaxation_callback,e_1,0.081939002299757036,1,diagnostic_only
dominant_k4_first_relaxation_callback,e_5,0.081939002299757036,2,diagnostic_only
dominant_k4_first_relaxation_callback,e_6,0.081939002299757036,3,diagnostic_only
dominant_k4_first_relaxation_callback,e_7,0.11542689764444791,4,diagnostic_only
dominant_k4_first_relaxation_callback,e_8,0.081939002299757036,5,diagnostic_only
dominant_k4_first_relaxation_callback,e_11,0.081939002299757036,6,diagnostic_only
dominant_k4_first_relaxation_callback,e_12,0.11542689764444791,7,diagnostic_only
dominant_k4_first_relaxation_callback,e_13,0.081939002299757036,8,diagnostic_only
dominant_k4_first_relaxation_callback,e_14,0.081939002299757036,9,diagnostic_only
dominant_k4_first_relaxation_callback,e_15,0.081939002299757036,10,diagnostic_only
dominant_k4_first_relaxation_callback,e_16,0.081939002299757036,11,diagnostic_only
dominant_k4_first_relaxation_callback,e_17,0.081939002299757036,12,diagnostic_only
dominant_k4_first_relaxation_callback,e_18,0.081939002299757036,13,diagnostic_only
dominant_k4_first_relaxation_callback,e_19,0.081939002299757036,14,diagnostic_only
dominant_k4_first_relaxation_callback,e_20,0.11542689764444791,15,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_19_1,0.39495061646511542,16,diagnostic_only
dominant_k4_first_relaxation_callback,z_0_1,0.39495061646511542,17,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_1_19,0.39495061646511542,18,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_17_2,0.20326035149477759,19,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_8_2,0.79673964850522239,20,diagnostic_only
dominant_k4_first_relaxation_callback,z_0_2,1,21,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_2_14,0.43168881708835316,22,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_2_17,0.20326035149477764,23,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_2_8,0.36505083141686934,24,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_14_8,0.63494916858313089,25,diagnostic_only
dominant_k4_first_relaxation_callback,z_0_8,1,26,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_8_14,0.20326035149477759,27,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_18_12,0.24500365842287988,28,diagnostic_only
dominant_k4_first_relaxation_callback,z_0_12,0.24500365842287988,29,diagnostic_only
dominant_k4_first_relaxation_callback,x_0_12_18,0.24500365842287988,30,diagnostic_only
dominant_k4_first_relaxation_callback,z_0_14,0.63494916858313089,31,diagnostic_only
