stage,id,arm,method,F,G,P,seconds,stations,pickup,drop,maximum_duration,quantity_evaluations,pairs,blocks,stop,verified,derived_stop_reason
quality_v1,D1,LEGACY60+BLOCK+PREFIX,LEGACY60,0.065340889090909099,0.034090909090909095,0.20833320000000002,6.9099999999999999e-05,7,14,11,3208.1736842865985,132,0,0,verified_problem_specific_candidate,1,no_strict_single_operation_improvement
quality_v1,D1,LEGACY60+BLOCK+PREFIX,BLOCK,0,0,0,7.6600000000000005e-05,8,14,14,3535.0677224867118,698,62,4,no_strict_complete_move_improvement,1,
quality_v1,D1,LEGACY60+BLOCK+PREFIX,PREFIX,0,0,0,0.0320234,8,14,14,3215.1759269577528,0,0,0,initialization_plus_16_generations,1,
quality_v1,D2,LEGACY60+BLOCK+PREFIX,LEGACY60,0.68924974532011318,0.27675825793751374,2.7499432492173299,0.0001584,2,20,16,4171.6914701348906,512,0,0,verified_problem_specific_candidate,1,evaluation_limit_512
quality_v1,D2,LEGACY60+BLOCK+PREFIX,BLOCK,0.14291294409189809,0.056797977544328027,0.57409977698380033,0.00044920000000000002,20,117,108,17553.79818998227,4089,230,9,no_strict_complete_move_improvement,1,
quality_v1,D2,LEGACY60+BLOCK+PREFIX,PREFIX,0.031832448609295842,0.0095467392442164737,0.14857139576719577,0.56191250000000004,20,123,86,14048.138167232031,0,0,0,initialization_plus_16_generations,1,
quality_v1,D3,LEGACY60+BLOCK+PREFIX,LEGACY60,0.11112610824941914,0.047394171452882355,0.42487957864357861,9.7e-05,7,25,19,2654.0985869901542,333,0,0,verified_problem_specific_candidate,1,no_strict_single_operation_improvement
quality_v1,D3,LEGACY60+BLOCK+PREFIX,BLOCK,0.12717199961675588,0.054887201510695309,0.48189865404040388,0.0001304,11,25,22,2848.9414652986634,879,94,5,no_strict_complete_move_improvement,1,
quality_v1,D3,LEGACY60+BLOCK+PREFIX,PREFIX,0.070955523887699518,0.027352137017113948,0.29068924580390376,0.043743200000000003,10,27,25,2740.5015007026259,0,0,0,initialization_plus_16_generations,1,
quality_v1,D4,LEGACY60+BLOCK+PREFIX,LEGACY60,0.62985955815191186,0.2272657424782456,2.683958771157775,0.000184,6,27,27,2292.3045285438257,386,0,0,verified_problem_specific_candidate,1,no_strict_single_operation_improvement
