sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",3599.9992228000001,3584.9992228000001,"absolute process deadline origin"
1,0.00097050000000000001,"instance_parsing_start","start",3599.9990296000001,3584.9990294999998,"E:\codes\ExactEBRP\reference\qualification_round33\M2_Q20\round33_v10_high_imbalance_M2_Q20_seed1719879984.txt"
2,0.0017166,"instance_parsing_complete","complete",3599.9982834000002,3584.9982834000002,"instance=round33_v10_high_imbalance_M2_Q20_seed1719879984.txt"
3,0.0019323999999999999,"initial_model_data_preprocessing_complete","complete",3599.9980676999999,3584.9980676,"instance data initialized; empty-route incumbent independently verified"
4,0.0023058000000000002,"hga_start","start",3599.9976943000001,3584.9976943000001,"label=primary_hga;native_generation_stagnation_hga"
5,2.5452389000000002,"hga_generation_loop_complete","complete",3597.4547613,3582.4547610999998,"label=primary_hga;generations=2017;no_improve=2000"
6,2.5482418,"hga_best_solution_extraction_start","start",3597.4517584999999,3582.4517583000002,"label=primary_hga"
7,2.5484787999999998,"hga_best_solution_extraction_complete","complete",3597.4515213999998,3582.4515212000001,"label=primary_hga"
8,2.5486879,"hga_route_decoding_start","start",3597.4513121999998,3582.4513121999998,"label=primary_hga"
9,2.5493332999999998,"hga_route_decoding_complete","complete",3597.4506669000002,3582.4506667999999,"label=primary_hga"
10,2.5495575000000001,"independent_hga_verification_start","start",3597.4504427000002,3582.4504425999999,"label=primary_hga"
11,2.5497436000000002,"independent_hga_verification_complete","complete",3597.4502563999999,3582.4502563999999,"label=primary_hga;feasible=true"
12,2.551526,"improving_gini_range_construction_complete","complete",3597.4484741000001,3582.4484739999998,"lower=0.000000;upper=0.900000;complete=true"
13,2.5517259000000001,"exact_phase_start","start",3597.4482742999999,3582.4482742,"arm=round31-nonblocking-native-bound"
14,2.5520225000000001,"connectivity_flow_preparation_complete","complete",3597.4479778,3582.4479775999998,"variant=round20-current"
15,2.5597821999999999,"gurobi_environment_creation","complete",3597.4402178999999,3582.4402178,"fixed_interval_backend"
16,2.5599788999999999,"external_backend_creation","complete",3597.4400215000001,3582.4400212,"backend=gurobi;arm=C6-CANDIDATE"
17,2.5608944999999999,"external_artifact_directory_creation","complete",3597.4391059,3582.4391055999999,"E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_high_imbalance_M2_Q20_seed1719879984__c6_frozen__3600s\external"
18,2.5622931000000002,"first_tree_ledger_opened","complete",3597.4377070999999,3582.4377069000002,"E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_high_imbalance_M2_Q20_seed1719879984__c6_frozen__3600s\external\paper_tree_events.csv"
19,2.5625643999999999,"first_external_tree_event","start",3597.4374357000002,3582.4374355999998,"scheduler_select_next"
20,2.5626753,"root_canonical_model_construction_start","start",3597.4373246999999,3582.4373246999999,"leaf=L0"
21,2.562751,"first_interval_model_build","start",3597.4372490000001,3582.4372490000001,"leaf=L0"
22,2.6075203999999998,"static_row_factory_preparation_complete","complete",3597.3924797999998,3582.3924796000001,"canonical strengthened interval row factory"
23,2.6076380000000001,"root_canonical_model_construction_complete","complete",3597.3923620999999,3582.392362,"leaf=L0"
24,2.6077149999999998,"first_interval_model_build_complete","complete",3597.3922849999999,3582.3922849999999,"leaf=L0"
25,2.6077962000000001,"first_lp_optimize_launch","start",3597.3922038999999,3582.3922038000001,"leaf=L0"
26,28.738910799999999,"final_result_serialization_start","start",3571.2610897,3556.2610893999999,""
27,28.740552699999999,"final_result_serialization_complete","complete",3571.2594475000001,3556.2594473999998,""
28,28.7407468,"process_exit","complete",3571.2592534,3556.2592533000002,"rc=0"
