leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
L0,LP,"INFEASIBLE",0,3582.85,0.00300002,0.00857592,0,0,0,0.00475439,904e81ca5391684e14a643a57317ae656995a4d36347c867066bfadce9d22c59,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L0_lp.gurobi.log"
L1,LP,"OPTIMAL",0,3582.76,0.103,0.324421,0,1652,0,0.0157256,35b739f688bbb044d79a9778164e853b4a8e0ff2fbf92a850007e895a4e49d32,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L1_lp.gurobi.log"
L2,LP,"INFEASIBLE",0,3582.57,0.00100017,0.00117666,0,0,0,0.0157256,9af8583676fe4bf8e28161ccc2dc28a7540f75c4b5bedab555ea19ecd2e00cad,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L2_lp.gurobi.log"
L3,LP,"INFEASIBLE",0,3582.49,0.00200009,0.00116817,0,0,0,0.0157256,daa280506a6172cda79ff9bd2ae72d9ae25b3c6aefbbd37f966c2d1c46c23f3e,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L3_lp.gurobi.log"
L1.0,LP,"OPTIMAL",0,3582.4,0.1,0.304456,0,1651,0,0.0166738,9dc9d666193a9ebeab04f310f2c5a2bc0d7cb9af012a630065ddcbb6922a1f95,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L1.0_lp.gurobi.log"
L1.1,LP,"OPTIMAL",0,3582.22,0.089,0.293494,0,1561,0,0.0178752,57e22e7a7bb3ef45ebf67dad39483f5f7a6d4b41bfe3570df76d9432c87def81,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L1.1_lp.gurobi.log"
L1.0,NEXT_LEAF_TARGET_MIP,"INFEASIBLE",0,3582.1,0.515,0.875107,1,1722,0,0.0316241,9dc9d666193a9ebeab04f310f2c5a2bc0d7cb9af012a630065ddcbb6922a1f95,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L1.0_c6_1_next_leaf_target_mip.gurobi.log"
L1.1.0,LP,"OPTIMAL",0,3581.51,0.0740001,0.232346,0,1263,0,0.0316241,74ae07b62937ed42aa3dee26837395b50e088bc199db1af1948e4bedd6fc43a5,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L1.1.0_lp.gurobi.log"
L1.1.1,LP,"OPTIMAL",0,3581.35,0.063,0.187996,0,1072,0,0.0316241,6ee3465984a086a6a652d789d029879b90f3e6ef74db0590f314d811c16daf9a,0,1,"not_submitted_domain_transition_model_object_only","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L1.1.1_lp.gurobi.log"
L1.1,MIP,"OPTIMAL",0,3581.27,8.138,14.3002,713,51047,0,0.0391865,57e22e7a7bb3ef45ebf67dad39483f5f7a6d4b41bfe3570df76d9432c87def81,1,0,"not_requested","E:\codes\ExactEBRP\results\gf_v10_convergence_round33\runs\stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s\external\native_logs\L1.1_terminal_mip.gurobi.log"
