event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
0,0.0099118999999999995,0.016192525062450374,false,1e+100,true,0.14999999999999999,0,0,0,3,1,MIP
1,0.0118032,0.017697680789980446,true,3.8827139239048303,true,0.14999999999999999,0,0,4.9406564584124654e-324,3,1,MIP
2,0.014445899999999999,0.022269356860453483,true,3.8827139239048303,true,0.25439555608815234,0,0,4.9406564584124654e-324,3,1,MIP
3,0.037186200000000003,0.043879419039878458,true,2.8925025052071787,true,0.25439555608815234,0,0,1.4821969375237396e-323,3,1,MIP
4,0.040715599999999998,0.050368905594690566,true,2.8925025052071787,true,0.32158292790483423,0,0,1.4821969375237396e-323,3,1,MIP
5,0.044793899999999998,0.053717777180807863,true,0.54176975633867885,true,0.32332800369877313,0,0,1.9762625833649862e-323,3,1,MIP
6,0.061697599999999998,0.071483773125486524,true,0.54176975633867885,true,0.32544131868534065,0,0,1.9762625833649862e-323,3,1,MIP
7,0.064551200000000003,0.074166172127858115,true,0.54176975633867885,true,0.32574777235853541,0,0,1.9762625833649862e-323,3,1,MIP
8,0.065313700000000002,0.075060793434223866,true,0.54176975633867885,true,0.3258970112751981,0,0,1.9762625833649862e-323,3,1,MIP
9,0.091457800000000006,0.098930752815723833,true,0.54176975633867885,true,0.33088014033900393,0,0,1.9762625833649862e-323,3,1,MIP
10,0.094060900000000003,0.10133369180701417,true,0.54176975633867885,true,0.33107560229208904,0,0,1.9762625833649862e-323,3,1,MIP
11,0.096229899999999993,0.10411016928217817,true,0.54176975633867885,true,0.33268522290973213,0,0,1.9762625833649862e-323,3,1,MIP
12,0.1236498,0.12900036827093223,true,0.54176975633867885,true,0.33477141433012725,0,0,1.9762625833649862e-323,3,1,MIP
13,0.1267567,0.13166982619999312,true,0.54176975633867885,true,0.33481407613410441,0,0,1.9762625833649862e-323,3,1,MIP
