sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",3599.9992121,3584.9992121,"absolute process deadline origin"
1,0.0012417999999999999,"instance_parsing_start","start",3599.9987584,3584.9987583000002,"E:\codes\ExactEBRP\reference\qualification_round33\M2_Q20\round33_v10_high_imbalance_M2_Q20_seed1719879984.txt"
2,0.0022128,"instance_parsing_complete","complete",3599.9977871999999,3584.9977871999999,"instance=round33_v10_high_imbalance_M2_Q20_seed1719879984.txt"
3,0.0024600999999999998,"initial_model_data_preprocessing_complete","complete",3599.9975399999998,3584.9975399,"instance data initialized; empty-route incumbent independently verified"
4,0.0031400999999999998,"hga_start","start",3599.9968601,3584.9968600000002,"label=primary_hga;native_generation_stagnation_hga"
5,2.5978089,"hga_generation_loop_complete","complete",3597.4021913000001,3582.4021911,"label=primary_hga;generations=2017;no_improve=2000"
6,2.5997569,"hga_best_solution_extraction_start","start",3597.4002432000002,3582.4002430999999,"label=primary_hga"
7,2.5999257,"hga_best_solution_extraction_complete","complete",3597.4000744999998,3582.4000743000001,"label=primary_hga"
8,2.6002136,"hga_route_decoding_start","start",3597.3997866,3582.3997863999998,"label=primary_hga"
9,2.6008814999999998,"hga_route_decoding_complete","complete",3597.3991187000001,3582.3991185999998,"label=primary_hga"
10,2.6011009999999999,"independent_hga_verification_start","start",3597.3988992999998,3582.3988991000001,"label=primary_hga"
11,2.6013288000000001,"independent_hga_verification_complete","complete",3597.3986713999998,3582.3986712999999,"label=primary_hga;feasible=true"
12,2.6036811000000002,"improving_gini_range_construction_complete","complete",3597.3963192000001,3582.3963189999999,"lower=0.000000;upper=0.900000;complete=true"
13,2.6039175999999999,"exact_phase_start","start",3597.3960826000002,3582.3960824999999,"arm=round31-nonblocking-native-bound"
14,2.6041896000000002,"connectivity_flow_preparation_complete","complete",3597.3958105000002,3582.3958103999998,"variant=round20-current"
15,2.6115575,"gurobi_environment_creation","complete",3597.3884429999998,3582.3884428000001,"fixed_interval_backend"
16,2.6117306,"external_backend_creation","complete",3597.3882695000002,3582.3882695000002,"backend=gurobi;arm=C6-CANDIDATE"
17,2.6120545000000002,"external_artifact_directory_creation","complete",3597.3879455000001,3582.3879455000001,"E:\codes\ExactEBRP\results\gf_v10_convergence_round33\stage0_runs\exactness__round33_v10_high_imbalance_M2_Q20_seed1719879984__c6_frozen\external"
18,2.6128087999999998,"first_tree_ledger_opened","complete",3597.3871914000001,3582.3871912999998,"E:\codes\ExactEBRP\results\gf_v10_convergence_round33\stage0_runs\exactness__round33_v10_high_imbalance_M2_Q20_seed1719879984__c6_frozen\external\paper_tree_events.csv"
19,2.6129338999999998,"first_external_tree_event","start",3597.3870661000001,3582.3870661000001,"scheduler_select_next"
20,2.6130187999999999,"root_canonical_model_construction_start","start",3597.3869813000001,3582.3869813000001,"leaf=L0"
21,2.6131044999999999,"first_interval_model_build","start",3597.3868956000001,3582.3868954999998,"leaf=L0"
22,2.6596644,"static_row_factory_preparation_complete","complete",3597.3403357000002,3582.3403355999999,"canonical strengthened interval row factory"
23,2.6598525999999998,"root_canonical_model_construction_complete","complete",3597.3401475999999,3582.3401475000001,"leaf=L0"
24,2.6599818000000002,"first_interval_model_build_complete","complete",3597.3400182999999,3582.3400182999999,"leaf=L0"
25,2.6601379000000001,"first_lp_optimize_launch","start",3597.3398624000001,3582.3398622,"leaf=L0"
26,28.848190899999999,"final_result_serialization_start","start",3571.1518093,3556.1518090999998,""
27,28.849354200000001,"final_result_serialization_complete","complete",3571.1506460000001,3556.1506457999999,""
28,28.849441299999999,"process_exit","complete",3571.1505588999999,3556.1505588,"rc=0"
