"method","exit_code","json","log"
"pricing","0","results\optimization_update_round12\raw\smoke_pricing.json","results\optimization_update_round12\raw\smoke_pricing.log"
"pricing-branch","0","results\optimization_update_round12\raw\smoke_pricing-branch.json","results\optimization_update_round12\raw\smoke_pricing-branch.log"
"cuts","0","results\optimization_update_round12\raw\smoke_cuts.json","results\optimization_update_round12\raw\smoke_cuts.log"
"branching","0","results\optimization_update_round12\raw\smoke_branching.json","results\optimization_update_round12\raw\smoke_branching.log"
"master","0","results\optimization_update_round12\raw\smoke_master.json","results\optimization_update_round12\raw\smoke_master.log"
"cg","0","results\optimization_update_round12\raw\smoke_cg.json","results\optimization_update_round12\raw\smoke_cg.log"
"gcap-cg","0","results\optimization_update_round12\raw\smoke_gcap-cg.json","results\optimization_update_round12\raw\smoke_gcap-cg.log"
"gcap-tree","0","results\optimization_update_round12\raw\smoke_gcap-tree.json","results\optimization_update_round12\raw\smoke_gcap-tree.log"
"gcap-frontier","0","results\optimization_update_round12\raw\smoke_gcap-frontier.json","results\optimization_update_round12\raw\smoke_gcap-frontier.log"
"dominance-test","0","results\optimization_update_round12\raw\smoke_dominance-test.json","results\optimization_update_round12\raw\smoke_dominance-test.log"
"support-pruning-test","0","results\optimization_update_round12\raw\smoke_support-pruning-test.json","results\optimization_update_round12\raw\smoke_support-pruning-test.log"
"route-mask-support-test","0","results\optimization_update_round12\raw\smoke_route-mask-support-test.json","results\optimization_update_round12\raw\smoke_route-mask-support-test.log"
"route-mask-operation-budget-test","0","results\optimization_update_round12\raw\smoke_route-mask-operation-budget-test.json","results\optimization_update_round12\raw\smoke_route-mask-operation-budget-test.log"
"incumbent-import-test","0","results\optimization_update_round12\raw\smoke_incumbent-import-test.json","results\optimization_update_round12\raw\smoke_incumbent-import-test.log"
"route-pool-incumbent-test","0","results\optimization_update_round12\raw\smoke_route-pool-incumbent-test.json","results\optimization_update_round12\raw\smoke_route-pool-incumbent-test.log"
"pickup-drop-compat-flow-test","0","results\optimization_update_round12\raw\smoke_pickup-drop-compat-flow-test.json","results\optimization_update_round12\raw\smoke_pickup-drop-compat-flow-test.log"
"pickup-drop-transfer-cap-test","0","results\optimization_update_round12\raw\smoke_pickup-drop-transfer-cap-test.json","results\optimization_update_round12\raw\smoke_pickup-drop-transfer-cap-test.log"
"vehicle-indexed-relaxation-test","0","results\optimization_update_round12\raw\smoke_vehicle-indexed-relaxation-test.json","results\optimization_update_round12\raw\smoke_vehicle-indexed-relaxation-test.log"
"vehicle-indexed-transfer-flow-test","0","results\optimization_update_round12\raw\smoke_vehicle-indexed-transfer-flow-test.json","results\optimization_update_round12\raw\smoke_vehicle-indexed-transfer-flow-test.log"
"adaptive-frontier-split-test","0","results\optimization_update_round12\raw\smoke_adaptive-frontier-split-test.json","results\optimization_update_round12\raw\smoke_adaptive-frontier-split-test.log"
"inventory-branching-test","0","results\optimization_update_round12\raw\smoke_inventory-branching-test.json","results\optimization_update_round12\raw\smoke_inventory-branching-test.log"
"operation-mode-branching-test","0","results\optimization_update_round12\raw\smoke_operation-mode-branching-test.json","results\optimization_update_round12\raw\smoke_operation-mode-branching-test.log"
"pricing-closure-audit-test","0","results\optimization_update_round12\raw\smoke_pricing-closure-audit-test.json","results\optimization_update_round12\raw\smoke_pricing-closure-audit-test.log"
"resume-state-test","0","results\optimization_update_round12\raw\smoke_resume-state-test.json","results\optimization_update_round12\raw\smoke_resume-state-test.log"
"pricing-verifier-test","0","results\optimization_update_round12\raw\smoke_pricing-verifier-test.json","results\optimization_update_round12\raw\smoke_pricing-verifier-test.log"
"iterative-closure-test","0","results\optimization_update_round12\raw\smoke_iterative-closure-test.json","results\optimization_update_round12\raw\smoke_iterative-closure-test.log"
"certificate-basis-test","0","results\optimization_update_round12\raw\smoke_certificate-basis-test.json","results\optimization_update_round12\raw\smoke_certificate-basis-test.log"
"station-set-test","0","results\optimization_update_round12\raw\smoke_station-set-test.json","results\optimization_update_round12\raw\smoke_station-set-test.log"
"ng-dssr-pricing-test","0","results\optimization_update_round12\raw\smoke_ng-dssr-pricing-test.json","results\optimization_update_round12\raw\smoke_ng-dssr-pricing-test.log"
"dssr-exactness-test","0","results\optimization_update_round12\raw\smoke_dssr-exactness-test.json","results\optimization_update_round12\raw\smoke_dssr-exactness-test.log"
"dual-stabilization-test","0","results\optimization_update_round12\raw\smoke_dual-stabilization-test.json","results\optimization_update_round12\raw\smoke_dual-stabilization-test.log"
"external-incumbent-test","0","results\optimization_update_round12\raw\smoke_external-incumbent-test.json","results\optimization_update_round12\raw\smoke_external-incumbent-test.log"
"large-instance-mode-test","0","results\optimization_update_round12\raw\smoke_large-instance-mode-test.json","results\optimization_update_round12\raw\smoke_large-instance-mode-test.log"
