"instance","variant","status","lower_bound","upper_bound","gap","unresolved_intervals","open_nodes","frontier_min_interval_lower_bound","frontier_lower_bound_source","adaptive_split_intervals_created","result_file"
"v12_m1_average","round6_baseline","gcap_frontier_not_closed","0.27808324973","0.368581603155","0.2455313902","1","0","0.27808324973","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m1_average_round6_baseline.json"
"v12_m1_average","operation_budget_only","gcap_frontier_not_closed","0.27807867185","0.368581603155","0.245543810462","1","0","0.27807867185","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m1_average_operation_budget_only.json"
"v12_m1_average","adaptive_split_only","gcap_frontier_not_closed","0.27808324973","0.368581603155","0.2455313902","1","0","0.27808324973","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m1_average_adaptive_split_only.json"
"v12_m1_average","split_plus_budget","gcap_frontier_not_closed","0.27807867185","0.368581603155","0.245543810462","1","0","0.27807867185","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m1_average_split_plus_budget.json"
"v12_m1_average","improved_full","gcap_frontier_not_closed","0.27807867185","0.368581603155","0.245543810462","1","0","0.27807867185","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m1_average_improved_full.json"
"v12_m1_average","improved_full_300s","gcap_frontier_not_closed","0.27908220858","0.366563817616","0.238653148053","1","1","0.27908220858","inventory_route_gini_relaxation","2","results\optimization_update_round7\raw\ablation_v12_m1_average_improved_full_300s_final.json"
"v12_m2_average","round6_baseline","gcap_frontier_not_closed","0.58317349756","0.719065249476","0.188983895433","1","1","0.58317349756","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m2_average_round6_baseline.json"
"v12_m2_average","operation_budget_only","gcap_frontier_not_closed","0.58368677923","0.719065249476","0.1882700775","1","1","0.58368677923","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m2_average_operation_budget_only.json"
"v12_m2_average","adaptive_split_only","gcap_frontier_not_closed","0.58317349756","0.719065249476","0.188983895433","1","1","0.58317349756","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m2_average_adaptive_split_only.json"
"v12_m2_average","split_plus_budget","gcap_frontier_not_closed","0.58368677923","0.719065249476","0.1882700775","1","1","0.58368677923","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m2_average_split_plus_budget.json"
"v12_m2_average","improved_full","gcap_frontier_not_closed","0.58368677923","0.719065249476","0.1882700775","1","1","0.58368677923","inventory_route_gini_relaxation","0","results\optimization_update_round7\raw\ablation_v12_m2_average_improved_full.json"
"v12_m2_average","improved_full_300s","gcap_frontier_not_closed","0.59572506958","0.719065249476","0.171528494787","2","2","0.59572506958","inventory_route_gini_relaxation","4","results\optimization_update_round7\raw\ablation_v12_m2_average_improved_full_300s_final.json"
