"instance","variant","unresolved_intervals","invalid_bound_intervals","open_nodes","frontier_min_interval_lower_bound","frontier_lower_bound_source","focus_interval_range","focus_interval_lb_after","imported_interval_bounds_accepted","result_file"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_auto_300s","1","0","5","0.689652394993","inventory_route_gini_relaxation","[0.465922,0.512514]","0.689652394993","0","results/optimization_update_round9/raw/v12_m2_focus_auto_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_focus_auto_300s","1","0","8","0.330637007941","inventory_route_gini_relaxation","[0.230364,0.276436]","0.330637007941","0","results/optimization_update_round9/raw/v12_m1_focus_auto_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_full_import_300s","1","0","1","0.712948394993","inventory_route_gini_relaxation","","0","1","results/optimization_update_round9/raw/v12_m2_full_import_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_full_improved_300s","2","0","2","0.282149235152","gamma_floor","","0","0","results/optimization_update_round9/raw/v12_m1_full_improved_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_ryan_foster_60s","1","0","1","0.689652394993","inventory_route_gini_relaxation","[0.465922,0.512514]","0.689652394993","0","results/optimization_update_round9/raw/v12_m2_focus_ryan_foster_60s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_inventory_60s","1","0","1","0.689652394993","inventory_route_gini_relaxation","[0.465922,0.512514]","0.689652394993","0","results/optimization_update_round9/raw/v12_m2_focus_inventory_60s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_strong_60s","1","0","1","0.689652394993","inventory_route_gini_relaxation","[0.465922,0.512514]","0.689652394993","0","results/optimization_update_round9/raw/v12_m2_focus_strong_60s.json"
"regen_V8_M2_average.txt","regen_V8_M2_average_improved_full_60s","3","0","3","0.0832898629779","gamma_floor","","0","0","results/optimization_update_round9/raw/regen_V8_M2_average_improved_full_60s.json"
"regen_V10_M1_average.txt","regen_V10_M1_average_improved_full_60s","2","0","4","0.685458100583","inventory_route_gini_relaxation","","0","0","results/optimization_update_round9/raw/regen_V10_M1_average_improved_full_60s.json"
"regen_V10_M2_average.txt","regen_V10_M2_average_improved_full_60s","3","0","3","0.0831487959907","inventory_route_gini_relaxation","","0","0","results/optimization_update_round9/raw/regen_V10_M2_average_improved_full_60s.json"
"regen_V10_M2_low.txt","regen_V10_M2_low_improved_full_60s","3","0","3","0.197888604566","inventory_route_gini_relaxation","","0","0","results/optimization_update_round9/raw/regen_V10_M2_low_improved_full_60s.json"
"gcap_smoke_V4_M1.txt","smoke_gcap-frontier","0","0","0","0","incumbent_cutoff","","0","0","results/optimization_update_round9/raw/smoke_gcap-frontier.json"
