elapsed_seconds,event,algorithm_preset,column_tracks,rmp_column_space,relaxed_columns_in_rmp,pricing_engine,large_instance_mode,station_set_backend,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.0002244,initial_empty_incumbent,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,1.00822320985,0,1,0,-1,"","seed_initial",0,0,0,0,0.0002244,0.0002244,0,0,0,0,0
28.3598245,initial_after_seed,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.0655870045173,0.908788521535,3,0,"[0,0.239688]",cheap_projection_bound,0,8,0.719065249476,0,28.3598245,28.3598245,0,0,0,1881032,61024372
38.8208875,interval_relaxation_0,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.270759691159,0.623456019665,2,1,"[0.239688,0.479377]",cheap_projection_bound,0,8,0.719065249476,0,38.8208875,28.3598245,10.4609371,0,0,1881032,61024372
69.0563325,interval_relaxation_1,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.46357164046,0.355313525723,2,1,"[0.239688,0.479377]",inventory_route_gini_relaxation,0,8,0.719065249476,0,69.0563325,28.3598245,40.6963461,0,0,1881032,61024372
84.4160136,interval_relaxation_2,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.46357164046,0.355313525723,2,1,"[0.239688,0.479377]",inventory_route_gini_relaxation,1,8,0.719065249476,0,69.0563325,28.3598245,56.0559889,0,0,1881032,61024372
94.63793,adaptive_split_child_3,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.692627421486,0.036766938758,1,2,"[0.479377,0.719065]",inventory_route_gini_relaxation,1,8,0.719065249476,0,94.63793,28.3598245,66.2778402,0,0,1881032,61024372
108.6968096,adaptive_split_child_4,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.692627421486,0.036766938758,1,2,"[0.479377,0.719065]",inventory_route_gini_relaxation,1,8,0.719065249476,0,94.63793,28.3598245,80.336667,0,0,1881032,61024372
125.9224057,adaptive_split_child_5,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.695997637933,0.0320799976914,1,5,"[0.479377,0.599221]",inventory_route_gini_relaxation,1,8,0.719065249476,0,125.9224057,28.3598245,97.5622189,0,0,1881032,61024372
127.8566503,adaptive_split_child_6,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.695997637933,0.0320799976914,1,5,"[0.479377,0.599221]",inventory_route_gini_relaxation,1,8,0.719065249476,0,125.9224057,28.3598245,99.4964266,0,0,1881032,61024372
145.7008691,adaptive_split_child_7,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.69696684314,0.0307321294594,1,7,"[0.479377,0.539299]",inventory_route_gini_relaxation,1,8,0.719065249476,0,145.7008691,28.3598245,117.3406037,0,0,1881032,61024372
149.766472,adaptive_split_child_8,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.69696684314,0.0307321294594,1,7,"[0.479377,0.539299]",inventory_route_gini_relaxation,1,8,0.719065249476,0,145.7008691,28.3598245,121.4061648,0,0,1881032,61024372
171.3247877,focused_split_child_9,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.69696684314,0.0307321294594,2,10,"[0.509338,0.539299]",focused_split_inherited_parent_lb,2,8,0.719065249476,1,145.7008691,28.3598245,160.8085539,0,0,1881032,61024372
286.8263239,focused_retry_interval_10,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.703291904615,0.0219359020237,1,9,"[0.479377,0.509338]",focused_child_inventory_route_gini_relaxation,1,1039,0.719065249476,1,286.8263239,28.3598245,160.8085539,23.6586038,91.5996974,1882063,61024373
1144.0751049,focused_retry_interval_9,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.703291904615,0.0219359020237,1,9,"[0.479377,0.509338]",focused_child_inventory_route_gini_relaxation,24,1113,0.719065249476,1,286.8263239,28.3598245,160.8085539,173.9594669,797.8249067,1906887,61024397
1185.3404043,focused_retry_interval_9,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.703291904615,0.0219359020237,1,9,"[0.479377,0.509338]",focused_child_inventory_route_gini_relaxation,1,1113,0.719065249476,1,286.8263239,28.3598245,160.8085539,191.4461219,821.1792326,1907908,61024398
1185.5268245,route_pool_before_final_summary,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.703291904615,0.0219359020237,1,9,"[0.479377,0.509338]",focused_child_inventory_route_gini_relaxation,1,1113,0.719065249476,1,286.8263239,28.3598245,160.8085539,191.4461219,821.1792326,1907908,61024398
1185.5268995,final_summary,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.719065249476,0.703291904615,0.0219359020237,1,9,"[0.479377,0.509338]",focused_child_inventory_route_gini_relaxation,1,1113,0.719065249476,1,286.8263239,28.3598245,160.8085539,191.4461219,821.1792326,1907908,61024398
