instance,case,instance_scope,variant,status,objective,lower_bound,upper_bound,gap,runtime_seconds,certified_original_problem,verifier_passed,unresolved_intervals,invalid_bound_intervals,open_nodes,bound_time_seconds,pricing_time_seconds,master_time_seconds,large_compact_flow_relaxation,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,best_variant_bound,variant_bound_improvement,variants_skipped_reason,large_compact_flow_connectivity_enabled,service_operation_min_handling_cuts_added,penalty_movement_lb_cuts_added,transfer_subset_capacity_cuts_added,v20_cover_cuts_added,station_residual_cover_cuts_added,route_mask_all_subset_enumeration_certifying,result_file,previous_best_gap,gap_delta_vs_previous,improved_vs_previous_best
high_imbalance_seed3201,high_imbalance_seed3201,hard_generated_v20_m3,high_imbalance_seed3201_adaptive_300s,gcap_frontier_not_closed,2.44340319194,1.90044136333,2.44340319194,0.222215404482,404.7791324,False,True,3,0,3,384.8504081,0,0,lp,adaptive,fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light,fixed_baseline,baseline_bound_kept,2.44340319194,0,max_variants_limit|max_variants_limit|max_variants_limit,True,180,3,0,0,3,False,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\high_imbalance_seed3201_adaptive_300s.json,0.0682096293371,0.154005775145,False
high_imbalance_seed3202,high_imbalance_seed3202,hard_generated_v20_m3,high_imbalance_seed3202_adaptive_300s,gcap_frontier_not_closed,1.74931345205,1.50517948694,1.74931345205,0.139559874088,360.3451403,False,True,2,0,2,340.328606,0,0,lp,adaptive,fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light,fixed_baseline,baseline_bound_kept,1.74931345205,0.0166583930713,max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit,True,240,4,0,0,4,False,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\high_imbalance_seed3202_adaptive_300s.json,0.0317627113992,0.107797162689,False
high_imbalance_seed3202,high_imbalance_seed3202,hard_generated_v20_m3,high_imbalance_seed3202_race_300s,gcap_frontier_not_closed,1.74931345205,1.50517948694,1.74931345205,0.139559874088,323.6313666,False,True,2,0,2,303.6174274,0,0,lp,adaptive,fixed_baseline;compact_mip_light|fixed_baseline;compact_mip_light|fixed_baseline;compact_mip_light|fixed_baseline;compact_mip_light,fixed_baseline,baseline_bound_kept,1.74931345205,0.0166836183423,max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit,False,0,0,0,0,4,False,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\high_imbalance_seed3202_race_300s.json,0.0317627113992,0.107797162689,False
moderate_seed3301,moderate_seed3301,hard_generated_v20_m3,moderate_seed3301_adaptive_300s,gcap_frontier_not_closed,0.0491525526647,0.0427477151184,0.0491525526647,0.130305288314,338.2926283,False,True,4,0,4,318.2786177,0,0,lp,adaptive,fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light,fixed_baseline,baseline_bound_kept,0.0491525526647,0,max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit,True,360,6,0,0,0,False,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\moderate_seed3301_adaptive_300s.json,0.130305288314,0,False
moderate_seed3302,moderate_seed3302,hard_generated_v20_m3,moderate_seed3302_adaptive_300s,gcap_frontier_not_closed,0.195636206549,0.13122668258,0.195636206549,0.329231102492,313.9070271,False,True,3,0,3,293.8996076,0,0,lp,adaptive,fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light,fixed_baseline,baseline_bound_kept,0.195636206549,0,max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit,True,300,5,0,0,0,False,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\moderate_seed3302_adaptive_300s.json,0.33021736845,-0.000986265958,True
tight_T_seed3101,tight_T_seed3101,hard_generated_v20_m3,tight_T_seed3101_adaptive_300s,gcap_frontier_not_closed,0.107252734134,0.0386845831094,0.107252734134,0.639313781399,335.4842344,False,True,3,0,3,315.4639718,0,0,mip-light,adaptive,fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light,fixed_baseline,baseline_bound_kept,0.107252734134,0.101575999925,max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit,True,300,5,0,0,0,False,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\tight_T_seed3101_adaptive_300s.json,0.333333333333,0.305980448066,False
tight_T_seed3102,tight_T_seed3102,hard_generated_v20_m3,tight_T_seed3102_adaptive_300s,gcap_frontier_not_closed,0.600704436685,0.469176890001,0.600704436685,0.21895551065,368.1301871,False,True,2,0,2,348.106075,0,0,lp,adaptive,fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light|fixed_baseline;compact_lp;compact_mip_light,fixed_baseline,baseline_bound_kept,0.600704436685,0.0303331859642,max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit|max_variants_limit,True,240,4,0,0,4,False,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\tight_T_seed3102_adaptive_300s.json,0.168318012854,0.050637497796,False
v12_m1,v12_m1,regenerated_engineering,v12_m1_adaptive_300s,gcap_frontier_not_closed,0.357200583208,0.332675660948,0.357200583208,0.0686586848205,310.0834499,False,True,2,0,2,296.5742462,0,0,lp,adaptive,,,,0,0,,True,0,0,0,0,0,True,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\v12_m1_adaptive_300s.json,0.0686586848205,0,False
v12_m1,v12_m1,regenerated_engineering,v12_m1_adaptive_600s,optimal,0.357200583208,0.357200583208,0.357200583208,0,473.7645006,True,True,0,0,0,460.4177989,0,0,lp,adaptive,,,,0,0,,True,0,0,0,0,0,True,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\v12_m1_adaptive_600s.json,0.0686586848205,-0.0686586848205,True
v12_m1,v12_m1,regenerated_engineering,v12_m1_current_300s,gcap_frontier_not_closed,0.357200583208,0.332675660948,0.357200583208,0.0686586848205,301.6730452,False,True,1,0,1,288.056694,0,0,off,fixed,,,,0,0,,False,0,0,0,0,0,True,E:\codes\ExactEBRP\results\paper_candidate_relaxation_round\raw\v12_m1_current_300s.json,0.0686586848205,0,False
