elapsed_seconds,event,algorithm_preset,column_tracks,rmp_column_space,relaxed_columns_in_rmp,pricing_engine,large_instance_mode,station_set_backend,incumbent_UB,global_LB,gap,unresolved_intervals,global_min_lb_interval_id,global_min_lb_interval_range,global_min_lb_source,open_nodes,route_pool_columns_after_dominance,route_pool_best_incumbent,focused_intensification_passes,last_LB_improvement_time,last_UB_improvement_time,bound_time_seconds,master_time_seconds,pricing_time_seconds,columns,nodes
0.000365,initial_empty_incumbent,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,1.27708196677,0,1,0,-1,"","seed_initial",0,0,0,0,0.000365,0.000365,0,0,0,0,0
20.0074368,initial_after_seed,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0,1,3,0,"[0,0.0163842]",gamma_floor,0,6,0.0491525526647,0,20.0074368,20.0074368,0,0,0,0,0
59.4188573,interval_relaxation_0,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0163841842216,0.666666666667,3,1,"[0.0163842,0.0327684]",gamma_floor,0,6,0.0491525526647,0,59.4188573,20.0074368,39.4112858,0,0,0,0
98.0204815,interval_relaxation_1,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0327683684432,0.333333333333,3,2,"[0.0327684,0.0491526]",gamma_floor,1,6,0.0491525526647,0,98.0204815,20.0074368,78.0128613,0,0,0,0
107.4591127,interval_relaxation_2,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0426751738296,0.131781128019,2,0,"[0,0.0163842]",inventory_route_gini_relaxation,2,6,0.0491525526647,0,107.4591127,20.0074368,87.4514445,0,0,0,0
146.7576181,adaptive_split_child_3,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0440604552058,0.103597823163,2,1,"[0.0163842,0.0327684]",inventory_route_gini_relaxation,2,6,0.0491525526647,0,146.7576181,20.0074368,126.7498552,0,0,0,0
185.9851134,adaptive_split_child_4,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0427477151184,0.130305288314,3,4,"[0.00819209,0.0163842]",inventory_route_gini_relaxation,3,6,0.0491525526647,0,146.7576181,20.0074368,165.9773075,0,0,0,0
225.1323354,adaptive_split_child_5,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0427477151184,0.130305288314,3,5,"[0.00819209,0.0122881]",adaptive_split_inherited_inventory_route_gini_relaxation,3,6,0.0491525526647,0,146.7576181,20.0074368,205.1244666,0,0,0,0
263.9739138,adaptive_split_child_6,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0427477151184,0.130305288314,4,5,"[0.00819209,0.0122881]",adaptive_split_inherited_inventory_route_gini_relaxation,4,6,0.0491525526647,0,146.7576181,20.0074368,243.9659875,0,0,0,0
302.9771813,adaptive_split_child_7,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0430233632327,0.124697276129,4,6,"[0.0122881,0.0163842]",inventory_route_gini_relaxation,4,6,0.0491525526647,0,146.7576181,20.0074368,282.9692001,0,0,0,0
302.9772127,adaptive_split_child_8,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0427477151184,0.130305288314,5,8,"[0.0102401,0.0122881]",adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation,5,6,0.0491525526647,0,146.7576181,20.0074368,282.9692001,0,0,0,0
302.9772844,route_pool_before_final_summary,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0427477151184,0.130305288314,5,8,"[0.0102401,0.0122881]",adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation,5,6,0.0491525526647,0,146.7576181,20.0074368,282.9692001,0,0,0,0
302.977333,final_summary,paper-bpc-core,elementary-only,elementary,false,exact-label,off,uint64,0.0491525526647,0.0427477151184,0.130305288314,5,8,"[0.0102401,0.0122881]",adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation,5,6,0.0491525526647,0,146.7576181,20.0074368,282.9692001,0,0,0,0
