source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,finalization_source,audit_passed,failure_count,failures,warnings
results\strengthened_oracle_round\raw\high_imbalance_seed3201.json,high_imbalance_seed3201.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0724502581182,2,0,2,True,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\high_imbalance_seed3201_auto_oracle\interval_8.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0681157779412,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\high_imbalance_seed3201_auto_oracle\interval_9.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0724504062723,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\high_imbalance_seed3202.json,high_imbalance_seed3202.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_all_cuts.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_all_cuts_bound_focus.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_baseline.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.12941184455,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_gini_spread.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0973825254072,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_global_handling.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_penalty_domain.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.1250640552,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\strengthened_oracle_round\raw\leaf_ablation\moderate_seed3301_leaf1_required_movement.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.1250640552,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
