sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",119.99907349999999,116.99907349999999,"absolute process deadline origin"
1,0.0011104999999999999,"instance_parsing_start","start",119.9988896,116.9988895,"reference/citibike443-regional-v1/instances/V12/cb443_V12_regional_r1_surplus_M01_Q30.txt"
2,0.0019124000000000001,"instance_parsing_complete","complete",119.9980877,116.9980877,"instance=cb443_V12_regional_r1_surplus_M01_Q30.txt"
3,0.0021270999999999998,"initial_model_data_preprocessing_complete","complete",119.997873,116.9978729,"instance data initialized; empty-route incumbent independently verified"
4,0.0026102999999999999,"hga_start","start",119.99738979999999,116.9973897,"label=primary_hga;native_generation_stagnation_hga"
5,38.381425200000002,"hga_generation_loop_complete","complete",81.618574999999993,78.618574800000005,"label=primary_hga;generations=2153;no_improve=2000"
6,38.386996799999999,"improving_gini_range_construction_complete","complete",81.613003399999997,78.613003300000003,"lower=0.000000;upper=0.058564;complete=true"
7,38.387077400000003,"exact_phase_start","start",81.612922699999999,78.61292259999999,"arm=round31-nonblocking-native-bound"
8,38.387234800000002,"connectivity_flow_preparation_complete","complete",81.612765400000001,78.612765300000007,"variant=round20-current"
9,38.394072399999999,"gurobi_environment_creation","complete",81.605927800000003,78.605927699999995,"fixed_interval_backend"
10,38.394379499999999,"external_backend_creation","complete",81.605620600000009,78.605620500000001,"backend=gurobi;arm=C6-CANDIDATE"
11,38.395303499999997,"external_artifact_directory_creation","complete",81.604696700000005,78.604696500000003,"E:\codes\ExactEBRP-round66\results\unified_exact_round69\local_raw\historical-validation\S12\VD-S\external"
12,38.396730099999999,"first_tree_ledger_opened","complete",81.603270199999997,78.603270000000009,"E:\codes\ExactEBRP-round66\results\unified_exact_round69\local_raw\historical-validation\S12\VD-S\external\paper_tree_events.csv"
13,38.396885099999999,"first_external_tree_event","start",81.603115000000003,78.603115000000003,"scheduler_select_next"
14,38.3969734,"root_canonical_model_construction_start","start",81.603026700000001,78.603026700000001,"leaf=L0"
15,38.397036700000001,"first_interval_model_build","start",81.602963299999999,78.602963299999999,"leaf=L0"
16,38.422586899999999,"static_row_factory_preparation_complete","complete",81.577413199999995,78.577413100000001,"canonical strengthened interval row factory"
17,38.42268,"root_canonical_model_construction_complete","complete",81.577320100000009,78.57732,"leaf=L0"
18,38.422745200000001,"first_interval_model_build_complete","complete",81.577254799999992,78.577254799999992,"leaf=L0"
19,38.422815800000002,"first_lp_optimize_launch","start",81.577184299999999,78.577184200000005,"leaf=L0"
20,39.638641999999997,"final_result_serialization_start","start",80.361358300000006,77.36135809999999,""
21,39.6402365,"final_result_serialization_complete","complete",80.359763700000002,77.359763600000008,""
22,39.640429500000003,"process_exit","complete",80.359570599999998,77.35957049999999,"rc=0"
