sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",119.99904220000001,116.99904220000001,"absolute process deadline origin"
1,0.0011345000000000001,"instance_parsing_start","start",119.99886549999999,116.99886549999999,"reference/qualification_round39/small-easy/round39_small_easy_V12_M2_Q30_slot07_seed1210444511.txt"
2,0.0019136999999999999,"instance_parsing_complete","complete",119.99808640000001,116.9980863,"instance=round39_small_easy_V12_M2_Q30_slot07_seed1210444511.txt"
3,0.0021248999999999999,"initial_model_data_preprocessing_complete","complete",119.9978752,116.9978751,"instance data initialized; empty-route incumbent independently verified"
4,0.0025522000000000001,"hga_start","start",119.9974478,116.9974478,"label=primary_hga;native_generation_stagnation_hga"
5,4.3187762000000003,"hga_generation_loop_complete","complete",115.68122390000001,112.68122390000001,"label=primary_hga;generations=2027;no_improve=2000"
6,4.3247458999999999,"improving_gini_range_construction_complete","complete",115.6752542,112.6752541,"lower=0.000000;upper=0.020383;complete=true"
7,4.3248211999999997,"exact_phase_start","start",115.67517890000001,112.67517890000001,"arm=round31-nonblocking-native-bound"
8,4.3249754999999999,"connectivity_flow_preparation_complete","complete",115.67502450000001,112.67502450000001,"variant=round20-current"
9,4.3315663999999998,"gurobi_environment_creation","complete",115.6684338,112.6684336,"fixed_interval_backend"
10,4.3317091999999997,"external_backend_creation","complete",115.6682909,112.66829079999999,"backend=gurobi;arm=C6-CANDIDATE"
11,4.3321275000000004,"external_artifact_directory_creation","complete",115.6678726,112.6678725,"E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\E7\VD-S\external"
12,4.3330558999999997,"first_tree_ledger_opened","complete",115.6669442,112.6669442,"E:\codes\ExactEBRP-round66\results\unified_exact_round70\revision2\local_raw\development\E7\VD-S\external\paper_tree_events.csv"
13,4.3331935000000001,"first_external_tree_event","start",115.66680650000001,112.66680650000001,"scheduler_select_next"
14,4.333278,"root_canonical_model_construction_start","start",115.66672199999999,112.66672199999999,"leaf=L0"
15,4.3333494000000004,"first_interval_model_build","start",115.6666506,112.6666506,"leaf=L0"
16,4.3663765999999997,"static_row_factory_preparation_complete","complete",115.63362359999999,112.6336234,"canonical strengthened interval row factory"
17,4.3664690999999998,"root_canonical_model_construction_complete","complete",115.633531,112.6335309,"leaf=L0"
18,4.3665380999999996,"first_interval_model_build_complete","complete",115.6334619,112.6334619,"leaf=L0"
19,4.3666140999999996,"first_lp_optimize_launch","start",115.633386,112.63338590000001,"leaf=L0"
20,5.5683142999999999,"final_result_serialization_start","start",114.4316858,111.4316858,""
21,5.5693308999999998,"final_result_serialization_complete","complete",114.43066930000001,111.4306692,""
22,5.5694071000000003,"process_exit","complete",114.430593,111.430593,"rc=0"
