sequence,process_seconds,event,status,nominal_deadline_remaining_seconds,work_deadline_remaining_seconds,detail
0,0,"process_entry","start",299.9990664,296.99906629999998,"absolute process deadline origin"
1,0.0010970999999999999,"instance_parsing_start","start",299.99890299999998,296.99890290000002,"reference/citibike443-regional-v1/instances/V20/cb443_V20_compact_r1_surplus_M02_Q30.txt"
2,0.0019395,"instance_parsing_complete","complete",299.9980607,296.99806050000001,"instance=cb443_V20_compact_r1_surplus_M02_Q30.txt"
3,0.0021489,"initial_model_data_preprocessing_complete","complete",299.99785109999999,296.99785109999999,"instance data initialized; empty-route incumbent independently verified"
4,0.002477,"hga_start","start",299.997523,296.997523,"label=primary_hga;finite_random_seed_decoded_descent"
5,0.017669600000000001,"decoded_descent_complete","complete",299.98233060000001,296.98233049999999,"label=primary_hga;generations=0;no_improve=0;completed_seeds=24"
6,0.0187849,"improving_gini_range_construction_complete","complete",299.98121509999999,296.98121509999999,"lower=0.000000;upper=0.854344;complete=true"
7,0.018879,"exact_phase_start","start",299.9811211,296.9811211,"arm=round31-nonblocking-native-bound"
8,0.0190326,"connectivity_flow_preparation_complete","complete",299.9809674,296.9809674,"variant=round20-current"
9,0.0286,"gurobi_environment_creation","complete",299.97140020000001,296.97140009999998,"fixed_interval_backend"
10,0.028728,"external_backend_creation","complete",299.97127210000002,296.97127210000002,"backend=gurobi;arm=C6-CANDIDATE"
11,0.0291544,"external_artifact_directory_creation","complete",299.97084560000002,296.97084560000002,"E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\C2\DS\external"
12,0.030094099999999999,"first_tree_ledger_opened","complete",299.96990599999998,296.96990599999998,"E:\codes\ExactEBRP-round66\results\unified_exact_round72\campaign\local_raw\development\C2\DS\external\paper_tree_events.csv"
13,0.030227199999999999,"first_external_tree_event","start",299.96977279999999,296.96977279999999,"scheduler_select_next"
14,0.0303082,"root_canonical_model_construction_start","start",299.96969189999999,296.96969189999999,"leaf=L0"
15,0.030369199999999999,"first_interval_model_build","start",299.96963090000003,296.96963090000003,"leaf=L0"
16,0.1258976,"static_row_factory_preparation_complete","complete",299.87410249999999,296.87410240000003,"canonical strengthened interval row factory"
17,0.126003,"root_canonical_model_construction_complete","complete",299.8739971,296.8739971,"leaf=L0"
18,0.12607289999999999,"first_interval_model_build_complete","complete",299.87392720000003,296.87392720000003,"leaf=L0"
19,0.1261467,"first_lp_optimize_launch","start",299.87385339999997,296.87385339999997,"leaf=L0"
20,154.19062149999999,"final_result_serialization_start","start",145.8093787,142.8093786,""
21,154.19163560000001,"final_result_serialization_complete","complete",145.8083647,142.80836450000001,""
22,154.19171370000001,"process_exit","complete",145.80828629999999,142.80828629999999,"rc=0"
