interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason
0,0,0.0163841842216,0,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,59.5797889,gamma_floor,gamma_floor,fixed,,,,0,0,0,
1,0.0163841842216,0.0327683684432,0.0163841842216,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.4521383,gamma_floor,gamma_floor,fixed,,,,0,0,0,
2,0.0327683684432,0.0491525526647,0.0327683684432,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,57.9828509,gamma_floor,gamma_floor,fixed,,,,0,0,0,
3,0,0.00819209211079,0.0491525526647,0.0491525526647,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,14.7909319,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
4,0.00819209211079,0.0163841842216,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.7746585,gamma_floor,gamma_floor,fixed,,,,0,0,0,
5,0.00819209211079,0.0122881381662,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.558162,gamma_floor,gamma_floor,fixed,,,,0,0,0,
6,0.0122881381662,0.0163841842216,0.0122881381662,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.4655384,gamma_floor,gamma_floor,fixed,,,,0,0,0,
7,0.00819209211079,0.0102401151385,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.6428949,gamma_floor,gamma_floor,fixed,,,,0,0,0,
8,0.0102401151385,0.0122881381662,0.0102401151385,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.6760423,gamma_floor,gamma_floor,fixed,,,,0,0,0,
9,0.00819209211079,0.00921610362464,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.5694022,gamma_floor,gamma_floor,fixed,,,,0,0,0,
10,0.00921610362464,0.0102401151385,0.00921610362464,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.5086481,gamma_floor,gamma_floor,fixed,,,,0,0,0,
11,0.00819209211079,0.00870409786772,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.4837927,gamma_floor,gamma_floor,fixed,,,,0,0,0,
12,0.00870409786772,0.00921610362464,0.00870409786772,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.5970191,gamma_floor,gamma_floor,fixed,,,,0,0,0,
13,0.00819209211079,0.00844809498925,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.6346265,gamma_floor,gamma_floor,fixed,,,,0,0,0,
14,0.00844809498925,0.00870409786772,0.00844809498925,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.5642733,gamma_floor,gamma_floor,fixed,,,,0,0,0,
15,0.00819209211079,0.00832009355002,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.5959613,gamma_floor,gamma_floor,fixed,,,,0,0,0,
16,0.00832009355002,0.00844809498925,0.00832009355002,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.4412318,gamma_floor,gamma_floor,fixed,,,,0,0,0,
17,0.00819209211079,0.00825609283041,0.00869,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,117.1815732,branch_price_tree,gamma_floor|branch_price_tree,fixed,,,,0,0,0,
18,0.00825609283041,0.00832009355002,0.00869,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.5897058,branch_price_tree,gamma_floor|branch_price_tree,fixed,,,,0,0,0,
